instance,family,file,n_stops,dec_mean_s,dec_max_s,run_infeasible,n_scenarios,horizon_h
RlongCfewTlarge_10,RlongCfewTlarge,RlongCfewTlarge_10_LA_MIPTAIL_20260818_111122_000.json,147,88.9,545.9,False,25,24.0
RlongCfewTlarge_12,RlongCfewTlarge,RlongCfewTlarge_12_LA_MIPTAIL_20260817_150716_036.json,181,82.7,240.4,False,25,24.0
RlongCfewTlarge_13,RlongCfewTlarge,RlongCfewTlarge_13_LA_MIPTAIL_20260817_150727_036.json,173,96.2,551.1,False,25,24.0
RlongCfewTlarge_14,RlongCfewTlarge,RlongCfewTlarge_14_LA_MIPTAIL_20260817_150740_036.json,150,94.6,638.9,False,25,24.0
RlongCfewTlarge_15,RlongCfewTlarge,RlongCfewTlarge_15_LA_MIPTAIL_20260817_150752_036.json,157,101.1,713.2,False,25,24.0
RlongCfewTlarge_16,RlongCfewTlarge,RlongCfewTlarge_16_LA_MIPTAIL_20260817_150754_036.json,140,81.2,214.4,False,25,24.0
RlongCfewTlarge_17,RlongCfewTlarge,RlongCfewTlarge_17_LA_MIPTAIL_20260818_111057_010.json,150,76.6,264.4,False,25,24.0
RlongCfewTlarge_18,RlongCfewTlarge,RlongCfewTlarge_18_LA_MIPTAIL_20260817_150807_036.json,177,77.7,276.5,False,25,24.0
RlongCfewTlarge_19,RlongCfewTlarge,RlongCfewTlarge_19_LA_MIPTAIL_20260817_150812_036.json,183,76.0,224.9,False,25,24.0
RlongCfewTlarge_2,RlongCfewTlarge,RlongCfewTlarge_2_LA_MIPTAIL_20260817_150716_000.json,178,98.6,636.2,False,25,24.0
RlongCfewTlarge_20,RlongCfewTlarge,RlongCfewTlarge_20_LA_MIPTAIL_20260818_111122_009.json,160,91.6,418.2,False,25,24.0
RlongCfewTlarge_21,RlongCfewTlarge,RlongCfewTlarge_21_LA_MIPTAIL_20260817_150941_072.json,178,84.8,335.7,False,25,24.0
RlongCfewTlarge_23,RlongCfewTlarge,RlongCfewTlarge_23_LA_MIPTAIL_20260817_150727_072.json,180,82.1,263.7,False,25,24.0
RlongCfewTlarge_25,RlongCfewTlarge,RlongCfewTlarge_25_LA_MIPTAIL_20260817_150752_072.json,174,81.3,318.6,False,25,24.0
RlongCfewTlarge_3,RlongCfewTlarge,RlongCfewTlarge_3_LA_MIPTAIL_20260817_150727_000.json,148,76.5,197.5,False,25,24.0
RlongCfewTlarge_6,RlongCfewTlarge,RlongCfewTlarge_6_LA_MIPTAIL_20260817_150754_000.json,153,90.5,281.4,False,25,24.0
RlongCfewTlarge_7,RlongCfewTlarge,RlongCfewTlarge_7_LA_MIPTAIL_20260817_150800_000.json,190,82.0,263.4,False,25,24.0
RlongCfewTlarge_8,RlongCfewTlarge,RlongCfewTlarge_8_LA_MIPTAIL_20260818_111103_000.json,180,100.7,508.1,False,25,24.0
RlongCfewTlarge_9,RlongCfewTlarge,RlongCfewTlarge_9_LA_MIPTAIL_20260818_111117_000.json,169,86.3,434.1,False,25,24.0
RlongCfewTmedium_10,RlongCfewTmedium,RlongCfewTmedium_10_LA_MIPTAIL_20260817_150816_001.json,175,83.2,229.3,False,25,24.0
RlongCfewTmedium_11,RlongCfewTmedium,RlongCfewTmedium_11_LA_MIPTAIL_20260817_150941_037.json,178,85.4,243.8,False,25,24.0
RlongCfewTmedium_13,RlongCfewTmedium,RlongCfewTmedium_13_LA_MIPTAIL_20260817_150727_037.json,166,88.7,358.0,False,25,24.0
RlongCfewTmedium_14,RlongCfewTmedium,RlongCfewTmedium_14_LA_MIPTAIL_20260817_150740_037.json,178,83.0,285.9,False,25,24.0
