DAgger round 1: 34 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
    [warn] teacher query failed @8: Solver (gurobi) did not exit normally
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RshortCmanyTnone_5_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.305   478.4   0.30   0.30   0.30   0     —     —  —
     2     CS    8.566   454.6   0.57   0.57   0.57   0     —     —  —
     3     CS    8.920   434.5   0.92   0.92   0.92   0     —     —  —
     4     CS    9.169   406.4   1.17   1.17   1.17   0     —     —  —
     5     CS    9.411   377.6   1.41   1.41   1.41   0     —     —  —
     6     CS    9.705   349.8   1.71   1.71   1.71   0     —     —  —
     7     CS   10.016   323.1   2.02   2.02   2.02   0     —     —  —
     8     CS   10.293   294.0   2.29   2.29   2.29   0     —     —  —
     9     CS   10.560   264.0   2.56   2.56   2.56   0     —     —  —
    10     CS   10.855   244.8   2.86   2.86   2.86   0     —     —  —
    11     CS   11.064   220.5   3.06   3.06   3.06   0     —     —  —
    12     CS   11.279   196.8   3.28   3.28   3.28   1   b45     —  CHARGE, BRK-B45
    13     CS   12.670   433.4   0.25   3.53   3.78   0     —     —  —
    14     CS   12.926   404.7   0.51   3.79   4.04   0     —     —  —
    15   CUST   13.197   377.4   0.78   4.06   4.31   0     —     —  —
    16     CS   14.076   349.5   1.16   4.44   5.19   0     —     —  —
    17     CS   14.233   331.9   1.32   4.60   5.34   0     —     —  —
    18     CS   14.445   309.4   1.53   4.81   5.55   0     —     —  —
    19     CS   14.647   286.1   1.73   5.01   5.76   0     —     —  —
    20   CUST   14.851   262.9   1.94   5.21   5.96   0     —     —  —
    21     CS   15.530   244.9   2.11   5.39   6.64   0     —     —  —
    22     CS   15.754   220.8   2.34   5.62   6.86   0     —     —  —
    23     CS   16.006   198.6   2.59   5.87   7.11   0     —     —  —
    24     CS   16.233   174.8   2.82   6.10   7.34   0     —     —  —
    25     CS   16.452   150.1   3.04   6.32   7.56   1   b45     —  CHARGE, BRK-B45
    26     CS   17.755   394.1   0.24   6.55   8.06   0     —     —  —
    27     CS   18.002   371.5   0.48   6.80   8.31   0     —     —  —
    28     CS   18.244   348.4   0.73   7.04   8.55   0     —     —  —
    29     CS   18.471   321.8   0.95   7.27   8.78   0     —     —  —
    30     CS   18.717   296.9   1.20   7.51   9.02   0     —     —  —
    31   CUST   18.953   271.3   1.44   7.75   9.26   0     —     —  —
    32   CUST   19.529   262.8   1.51   7.83   9.84   0     —     —  —
    33   CUST   20.267   243.5   1.75   8.06  10.57   0     —     —  —
    34     CS   20.778   242.1   1.76   8.08  11.09   0     —     —  —
    35     CS   21.042   210.7   2.02   8.34  11.35   1     —    r2  CHARGE, REST-R2
    36     CS   31.435   409.8   0.32   0.32   0.32   0     —     —  —
    37     CS   31.694   379.0   0.58   0.58   0.58   0     —     —  —
    38     CS   31.945   355.9   0.83   0.83   0.83   0     —     —  —
    39     CS   32.171   330.9   1.06   1.06   1.06   0     —     —  —
    40   CUST   32.411   307.0   1.30   1.30   1.30   0     —     —  —
    41     CS   33.170   282.7   1.56   1.56   2.06   0     —     —  —
    42     CS   33.434   258.7   1.82   1.82   2.32   0     —     —  —
    43   CUST   33.725   236.2   2.11   2.11   2.61   0     —     —  —
    44     CS   34.318   225.8   2.20   2.20   3.20   0     —     —  —
    45     CS   34.554   198.9   2.44   2.44   3.44   1   b45     —  CHARGE, BRK-B45
    46   CUST   35.993   373.6   0.30   2.74   4.13   0     —     —  —
    47   CUST   36.774   350.0   0.58   3.02   4.91   0     —     —  —
    48   CUST   37.361   341.3   0.67   3.11   5.50   0     —     —  —
    49     CS   38.099   328.5   0.91   3.35   6.23   0     —     —  —
    50     CS   38.359   299.6   1.17   3.61   6.49   0     —     —  —
    51   CUST   38.626   271.4   1.44   3.88   6.76   0     —     —  —
    52   CUST   39.165   266.7   1.48   3.91   7.30   0     —     —  —
    53     CS   39.689   264.1   1.50   3.94   7.82   0     —     —  —
    54     CS   39.903   238.3   1.71   4.15   8.04   0     —     —  —
    55     CS   40.133   214.0   1.94   4.38   8.27   0     —     —  —
    56     CS   40.381   191.0   2.19   4.63   8.52   0     —     —  —
    57     CS   40.640   161.9   2.45   4.89   8.77   0     —     —  —
    58     CS   40.898   132.7   2.71   5.15   9.03   0     —     —  —
    59     CS   41.195   106.4   3.01   5.44   9.33   1     —     —  CHARGE
    60     CS   42.229   184.2   3.36   5.80  10.36   0     —     —  —
[1/34] RshortCmanyTnone_5           labelled   21 states in  26.7 min
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RshortCfewTlarge_3_DAGGER1_S1_H24_20260821_101813_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.270   476.7   0.27   0.27   0.27   0     —     —  —
     2     CS    8.500   450.4   0.50   0.50   0.50   0     —     —  —
     3     CS    8.725   423.7   0.72   0.72   0.72   0     —     —  —
     4     CS    9.011   393.0   1.01   1.01   1.01   0     —     —  —
     5     CS    9.317   363.9   1.32   1.32   1.32   0     —     —  —
     6     CS    9.596   332.8   1.60   1.60   1.60   0     —     —  —
     7     CS    9.929   305.3   1.93   1.93   1.93   0     —     —  —
     8     CS   10.209   274.1   2.21   2.21   2.21   0     —     —  —
     9     CS   10.452   248.3   2.45   2.45   2.45   0     —     —  —
    10     CS   10.697   222.6   2.70   2.70   2.70   0     —     —  —
    11     CS   10.934   196.1   2.93   2.93   2.93   0     —     —  —
    12     CS   11.253   173.4   3.25   3.25   3.25   0     —     —  —
    13     CS   11.587   151.3   3.59   3.59   3.59   1   b45     —  CHARGE, BRK-B45
    14     CS   13.039   389.8   0.28   3.87   4.24   0     —     —  —
    15     CS   13.318   360.8   0.56   4.15   4.52   0     —     —  —
    16     CS   13.594   331.6   0.84   4.43   4.79   0     —     —  —
