DAgger round 1: 34 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
    [warn] teacher query failed @8: Solver failed to locate input problem file: /tmp/tmp1w_zbsei.pyomo.lp
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RlongCmanyTlarge_14_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.228   473.5   0.23   0.23   0.23   0     —     —  —
     2     CS    8.514   451.1   0.51   0.51   0.51   0     —     —  —
     3     CS    8.879   431.3   0.88   0.88   0.88   0     —     —  —
     4     CS    9.092   408.2   1.09   1.09   1.09   0     —     —  —
     5     CS    9.305   385.0   1.30   1.30   1.30   0     —     —  —
     6     CS    9.510   361.2   1.51   1.51   1.51   0     —     —  —
     7     CS    9.841   340.5   1.84   1.84   1.84   0     —     —  —
     8     CS   10.087   315.6   2.09   2.09   2.09   0     —     —  —
     9     CS   10.320   289.6   2.32   2.32   2.32   0     —     —  —
    10     CS   10.553   263.0   2.55   2.55   2.55   0     —     —  —
    11     CS   10.782   236.0   2.78   2.78   2.78   0     —     —  —
    12     CS   11.010   209.0   3.01   3.01   3.01   0     —     —  —
    13     CS   11.270   184.6   3.27   3.27   3.27   0     —     —  —
    14     CS   11.537   156.9   3.54   3.54   3.54   0     —     —  —
    15     CS   11.840   131.6   3.84   3.84   3.84   1   b45     —  CHARGE, BRK-B45
    16     CS   13.247   384.3   0.33   4.17   4.42   0     —     —  —
    17     CS   13.513   352.5   0.60   4.44   4.69   0     —     —  —
    18     CS   13.807   323.3   0.89   4.73   4.98   0     —     —  —
    19     CS   14.052   297.6   1.14   4.98   5.23   0     —     —  —
    20     CS   14.295   271.7   1.38   5.22   5.47   0     —     —  —
    21     CS   14.562   247.6   1.65   5.49   5.74   0     —     —  —
    22     CS   14.932   210.4   2.02   5.86   6.11   1   b45     —  CHARGE, BRK-B45
    23     CS   16.353   441.1   0.30   6.15   6.65   0     —     —  —
    24     CS   16.608   412.4   0.55   6.41   6.91   0     —     —  —
    25     CS   16.880   385.1   0.82   6.68   7.18   0     —     —  —
    26     CS   17.133   356.2   1.08   6.93   7.43   0     —     —  —
    27     CS   17.431   324.3   1.37   7.23   7.73   0     —     —  —
    28     CS   17.728   292.4   1.67   7.53   8.03   0     —     —  —
    29     CS   17.991   265.1   1.93   7.79   8.29   0     —     —  —
    30     CS   18.240   236.6   2.18   8.04   8.54   0     —     —  —
    31     CS   18.507   209.7   2.45   8.31   8.81   1   b45     —  CHARGE, BRK-B45
    32     CS   19.747   370.8   0.28   8.58   9.30   0     —     —  —
    33     CS   20.028   338.2   0.56   8.86   9.58   0     —     —  —
    34     CS   20.313   305.9   0.84   9.15   9.86   0     —     —  —
    35     CS   20.782   272.3   1.31   9.62  10.33   0     —     —  —
    36     CS   21.016   244.8   1.55   9.85  10.57   0     —    r2  REST-R2
    37     CS   30.449   220.0   0.27   0.27   0.27   0     —     —  —
    38     CS   30.684   192.5   0.50   0.50   0.50   0     —     —  —
    39     CS   30.898   167.9   0.72   0.72   0.72   0     —     —  —
    40     CS   31.116   143.7   0.93   0.93   0.93   0     —     —  —
    41     CS   31.327   118.8   1.14   1.14   1.14   1   b45     —  CHARGE, BRK-B45
    42     CS   33.204   414.8   0.27   1.41   2.00   0     —     —  —
    43     CS   33.482   386.9   0.55   1.69   2.28   0     —     —  —
    44     CS   33.739   357.2   0.81   1.95   2.54   0     —     —  —
    45     CS   34.000   327.8   1.07   2.21   2.80   0     —     —  —
    46     CS   34.302   296.3   1.37   2.51   3.10   0     —     —  —
    47     CS   34.540   271.9   1.61   2.75   3.34   0     —     —  —
    48     CS   34.767   246.5   1.83   2.98   3.56   0     —     —  —
    49     CS   34.996   221.3   2.06   3.21   3.79   0     —     —  —
    50   CUST   35.252   198.1   2.32   3.46   4.05   0     —     —  —
    51   CUST   36.049   180.3   2.62   3.76   4.85   0     —     —  —
    52     CS   37.083   151.6   3.15   4.29   5.88   1   b45     —  CHARGE, BRK-B45
    53   CUST   40.032   339.1   0.38   4.67   8.08   0     —     —  —
    54   CUST   40.687   323.6   0.54   4.83   8.73   0     —     —  —
    55     CS   41.237   318.7   0.59   4.88   9.28   0     —     —  —
    56     CS   41.692   266.9   1.04   5.33   9.74   0     —     —  —
    57     CS   41.889   243.9   1.24   5.53   9.94   0     —     —  —
    58     CS   42.093   221.6   1.44   5.74  10.14   0     —     —  —
    59     CS   42.296   199.1   1.64   5.94  10.34   1   b45     —  CHARGE, BRK-B45
    60     CS   43.846   386.9   0.42   6.36  11.14   0     —     —  —
    61     CS   44.102   359.8   0.68   6.62  11.40   0     —     —  —
    62     CS   44.343   331.4   0.92   6.86  11.64   0     —     —  —
    63     CS   44.667   303.4   1.24   7.18  11.96   0     —     —  —
    64     CS   44.949   272.5   1.53   7.46  12.25   0     —    r2  REST-R2
    65     CS   54.366   246.8   0.25   0.25   0.25   0     —     —  —
    66     CS   54.601   219.8   0.49   0.49   0.49   0     —     —  —
    67     CS   54.875   195.8   0.76   0.76   0.76   0     —     —  —
    68     CS   55.120   169.7   1.00   1.00   1.00   1   b45     —  CHARGE, BRK-B45
    69     CS   56.492   398.6   0.38   1.39   1.59   0     —     —  —
    70     CS   56.782   367.1   0.67   1.67   1.88   0     —     —  —
    71     CS   57.019   342.3   0.91   1.91   2.12   0     —     —  —
    72     CS   57.256   317.4   1.14   2.15   2.36   0     —     —  —
    73     CS   57.480   291.3   1.37   2.37   2.58   0     —     —  —
    74     CS   58.011   248.1   1.90   2.90   3.11   0     —     —  —
    75     CS   58.273   218.5   2.16   3.17   3.38   0     —     —  —
    76     CS   58.554   190.4   2.44   3.45   3.66   0     —     —  —
    77     CS   58.834   162.3   2.72   3.73   3.94   1   b45     —  CHARGE, BRK-B45
    78     CS   60.234   389.0   0.32   4.05   4.58   0     —     —  —
    79     CS   60.494   358.4   0.58   4.31   4.84   0     —     —  —
    80     CS   60.760   328.3   0.85   4.58   5.11   0     —     —  —
    81     CS   60.990   301.2   1.08   4.81   5.34   0     —     —  —
