DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RmediumCmanyTnone_8_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.230   473.7   0.23   0.23   0.23   0     —     —  —
     2     CS    8.457   447.1   0.46   0.46   0.46   0     —     —  —
     3     CS    8.713   422.9   0.71   0.71   0.71   0     —     —  —
     4     CS    8.983   390.9   0.98   0.98   0.98   0     —     —  —
     5     CS    9.263   359.7   1.26   1.26   1.26   0     —     —  —
     6     CS    9.513   329.9   1.51   1.51   1.51   0     —     —  —
     7     CS    9.761   299.8   1.76   1.76   1.76   0     —     —  —
     8     CS   10.029   271.6   2.03   2.03   2.03   0     —     —  —
     9     CS   10.302   243.9   2.30   2.30   2.30   0     —     —  —
    10     CS   10.533   219.3   2.53   2.53   2.53   0     —     —  —
    11     CS   10.765   194.8   2.77   2.77   2.77   0     —     —  —
    12     CS   11.011   171.3   3.01   3.01   3.01   1   b45     —  CHARGE, BRK-B45
    13     CS   12.715   462.1   0.25   3.26   3.64   0     —     —  —
    14     CS   12.929   437.5   0.46   3.47   3.86   0     —     —  —
    15     CS   13.142   412.9   0.68   3.69   4.07   0     —     —  —
    16     CS   13.497   388.2   1.03   4.04   4.42   0     —     —  —
    17     CS   13.804   361.2   1.34   4.35   4.73   0     —     —  —
    18     CS   14.099   330.6   1.63   4.64   5.03   0     —     —  —
    19     CS   14.525   306.1   2.06   5.07   5.45   0     —     —  —
    20     CS   14.812   274.8   2.35   5.36   5.74   0     —     —  —
    21     CS   15.077   244.6   2.61   5.62   6.00   0     —     —  —
    22     CS   15.335   213.7   2.87   5.88   6.26   1   b45     —  CHARGE, BRK-B45
    23     CS   16.624   404.1   0.25   6.13   6.80   0     —     —  —
    24     CS   16.867   377.3   0.50   6.38   7.04   0     —     —  —
    25     CS   17.113   350.7   0.74   6.62   7.29   0     —     —  —
    26     CS   17.354   323.6   0.98   6.86   7.53   0     —     —  —
    27     CS   17.593   297.0   1.22   7.10   7.77   0     —     —  —
    28     CS   17.839   271.0   1.47   7.35   8.02   0     —     —  —
    29     CS   18.120   239.2   1.75   7.63   8.30   0     —     —  —
    30     CS   18.426   209.4   2.06   7.94   8.60   0     —     —  —
    31   CUST   18.724   179.0   2.35   8.23   8.90   0     —    r2  REST-R2
    32   CUST   28.364   162.2   0.14   0.14   0.14   0     —     —  —
    33     CS   28.898   158.2   0.17   0.17   0.67   1   b45     —  CHARGE, BRK-B45
    34   CUST   30.523   298.1   0.39   0.56   1.55   0     —     —  —
    35   CUST   31.267   274.1   0.63   0.81   2.29   0     —     —  —
    36   CUST   31.826   267.7   0.69   0.87   2.85   0     —     —  —
    37   CUST   32.498   252.4   0.86   1.04   3.52   0     —     —  —
    38     CS   33.078   243.2   0.94   1.12   4.10   0     —     —  —
    39   CUST   33.265   221.2   1.13   1.30   4.29   0     —     —  —
    40     CS   34.003   194.4   1.37   1.54   5.03   0     —     —  —
    41     CS   34.352   154.3   1.72   1.89   5.38   1   b45     —  CHARGE, BRK-B45
    42     CS   35.865   427.6   0.26   2.15   5.93   0     —     —  —
    43     CS   36.106   402.9   0.50   2.39   6.17   0     —     —  —
    44     CS   36.328   376.4   0.72   2.61   6.40   0     —     —  —
    45     CS   36.604   354.0   1.00   2.89   6.67   0     —     —  —
    46     CS   36.897   321.6   1.29   3.18   6.96   0     —     —  —
    47     CS   37.231   292.3   1.62   3.51   7.30   0     —     —  —
    48     CS   37.467   264.1   1.86   3.75   7.53   0     —     —  —
    49     CS   37.712   236.9   2.10   4.00   7.78   0     —     —  —
    50     CS   37.974   206.4   2.37   4.26   8.04   0     —     —  —
    51     CS   38.246   176.9   2.64   4.53   8.31   0     —     —  —
    52     CS   38.530   148.4   2.92   4.81   8.60   1   b45     —  CHARGE, BRK-B45
    53     CS   40.170   453.2   0.32   5.13   9.13   0     —     —  —
    54     CS   40.436   424.7   0.58   5.40   9.39   0     —     —  —
    55     CS   40.690   395.0   0.84   5.65   9.65   0     —     —  —
    56     CS   41.049   369.7   1.20   6.01  10.01   0     —     —  —
    57     CS   41.314   338.3   1.46   6.28  10.27   0     —     —  —
    58     CS   41.539   314.7   1.69   6.50  10.50   0     —     —  —
    59     CS   41.749   289.7   1.90   6.71  10.71   0     —     —  —
    60   CUST   41.978   266.4   2.13   6.94  10.93   0     —     —  —
    61   CUST   42.671   245.1   2.32   7.13  11.63   0     —    r2  REST-R2
    62   CUST   52.484   220.3   0.31   0.31   0.31   0     —     —  —
    63     CS   53.243   202.0   0.57   0.57   1.07   0     —     —  —
    64     CS   53.757   160.7   1.09   1.09   1.59   0     —     —  —
    65     CS   53.999   134.2   1.33   1.33   1.83   0     —     —  —
    66     CS   54.248   108.5   1.58   1.58   2.08   1   b45     —  CHARGE, BRK-B45
    67     CS   55.653   371.4   0.24   1.81   2.66   0     —     —  —
    68     CS   55.996   352.5   0.58   2.16   3.01   0     —     —  —
    69     CS   56.227   328.7   0.81   2.39   3.24   0     —     —  —
    70     CS   56.454   302.9   1.04   2.61   3.47   0     —     —  —
    71     CS   56.692   278.1   1.28   2.85   3.70   0     —     —  —
    72     CS   56.919   252.3   1.50   3.08   3.93   0     —     —  —
    73     CS   57.165   224.5   1.75   3.33   4.18   0     —     —  —
    74     CS   57.430   198.4   2.01   3.59   4.44   0     —     —  —
    75     CS   57.688   171.7   2.27   3.85   4.70   0     —     —  —
    76     CS   57.958   145.9   2.54   4.12   4.97   1   b45     —  CHARGE, BRK-B45
    77     CS   59.483   385.7   0.45   4.57   5.70   0     —     —  —
    78     CS   59.713   361.8   0.68   4.80   5.93   0     —     —  —
    79     CS   59.942   337.8   0.91   5.03   6.16   0     —     —  —
    80     CS   60.186   314.9   1.16   5.27   6.40   0     —     —  —
    81   CUST   60.425   291.6   1.39   5.51   6.64   0     —     —  —
    82   CUST   61.087   276.6   1.56   5.67   7.30   0     —     —  —
    83   CUST   61.813   254.6   1.78   5.90   8.03   0     —     —  —
