DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RlongCmediumTnone_16_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.231   473.8   0.23   0.23   0.23   0     —     —  —
     2     CS    8.457   447.1   0.46   0.46   0.46   0     —     —  —
     3     CS    8.711   422.8   0.71   0.71   0.71   0     —     —  —
     4     CS    8.968   393.1   0.97   0.97   0.97   0     —     —  —
     5     CS    9.244   365.1   1.24   1.24   1.24   0     —     —  —
     6     CS    9.495   337.7   1.50   1.50   1.50   0     —     —  —
     7     CS    9.920   317.4   1.92   1.92   1.92   0     —     —  —
     8     CS   10.159   288.9   2.16   2.16   2.16   0     —     —  —
     9     CS   10.408   261.4   2.41   2.41   2.41   0     —     —  —
    10     CS   10.644   233.2   2.64   2.64   2.64   0     —     —  —
    11     CS   10.927   208.8   2.93   2.93   2.93   0     —     —  —
    12     CS   11.188   182.8   3.19   3.19   3.19   1   b45     —  CHARGE, BRK-B45
    13     CS   12.564   409.7   0.28   3.47   3.76   0     —     —  —
    14     CS   12.865   383.4   0.58   3.77   4.06   0     —     —  —
    15     CS   13.145   353.4   0.86   4.05   4.34   0     —     —  —
    16     CS   13.422   323.2   1.14   4.32   4.61   0     —     —  —
    17     CS   13.713   291.4   1.43   4.61   4.90   0     —     —  —
    18     CS   14.019   260.9   1.73   4.92   5.21   0     —     —  —
    19     CS   14.399   234.4   2.11   5.30   5.59   0     —     —  —
    20     CS   14.799   212.6   2.51   5.70   5.99   0     —     —  —
    21     CS   15.059   184.3   2.77   5.96   6.25   0     —     —  —
    22     CS   15.325   156.5   3.04   6.23   6.52   1   b45     —  CHARGE, BRK-B45
    23     CS   16.618   404.8   0.25   6.48   6.99   0     —     —  —
    24     CS   16.874   384.6   0.51   6.73   7.24   0     —     —  —
    25     CS   17.087   361.4   0.72   6.94   7.46   0     —     —  —
    26     CS   17.382   329.3   1.01   7.24   7.75   0     —     —  —
    27     CS   17.674   296.9   1.31   7.53   8.04   0     —     —  —
    28     CS   17.906   270.2   1.54   7.76   8.27   0     —     —  —
    29     CS   18.132   242.9   1.76   7.99   8.50   0     —     —  —
    30     CS   18.363   216.1   1.99   8.22   8.73   0     —     —  —
    31     CS   18.604   190.2   2.24   8.46   8.97   0     —     —  —
    32     CS   19.159   156.3   2.79   9.02   9.53   1     —    r2  CHARGE, REST-R2
    33     CS   29.405   396.3   0.25   0.25   0.25   0     —     —  —
    34     CS   29.639   368.6   0.48   0.48   0.48   0     —     —  —
    35     CS   29.873   340.9   0.71   0.71   0.71   0     —     —  —
    36     CS   30.113   313.8   0.95   0.95   0.95   0     —     —  —
    37     CS   30.339   290.3   1.18   1.18   1.18   0     —     —  —
    38     CS   30.557   266.1   1.40   1.40   1.40   0     —     —  —
    39     CS   30.778   242.0   1.62   1.62   1.62   1   b45     —  CHARGE, BRK-B45
    40     CS   32.150   404.0   0.27   1.89   2.24   0     —     —  —
    41   CUST   32.435   373.3   0.56   2.17   2.53   0     —     —  —
    42   CUST   33.012   365.0   0.63   2.25   3.10   0     —     —  —
    43     CS   33.802   340.3   0.92   2.54   3.89   0     —     —  —
    44     CS   34.049   312.3   1.17   2.79   4.14   0     —     —  —
    45     CS   34.342   287.8   1.46   3.08   4.43   0     —     —  —
    46     CS   34.489   277.6   1.61   3.23   4.58   0     —     —  —
    47     CS   34.974   227.3   2.09   3.71   5.06   0     —     —  —
    48     CS   35.258   204.3   2.38   4.00   5.35   0     —     —  —
    49     CS   35.581   183.0   2.70   4.32   5.67   0     —     —  —
    50     CS   35.820   156.9   2.94   4.56   5.91   0     —     —  —
    51     CS   36.056   130.7   3.18   4.80   6.15   1   b45     —  CHARGE, BRK-B45
    52     CS   37.658   380.3   0.40   5.19   6.86   0     —     —  —
    53     CS   37.939   352.6   0.68   5.47   7.14   0     —     —  —
    54     CS   38.200   323.3   0.94   5.73   7.40   0     —     —  —
    55     CS   38.453   293.2   1.19   5.99   7.65   0     —     —  —
    56     CS   38.712   263.6   1.45   6.25   7.91   0     —     —  —
    57     CS   39.154   223.0   1.89   6.69   8.35   0     —     —  —
    58     CS   39.392   196.8   2.13   6.93   8.59   0     —     —  —
    59     CS   39.631   170.9   2.37   7.17   8.83   0     —     —  —
    60     CS   39.866   144.4   2.61   7.40   9.07   0     —     —  —
    61     CS   40.112   119.0   2.85   7.65   9.31   1   b45     —  CHARGE, BRK-B45
    62     CS   41.524   387.1   0.31   7.96   9.87   0     —     —  —
    63     CS   41.776   360.4   0.57   8.21  10.12   0     —     —  —
    64     CS   42.012   332.2   0.80   8.45  10.36   0     —     —  —
    65     CS   42.216   309.1   1.01   8.65  10.56   0     —     —  —
    66     CS   42.560   292.0   1.35   9.00  10.91   0     —     —  —
    67     CS   42.760   268.4   1.55   9.20  11.11   1     —    r2  CHARGE, REST-R2
    68     CS   52.595   353.2   0.20   0.20   0.20   0     —     —  —
    69     CS   52.796   329.8   0.41   0.41   0.41   0     —     —  —
    70     CS   53.000   306.6   0.61   0.61   0.61   0     —     —  —
    71     CS   53.270   280.6   0.88   0.88   0.88   0     —     —  —
    72     CS   53.520   253.1   1.13   1.13   1.13   0     —     —  —
    73     CS   53.786   226.8   1.40   1.40   1.40   0     —     —  —
    74     CS   54.058   194.0   1.67   1.67   1.67   0     —     —  —
    75     CS   54.334   161.6   1.94   1.94   1.94   0     —     —  —
    76     CS   54.646   132.3   2.26   2.26   2.26   1   b45     —  CHARGE, BRK-B45
    77     CS   56.000   349.4   0.21   2.47   2.86   0     —     —  —
    78     CS   56.217   324.3   0.43   2.69   3.08   0     —     —  —
    79     CS   56.597   306.1   0.81   3.07   3.46   0     —     —  —
    80   CUST   57.056   258.1   1.27   3.52   3.92   0     —     —  —
    81     CS   57.750   241.1   1.46   3.72   4.61   0     —     —  —
    82     CS   58.002   211.7   1.71   3.97   4.86   0     —     —  —
    83     CS   58.259   182.8   1.97   4.23   5.12   0     —     —  —
