DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RshortCfewTnone_17_DAGGER1_S1_H24_20260821_095131_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.233   474.0   0.23   0.23   0.23   0     —     —  —
     2     CS    8.633   454.8   0.63   0.63   0.63   0     —     —  —
     3     CS    8.956   433.9   0.96   0.96   0.96   0     —     —  —
     4     CS    9.234   402.6   1.23   1.23   1.23   0     —     —  —
     5     CS    9.521   372.0   1.52   1.52   1.52   0     —     —  —
     6     CS    9.792   344.1   1.79   1.79   1.79   0     —     —  —
     7     CS   10.050   315.1   2.05   2.05   2.05   0     —     —  —
     8     CS   10.306   285.8   2.31   2.31   2.31   0     —     —  —
     9     CS   10.623   260.8   2.62   2.62   2.62   0     —     —  —
    10     CS   10.866   235.7   2.87   2.87   2.87   0     —     —  —
    11     CS   11.115   211.0   3.11   3.11   3.11   0     —     —  —
    12     CS   11.348   185.0   3.35   3.35   3.35   0     —     —  —
    13     CS   11.574   159.1   3.57   3.57   3.57   0     —     —  —
    14     CS   11.802   133.5   3.80   3.80   3.80   0     —     —  —
    15     CS   12.039   108.6   4.04   4.04   4.04   1   b45     —  CHARGE, BRK-B45
    16     CS   13.761   407.4   0.39   4.43   4.73   0     —     —  —
    17     CS   14.070   381.2   0.70   4.74   5.04   0     —     —  —
    18     CS   14.334   351.7   0.97   5.01   5.31   0     —     —  —
    19     CS   14.648   325.7   1.28   5.32   5.62   0     —     —  —
    20     CS   14.931   294.1   1.56   5.60   5.90   0     —     —  —
    21     CS   15.283   267.0   1.92   5.95   6.26   0     —     —  —
    22     CS   15.560   234.7   2.19   6.23   6.53   0     —     —  —
    23     CS   15.771   213.0   2.40   6.44   6.74   0     —     —  —
    24     CS   15.977   190.8   2.61   6.65   6.95   0     —     —  —
    25     CS   16.221   171.2   2.85   6.89   7.19   1   b45     —  CHARGE, BRK-B45
    26     CS   17.511   402.9   0.28   7.18   7.67   0     —     —  —
    27   CUST   17.782   373.2   0.55   7.45   7.94   0     —    r2  REST-R2
    28     CS   27.576   341.5   0.29   0.29   0.29   0     —     —  —
    29     CS   27.857   308.7   0.58   0.58   0.58   0     —     —  —
    30     CS   28.115   278.4   0.83   0.83   0.83   0     —     —  —
    31     CS   28.377   248.5   1.09   1.09   1.09   0     —     —  —
    32     CS   28.629   219.5   1.35   1.35   1.35   0     —     —  —
    33     CS   28.897   192.0   1.62   1.62   1.62   1   b45     —  CHARGE, BRK-B45
    34     CS   30.774   434.8   0.25   1.86   2.58   0     —     —  —
    35     CS   31.028   406.8   0.50   2.12   2.83   0     —     —  —
    36   CUST   31.272   377.8   0.74   2.36   3.08   0     —     —  —
    37     CS   31.824   372.0   0.80   2.41   3.63   0     —     —  —
    38   CUST   32.289   327.7   1.26   2.88   4.10   0     —     —  —
    39     CS   33.045   298.5   1.52   3.13   4.85   0     —     —  —
    40     CS   33.326   271.4   1.80   3.42   5.13   0     —     —  —
    41     CS   33.636   237.1   2.11   3.73   5.44   0     —     —  —
    42     CS   33.909   205.2   2.38   4.00   5.72   0     —     —  —
    43     CS   34.212   175.9   2.69   4.30   6.02   0     —     —  —
    44     CS   34.518   146.8   2.99   4.61   6.32   1     —     —  CHARGE
    45     CS   35.481   239.8   3.27   4.89   7.29   0     —     —  —
    46     CS   35.807   212.0   3.60   5.22   7.61   0     —     —  —
    47     CS   36.102   181.0   3.90   5.51   7.91   0     —     —  —
[1/33] RshortCfewTnone_17           labelled   18 states in  19.1 min
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RmediumCfewTlarge_16_DAGGER1_S1_H24_20260821_101035_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.230   473.7   0.23   0.23   0.23   0     —     —  —
     2     CS    8.516   451.3   0.52   0.52   0.52   0     —     —  —
     3     CS    8.771   427.0   0.77   0.77   0.77   0     —     —  —
     4     CS    9.052   393.5   1.05   1.05   1.05   0     —     —  —
     5     CS    9.398   364.9   1.40   1.40   1.40   0     —     —  —
     6     CS    9.610   340.1   1.61   1.61   1.61   0     —     —  —
     7     CS    9.897   320.1   1.90   1.90   1.90   0     —     —  —
     8     CS   10.161   299.0   2.16   2.16   2.16   0     —     —  —
     9     CS   10.404   272.7   2.40   2.40   2.40   0     —     —  —
    10     CS   10.642   246.0   2.64   2.64   2.64   0     —     —  —
    11     CS   10.913   221.8   2.91   2.91   2.91   0     —     —  —
    12     CS   11.154   195.3   3.15   3.15   3.15   0     —     —  —
    13     CS   11.436   165.9   3.44   3.44   3.44   0     —     —  —
    14     CS   11.704   135.2   3.70   3.70   3.70   0     —     —  —
    15     CS   11.992   106.2   3.99   3.99   3.99   1   b45     —  CHARGE, BRK-B45
    16     CS   13.510   402.6   0.24   4.23   4.54   0     —     —  —
    17     CS   13.750   378.7   0.48   4.47   4.78   0     —     —  —
    18     CS   14.087   359.2   0.82   4.81   5.12   0     —     —  —
    19     CS   14.334   329.6   1.06   5.06   5.36   0     —     —  —
    20     CS   14.588   300.9   1.32   5.31   5.62   0     —     —  —
    21     CS   14.807   277.5   1.54   5.53   5.84   0     —     —  —
    22     CS   15.017   253.3   1.75   5.74   6.05   0     —     —  —
    23     CS   15.230   229.5   1.96   5.95   6.26   0     —     —  —
    24     CS   15.449   205.3   2.18   6.17   6.48   0     —     —  —
    25     CS   15.659   180.3   2.39   6.38   6.69   0     —     —  —
    26     CS   15.874   155.8   2.60   6.60   6.90   1   b45     —  CHARGE, BRK-B45
    27     CS   17.235   382.5   0.27   6.87   7.51   0     —     —  —
    28     CS   17.486   355.7   0.52   7.12   7.76   0     —     —  —
    29     CS   17.754   330.3   0.79   7.39   8.03   0     —     —  —
    30     CS   18.072   300.7   1.11   7.71   8.35   0     —     —  —
