DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
    [warn] teacher query failed @10: Solver failed to locate input problem file: /tmp/tmp992peoi6.pyomo.lp
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RshortCmediumTnone_1_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.236   474.3   0.24   0.24   0.24   0     —     —  —
     2     CS    8.469   448.3   0.47   0.47   0.47   0     —     —  —
     3     CS    8.697   421.8   0.70   0.70   0.70   0     —     —  —
     4     CS    8.903   400.4   0.90   0.90   0.90   0     —     —  —
     5     CS    9.100   378.2   1.10   1.10   1.10   0     —     —  —
     6     CS    9.317   357.6   1.32   1.32   1.32   0     —     —  —
     7     CS    9.551   332.3   1.55   1.55   1.55   0     —     —  —
     8     CS    9.816   309.2   1.82   1.82   1.82   0     —     —  —
     9     CS   10.044   283.3   2.04   2.04   2.04   0     —     —  —
    10     CS   10.269   257.1   2.27   2.27   2.27   0     —     —  —
    11     CS   10.725   204.3   2.73   2.73   2.73   0     —     —  —
    12     CS   10.969   180.3   2.97   2.97   2.97   0     —     —  —
    13     CS   11.232   157.6   3.23   3.23   3.23   0     —     —  —
    14     CS   11.454   131.7   3.45   3.45   3.45   0     —     —  —
    15     CS   11.689   107.1   3.69   3.69   3.69   1   b45     —  CHARGE, BRK-B45
    16     CS   13.128   388.2   0.26   3.94   4.21   0     —     —  —
    17   CUST   13.395   360.6   0.52   4.21   4.47   0     —     —  —
    18   CUST   14.230   321.4   0.86   4.55   5.31   0     —     —  —
    19     CS   14.873   306.1   1.00   4.69   5.95   0     —     —  —
    20   CUST   15.293   255.7   1.42   5.11   6.37   0     —     —  —
    21     CS   16.187   236.1   1.82   5.50   7.27   0     —     —  —
    22     CS   16.419   209.3   2.05   5.74   7.50   0     —     —  —
    23     CS   16.639   188.0   2.27   5.96   7.72   1   b45     —  CHARGE, BRK-B45
    24     CS   17.959   388.0   0.25   6.20   8.29   0     —     —  —
    25     CS   18.210   358.9   0.50   6.46   8.54   0     —     —  —
    26     CS   18.465   330.1   0.75   6.71   8.79   0     —     —  —
    27     CS   18.820   289.3   1.11   7.07   9.15   0     —     —  —
    28     CS   19.058   263.0   1.35   7.30   9.39   0     —     —  —
    29     CS   19.299   236.9   1.59   7.54   9.63   0     —     —  —
    30   CUST   19.542   211.0   1.83   7.79   9.87   0     —    r2  REST-R2
    31     CS   29.359   184.9   0.32   0.32   0.32   0     —     —  —
    32     CS   29.619   154.6   0.58   0.58   0.58   0     —     —  —
    33     CS   29.915   127.3   0.87   0.87   0.87   1   b45     —  CHARGE, BRK-B45
    34     CS   31.164   353.9   0.27   1.14   1.37   0     —     —  —
    35     CS   31.597   306.0   0.70   1.58   1.80   0     —     —  —
    36     CS   31.809   283.6   0.92   1.79   2.02   0     —     —  —
    37     CS   32.048   263.1   1.15   2.03   2.26   0     —     —  —
    38   CUST   32.263   240.9   1.37   2.24   2.47   0     —     —  —
    39   CUST   32.962   217.7   1.57   2.44   3.17   0     —     —  —
    40     CS   34.058   180.5   2.16   3.04   4.27   0     —     —  —
    41     CS   34.288   152.9   2.39   3.27   4.50   1   b45     —  CHARGE, BRK-B45
    42     CS   35.800   397.2   0.28   3.55   5.16   0     —     —  —
    43     CS   36.104   367.3   0.58   3.85   5.46   0     —     —  —
    44     CS   36.382   335.1   0.86   4.13   5.74   0     —     —  —
    45     CS   36.645   308.3   1.13   4.39   6.00   0     —     —  —
    46     CS   36.895   280.2   1.38   4.64   6.25   0     —     —  —
    47     CS   37.117   258.6   1.60   4.86   6.47   0     —     —  —
    48     CS   37.317   235.1   1.80   5.07   6.67   0     —     —  —
    49     CS   37.519   211.8   2.00   5.27   6.88   0     —     —  —
    50     CS   37.728   188.3   2.21   5.48   7.08   0     —     —  —
    51     CS   37.932   164.3   2.41   5.68   7.29   0     —     —  —
[1/33] RshortCmediumTnone_1         labelled   18 states in  18.7 min
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RlongCfewTmedium_5_DAGGER1_S1_H24_20260821_101013_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.255   475.8   0.26   0.26   0.26   0     —     —  —
     2     CS    8.483   449.3   0.48   0.48   0.48   0     —     —  —
     3     CS    8.726   424.1   0.73   0.73   0.73   0     —     —  —
     4     CS    9.013   392.1   1.01   1.01   1.01   0     —     —  —
     5     CS    9.401   365.9   1.40   1.40   1.40   0     —     —  —
     6     CS    9.716   336.0   1.72   1.72   1.72   0     —     —  —
     7     CS    9.980   305.8   1.98   1.98   1.98   0     —     —  —
     8     CS   10.290   279.0   2.29   2.29   2.29   0     —     —  —
     9     CS   10.543   255.4   2.54   2.54   2.54   0     —     —  —
    10     CS   10.937   236.5   2.94   2.94   2.94   0     —     —  —
    11     CS   11.174   211.6   3.17   3.17   3.17   0     —     —  —
    12     CS   11.391   187.3   3.39   3.39   3.39   0     —     —  —
    13     CS   11.607   162.9   3.61   3.61   3.61   0     —     —  —
    14     CS   11.858   141.1   3.86   3.86   3.86   1   b45     —  CHARGE, BRK-B45
    15     CS   13.416   414.5   0.42   4.28   4.50   0     —     —  —
    16     CS   13.669   386.3   0.67   4.53   4.75   0     —     —  —
    17     CS   13.916   357.7   0.92   4.78   5.00   0     —     —  —
    18     CS   14.167   331.7   1.17   5.03   5.25   0     —     —  —
    19     CS   14.403   304.3   1.41   5.27   5.49   0     —     —  —
    20     CS   14.640   277.1   1.65   5.50   5.72   0     —     —  —
    21     CS   14.911   248.3   1.92   5.77   5.99   0     —     —  —
    22     CS   15.210   221.5   2.22   6.07   6.29   0     —     —  —
    23     CS   15.478   192.4   2.48   6.34   6.56   0     —     —  —
    24     CS   15.894   145.2   2.90   6.76   6.98   1   b45     —  CHARGE, BRK-B45
