DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RlongCmediumTmedium_8_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.234   474.1   0.23   0.23   0.23   0     —     —  —
     2     CS    8.523   451.8   0.52   0.52   0.52   0     —     —  —
     3     CS    8.755   425.7   0.75   0.75   0.75   0     —     —  —
     4     CS    8.981   402.2   0.98   0.98   0.98   0     —     —  —
     5     CS    9.195   377.6   1.19   1.19   1.19   0     —     —  —
     6     CS    9.408   352.9   1.41   1.41   1.41   0     —     —  —
     7     CS    9.634   330.8   1.63   1.63   1.63   0     —     —  —
     8     CS    9.838   306.9   1.84   1.84   1.84   0     —     —  —
     9     CS   10.087   286.3   2.09   2.09   2.09   0     —     —  —
    10     CS   10.351   260.6   2.35   2.35   2.35   0     —     —  —
    11     CS   10.592   233.0   2.59   2.59   2.59   0     —     —  —
    12     CS   10.849   206.7   2.85   2.85   2.85   0     —     —  —
    13     CS   11.080   181.1   3.08   3.08   3.08   0     —     —  —
    14     CS   11.323   156.6   3.32   3.32   3.32   0     —     —  —
    15     CS   11.548   130.3   3.55   3.55   3.55   0     —     —  —
    16     CS   11.780   104.8   3.78   3.78   3.78   1   b45     —  CHARGE, BRK-B45
    17     CS   13.169   359.6   0.24   4.02   4.36   0     —     —  —
    18     CS   13.440   335.1   0.51   4.29   4.64   0     —     —  —
    19     CS   13.851   315.2   0.92   4.70   5.05   0     —     —  —
    20     CS   14.114   288.3   1.19   4.97   5.31   0     —     —  —
    21     CS   14.363   260.2   1.44   5.22   5.56   0     —     —  —
    22     CS   14.809   238.8   1.88   5.66   6.01   0     —     —  —
    23     CS   15.121   213.4   2.19   5.97   6.32   0     —     —  —
    24     CS   15.498   190.5   2.57   6.35   6.69   1   b45     —  CHARGE, BRK-B45
    25     CS   16.911   376.4   0.42   6.77   7.36   0     —     —  —
    26     CS   17.219   346.8   0.73   7.08   7.67   0     —     —  —
    27     CS   17.500   314.9   1.01   7.36   7.95   0     —     —  —
    28     CS   17.772   287.7   1.28   7.63   8.22   0     —     —  —
    29     CS   18.022   258.4   1.53   7.88   8.47   0     —     —  —
    30     CS   18.276   239.3   1.78   8.13   8.72   0     —     —  —
    31     CS   18.473   216.3   1.98   8.33   8.92   0     —     —  —
    32     CS   18.670   193.2   2.18   8.53   9.12   1   b45     —  CHARGE, BRK-B45
    33     CS   20.066   411.6   0.25   8.78   9.73   0     —     —  —
    34     CS   20.303   384.8   0.49   9.02   9.97   0     —     —  —
    35     CS   20.536   357.7   0.72   9.25  10.20   0     —     —  —
    36     CS   20.770   330.5   0.95   9.48  10.44   0     —    r2  REST-R2
    37     CS   30.513   287.7   0.58   0.58   0.58   0     —     —  —
    38     CS   30.799   255.8   0.86   0.86   0.86   0     —     —  —
    39     CS   31.135   227.7   1.20   1.20   1.20   0     —     —  —
    40     CS   31.428   196.9   1.49   1.49   1.49   0     —     —  —
    41     CS   31.712   165.2   1.78   1.78   1.78   0     —     —  —
    42     CS   32.025   135.9   2.09   2.09   2.09   1   b45     —  CHARGE, BRK-B45
    43     CS   33.518   421.0   0.25   2.34   2.60   0     —     —  —
    44     CS   33.746   393.9   0.48   2.56   2.82   0     —     —  —
    45     CS   33.987   368.0   0.72   2.80   3.06   0     —     —  —
    46     CS   34.383   348.5   1.11   3.20   3.46   0     —     —  —
    47     CS   34.596   324.5   1.33   3.41   3.67   0     —     —  —
    48     CS   34.816   301.3   1.55   3.63   3.89   0     —     —  —
    49     CS   35.051   279.2   1.78   3.87   4.13   0     —     —  —
    50     CS   35.259   254.8   1.99   4.08   4.34   0     —     —  —
    51     CS   35.468   230.5   2.20   4.29   4.55   0     —     —  —
    52   CUST   35.762   211.3   2.49   4.58   4.84   0     —     —  —
    53     CS   36.725   160.2   2.95   5.04   5.80   0     —     —  —
    54     CS   37.059   120.9   3.29   5.38   6.14   1   b45     —  CHARGE, BRK-B45
    55     CS   38.506   399.4   0.30   5.67   6.65   0     —     —  —
    56     CS   38.796   371.4   0.59   5.96   6.94   0     —     —  —
    57     CS   39.042   344.9   0.83   6.21   7.19   0     —     —  —
    58     CS   39.278   317.6   1.07   6.45   7.42   0     —     —  —
    59     CS   39.516   290.5   1.31   6.68   7.66   0     —     —  —
    60     CS   39.760   265.4   1.55   6.93   7.90   0     —     —  —
    61     CS   39.992   239.4   1.78   7.16   8.14   0     —     —  —
    62     CS   40.237   214.4   2.03   7.40   8.38   0     —     —  —
    63     CS   40.466   188.8   2.26   7.63   8.61   0     —     —  —
    64     CS   40.706   164.2   2.50   7.87   8.85   0     —     —  —
    65     CS   40.956   140.3   2.75   8.12   9.10   1   b45     —  CHARGE, BRK-B45
    66     CS   42.262   396.6   0.21   8.33   9.57   0     —     —  —
    67     CS   42.471   375.4   0.41   8.54   9.78   0     —     —  —
    68     CS   42.673   353.7   0.62   8.74   9.99   0     —     —  —
    69     CS   42.970   331.2   0.91   9.04  10.28   0     —     —  —
    70     CS   43.230   306.6   1.17   9.30  10.54   0     —     —  —
    71     CS   43.471   280.6   1.41   9.54  10.78   0     —     —  —
    72     CS   43.786   260.6   1.73   9.85  11.10   0     —    r2  REST-R2
    73     CS   53.199   237.3   0.25   0.25   0.25   0     —     —  —
    74     CS   53.508   217.1   0.56   0.56   0.56   0     —     —  —
    75     CS   53.751   193.6   0.80   0.80   0.80   0     —     —  —
    76     CS   54.199   142.3   1.25   1.25   1.25   1   b45     —  CHARGE, BRK-B45
    77     CS   55.716   401.6   0.24   1.49   1.90   0     —     —  —
    78     CS   55.964   377.4   0.49   1.73   2.14   0     —     —  —
    79     CS   56.195   351.8   0.72   1.97   2.37   0     —     —  —
    80     CS   56.430   326.6   0.96   2.20   2.61   0     —     —  —
    81     CS   56.729   295.9   1.25   2.50   2.91   0     —     —  —
    82     CS   57.024   264.9   1.55   2.79   3.20   0     —     —  —
    83     CS   57.312   233.3   1.84   3.08   3.49   0     —     —  —
