DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RmediumCfewTnone_4_DAGGER1_S1_H24_20260821_095131_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.243   474.9   0.24   0.24   0.24   0     —     —  —
     2     CS    8.476   448.9   0.48   0.48   0.48   0     —     —  —
     3     CS    8.720   423.8   0.72   0.72   0.72   0     —     —  —
     4     CS    8.943   398.5   0.94   0.94   0.94   0     —     —  —
     5     CS    9.173   373.8   1.17   1.17   1.17   0     —     —  —
     6     CS    9.456   352.4   1.46   1.46   1.46   0     —     —  —
     7     CS    9.753   324.8   1.75   1.75   1.75   0     —     —  —
     8     CS   10.022   295.0   2.02   2.02   2.02   0     —     —  —
     9     CS   10.289   265.0   2.29   2.29   2.29   0     —     —  —
    10     CS   10.548   236.7   2.55   2.55   2.55   0     —     —  —
    11     CS   10.822   209.6   2.82   2.82   2.82   0     —     —  —
    12     CS   11.077   180.8   3.08   3.08   3.08   1   b45     —  CHARGE, BRK-B45
    13     CS   12.366   379.3   0.36   3.44   3.62   0     —     —  —
    14     CS   12.605   353.0   0.60   3.67   3.85   0     —     —  —
    15     CS   12.835   325.9   0.83   3.90   4.08   0     —     —  —
    16     CS   13.087   300.8   1.08   4.16   4.34   0     —     —  —
    17     CS   13.337   274.0   1.33   4.41   4.59   0     —     —  —
    18     CS   13.591   247.5   1.58   4.66   4.84   0     —     —  —
    19     CS   13.830   219.7   1.82   4.90   5.08   0     —     —  —
    20     CS   14.081   193.0   2.07   5.15   5.33   1   b45     —  CHARGE, BRK-B45
    21     CS   15.360   412.4   0.26   5.41   5.82   0     —     —  —
    22     CS   15.618   384.0   0.52   5.67   6.07   0     —     —  —
    23     CS   15.994   356.8   0.90   6.05   6.45   0     —     —  —
    24     CS   16.289   324.6   1.19   6.34   6.75   0     —     —  —
    25     CS   16.573   291.4   1.48   6.63   7.03   0     —     —  —
    26     CS   16.970   247.3   1.87   7.02   7.43   0     —     —  —
    27     CS   17.216   218.3   2.12   7.27   7.67   0     —     —  —
    28     CS   17.521   193.6   2.42   7.58   7.98   0     —     —  —
    29     CS   17.770   165.0   2.67   7.82   8.23   0     —     —  —
    30     CS   18.063   139.6   2.97   8.12   8.52   1   b45     —  CHARGE, BRK-B45
    31     CS   19.517   353.3   0.46   8.58   9.21   0     —     —  —
    32     CS   19.811   324.1   0.75   8.87   9.51   0     —     —  —
    33     CS   20.093   293.8   1.03   9.15   9.79   0     —     —  —
    34     CS   20.401   265.6   1.34   9.46  10.10   0     —     —  —
    35     CS   20.623   241.7   1.56   9.68  10.32   0     —     —  —
    36     CS   20.976   223.5   1.92  10.03  10.67   0     —    r2  REST-R2
    37     CS   30.367   199.8   0.22   0.22   0.22   1   b45     —  CHARGE, BRK-B45
    38     CS   31.675   373.3   0.28   0.50   0.78   0     —     —  —
    39     CS   31.977   341.8   0.58   0.81   1.08   0     —     —  —
    40     CS   32.282   310.5   0.89   1.11   1.39   0     —     —  —
    41     CS   32.747   267.2   1.35   1.58   1.85   0     —     —  —
    42     CS   33.001   240.1   1.61   1.83   2.11   0     —     —  —
    43     CS   33.358   218.1   1.96   2.19   2.47   0     —     —  —
    44     CS   33.603   190.1   2.21   2.43   2.71   1   b45     —  CHARGE, BRK-B45
    45     CS   34.984   412.2   0.22   2.66   3.31   0     —     —  —
    46     CS   35.206   386.9   0.44   2.88   3.53   0     —     —  —
    47     CS   35.473   364.9   0.71   3.14   3.79   0     —     —  —
    48     CS   35.703   340.4   0.94   3.37   4.02   0     —     —  —
    49     CS   36.156   287.2   1.39   3.83   4.48   0     —     —  —
    50     CS   36.448   263.2   1.69   4.12   4.77   0     —     —  —
    51     CS   36.687   235.4   1.93   4.36   5.01   0     —     —  —
    52     CS   36.986   211.8   2.22   4.66   5.31   0     —     —  —
    53     CS   37.254   186.3   2.49   4.92   5.58   0     —     —  —
    54     CS   37.557   154.8   2.79   5.23   5.88   0     —     —  —
    55     CS   37.879   124.8   3.12   5.55   6.20   1   b45     —  CHARGE, BRK-B45
    56     CS   39.150   374.7   0.22   5.77   6.68   0     —     —  —
    57     CS   39.376   348.8   0.45   6.00   6.91   0     —     —  —
    58     CS   39.643   326.1   0.72   6.27   7.17   0     —     —  —
    59     CS   39.894   296.9   0.97   6.52   7.43   0     —     —  —
    60   CUST   40.147   268.0   1.22   6.77   7.68   0     —     —  —
    61     CS   41.196   224.8   1.77   7.32   8.73   0     —     —  —
    62     CS   41.408   202.7   1.98   7.53   8.94   0     —     —  —
    63     CS   41.647   176.5   2.22   7.77   9.18   0     —     —  —
    64     CS   41.882   149.9   2.46   8.01   9.41   0     —     —  —
    65     CS   42.124   124.0   2.70   8.25   9.66   1     —    r2  CHARGE, REST-R2
    66     CS   52.496   380.1   0.23   0.23   0.23   0     —     —  —
    67     CS   52.728   354.0   0.46   0.46   0.46   0     —     —  —
    68     CS   52.992   330.4   0.73   0.73   0.73   0     —     —  —
    69     CS   53.271   305.2   1.01   1.01   1.01   0     —     —  —
    70     CS   53.532   278.7   1.27   1.27   1.27   0     —     —  —
    71     CS   53.770   250.2   1.51   1.51   1.51   0     —     —  —
    72     CS   54.016   222.4   1.75   1.75   1.75   0     —     —  —
    73     CS   54.259   201.4   1.99   1.99   1.99   0     —     —  —
    74     CS   54.472   178.3   2.21   2.21   2.21   0     —     —  —
    75     CS   54.726   158.0   2.46   2.46   2.46   1   b45     —  CHARGE, BRK-B45
    76     CS   56.222   424.9   0.26   2.72   2.99   0     —     —  —
    77     CS   56.524   398.2   0.56   3.02   3.29   0     —     —  —
    78     CS   56.779   367.9   0.82   3.28   3.55   0     —     —  —
    79     CS   57.019   344.7   1.06   3.52   3.79   0     —     —  —
    80     CS   57.381   326.2   1.42   3.88   4.15   0     —     —  —
    81     CS   57.615   302.5   1.65   4.11   4.39   0     —     —  —
    82     CS   57.830   281.1   1.87   4.33   4.60   0     —     —  —
    83     CS   58.062   260.8   2.10   4.56   4.83   0     —     —  —
