DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
[1/33] RshortCmediumTmedium_17: shard exists, skip
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RmediumCmanyTtight_14_DAGGER1_S1_H24_20260821_095131_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.237   474.3   0.24   0.24   0.24   0     —     —  —
     2     CS    8.480   449.2   0.48   0.48   0.48   0     —     —  —
     3     CS    8.708   422.8   0.71   0.71   0.71   0     —     —  —
     4     CS    9.011   401.9   1.01   1.01   1.01   0     —     —  —
     5     CS    9.239   376.7   1.24   1.24   1.24   0     —     —  —
     6     CS    9.478   352.3   1.48   1.48   1.48   0     —     —  —
     7     CS    9.702   326.7   1.70   1.70   1.70   0     —     —  —
     8     CS    9.943   306.3   1.94   1.94   1.94   0     —     —  —
     9     CS   10.224   287.6   2.22   2.22   2.22   0     —     —  —
    10     CS   10.431   264.8   2.43   2.43   2.43   0     —     —  —
    11     CS   10.922   215.0   2.92   2.92   2.92   1   b45     —  CHARGE, BRK-B45
    12     CS   12.346   450.1   0.26   3.18   3.46   0     —     —  —
    13     CS   12.604   428.1   0.51   3.44   3.71   0     —     —  —
    14     CS   12.833   404.0   0.74   3.66   3.94   0     —     —  —
    15     CS   13.053   379.2   0.96   3.88   4.16   0     —     —  —
    16     CS   13.367   353.9   1.28   4.20   4.48   0     —     —  —
    17     CS   13.626   324.7   1.53   4.46   4.74   0     —     —  —
    18     CS   13.905   297.3   1.81   4.74   5.01   0     —     —  —
    19     CS   14.406   252.3   2.32   5.24   5.52   0     —     —  —
    20     CS   14.859   230.6   2.77   5.69   5.97   0     —     —  —
    21     CS   15.112   200.1   3.02   5.94   6.22   0     —     —  —
    22     CS   15.383   171.2   3.29   6.21   6.49   1   b45     —  CHARGE, BRK-B45
    23     CS   16.760   400.7   0.24   6.45   7.08   0     —     —  —
    24     CS   17.014   375.0   0.49   6.71   7.33   0     —     —  —
    25     CS   17.250   347.7   0.73   6.94   7.57   0     —     —  —
    26     CS   17.511   317.9   0.99   7.21   7.83   0     —     —  —
    27     CS   17.769   287.9   1.25   7.46   8.09   0     —     —  —
    28   CUST   18.032   258.3   1.51   7.73   8.35   0     —     —  —
    29   CUST   18.765   231.1   1.74   7.96   9.08   0     —     —  —
    30     CS   19.302   227.4   1.78   8.00   9.62   0     —     —  —
    31     CS   19.704   189.2   2.18   8.40  10.02   0     —     —  —
    32     CS   19.954   160.9   2.43   8.65  10.27   0     —     —  —
    33     CS   20.204   132.4   2.68   8.90  10.52   0     —     —  —
    34     CS   20.453   104.0   2.93   9.15  10.77   1   b45     —  CHARGE, BRK-B45
    35     CS   22.103   421.1   0.25   9.40  11.34   0     —     —  —
    36     CS   22.341   394.1   0.49   9.64  11.58   0     —     —  —
    37     CS   22.586   367.5   0.74   9.88  11.82   0     —    r2  REST-R2
    38     CS   32.191   322.4   0.44   0.44   0.44   0     —     —  —
    39     CS   32.584   296.9   0.83   0.83   0.83   0     —     —  —
    40     CS   32.903   268.0   1.15   1.15   1.15   0     —     —  —
    41     CS   33.178   235.6   1.43   1.43   1.43   0     —     —  —
    42     CS   33.388   214.4   1.64   1.64   1.64   0     —     —  —
    43     CS   33.583   192.1   1.83   1.83   1.83   0     —     —  —
    44     CS   33.787   170.5   2.03   2.03   2.03   1   b45     —  CHARGE, BRK-B45
    45     CS   35.156   382.9   0.29   2.32   2.65   0     —     —  —
    46     CS   35.466   352.1   0.60   2.63   2.96   0     —     —  —
    47     CS   35.752   319.1   0.88   2.92   3.25   0     —     —  —
    48     CS   36.009   291.3   1.14   3.17   3.51   0     —     —  —
    49     CS   36.279   264.6   1.41   3.44   3.78   0     —     —  —
    50   CUST   36.528   236.1   1.66   3.69   4.03   0     —     —  —
    51   CUST   37.212   216.2   1.84   3.88   4.71   0     —     —  —
    52     CS   37.992   183.9   2.12   4.16   5.49   0     —     —  —
    53     CS   38.285   152.7   2.42   4.45   5.78   0     —     —  —
    54   CUST   38.304   150.9   2.44   4.47   5.80   0     —     —  —
    55     CS   38.893   146.6   2.52   4.56   6.39   1   b45     —  CHARGE, BRK-B45
    56   CUST   40.359   398.3   0.28   4.84   6.98   0     —     —  —
    57     CS   41.217   371.2   0.64   5.20   7.84   0     —     —  —
    58     CS   41.460   342.0   0.88   5.44   8.08   0     —     —  —
    59     CS   41.719   314.1   1.14   5.70   8.34   0     —     —  —
    60     CS   41.996   283.5   1.42   5.98   8.62   0     —     —  —
    61     CS   42.282   253.6   1.71   6.26   8.90   0     —     —  —
    62     CS   42.579   224.7   2.00   6.56   9.20   0     —     —  —
    63     CS   42.826   196.7   2.25   6.81   9.45   0     —     —  —
    64     CS   43.071   168.7   2.50   7.05   9.69   0     —     —  —
    65     CS   43.317   140.7   2.74   7.30   9.94   1   b45     —  CHARGE, BRK-B45
    66     CS   44.646   383.8   0.34   7.64  10.49   0     —     —  —
    67     CS   44.903   355.2   0.59   7.89  10.75   0     —     —  —
    68     CS   45.168   327.5   0.86   8.16  11.01   0     —     —  —
    69     CS   45.465   293.1   1.16   8.46  11.31   0     —     —  —
    70     CS   45.699   268.3   1.39   8.69  11.54   0     —     —  —
    71     CS   45.958   245.4   1.65   8.95  11.80   0     —     —  —
    72     CS   46.185   220.0   1.88   9.18  12.03   0     —     —  —
    73   CUST   46.415   194.9   2.11   9.41  12.26   0     —    r2  REST-R2
    74     CS   56.307   153.8   0.39   0.39   0.39   1   b45     —  CHARGE, BRK-B45
    75   CUST   57.719   346.4   0.42   0.82   1.05   0     —     —  —
    76     CS   58.378   331.2   0.58   0.97   1.71   0     —     —  —
    77     CS   58.922   287.8   1.13   1.52   2.26   0     —     —  —
    78     CS   59.207   254.7   1.41   1.80   2.54   0     —     —  —
    79     CS   59.535   225.0   1.74   2.13   2.87   0     —     —  —
    80     CS   59.843   193.9   2.05   2.44   3.18   0     —     —  —
    81     CS   60.056   169.2   2.26   2.65   3.39   0     —     —  —
    82     CS   60.281   145.6   2.49   2.88   3.62   0     —     —  —
