DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RlongCfewTmedium_16_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.263   476.3   0.26   0.26   0.26   0     —     —  —
     2     CS    8.617   456.2   0.62   0.62   0.62   0     —     —  —
     3     CS    8.843   429.6   0.84   0.84   0.84   0     —     —  —
     4     CS    9.118   400.2   1.12   1.12   1.12   0     —     —  —
     5     CS    9.385   370.3   1.39   1.39   1.39   0     —     —  —
     6     CS    9.647   339.8   1.65   1.65   1.65   0     —     —  —
     7     CS    9.947   309.2   1.95   1.95   1.95   0     —     —  —
     8     CS   10.230   277.1   2.23   2.23   2.23   0     —     —  —
     9     CS   10.480   251.1   2.48   2.48   2.48   0     —     —  —
    10     CS   10.751   226.5   2.75   2.75   2.75   0     —     —  —
    11     CS   10.999   200.4   3.00   3.00   3.00   0     —     —  —
    12     CS   11.311   174.3   3.31   3.31   3.31   0     —     —  —
    13     CS   11.643   149.2   3.64   3.64   3.64   0     —     —  —
    14     CS   11.897   118.8   3.90   3.90   3.90   1   b45     —  CHARGE, BRK-B45
    15     CS   13.366   346.9   0.42   4.32   4.57   0     —     —  —
    16     CS   13.652   316.3   0.71   4.60   4.86   0     —     —  —
    17     CS   14.013   290.2   1.07   4.97   5.22   0     —     —  —
    18     CS   14.371   264.0   1.43   5.32   5.58   0     —     —  —
    19     CS   14.605   239.2   1.66   5.56   5.81   0     —     —  —
    20     CS   14.839   214.5   1.89   5.79   6.05   0     —     —  —
    21     CS   15.059   188.4   2.11   6.01   6.27   0     —     —  —
    22     CS   15.297   164.0   2.35   6.25   6.51   0     —     —  —
    23     CS   15.730   124.9   2.79   6.68   6.94   1   b45     —  CHARGE, BRK-B45
    24     CS   16.995   383.5   0.24   6.92   7.39   0     —     —  —
    25     CS   17.211   359.9   0.46   7.14   7.61   0     —     —  —
    26     CS   17.424   336.0   0.67   7.35   7.82   0     —     —  —
    27     CS   17.646   311.4   0.89   7.57   8.04   0     —     —  —
    28     CS   17.867   286.7   1.11   7.79   8.26   0     —     —  —
    29     CS   18.104   263.3   1.35   8.03   8.50   0     —     —  —
    30     CS   18.335   239.4   1.58   8.26   8.73   0     —     —  —
    31     CS   18.610   211.6   1.85   8.54   9.01   0     —     —  —
    32     CS   18.885   183.9   2.13   8.81   9.28   0     —     —  —
    33     CS   19.250   160.6   2.49   9.18   9.64   1     —    r2  CHARGE, REST-R2
    34     CS   29.745   327.9   0.47   0.47   0.47   0     —     —  —
    35     CS   29.957   302.3   0.68   0.68   0.68   0     —     —  —
    36     CS   30.187   278.3   0.91   0.91   0.91   0     —     —  —
    37     CS   30.450   256.6   1.18   1.18   1.18   0     —     —  —
    38     CS   30.664   231.1   1.39   1.39   1.39   0     —     —  —
    39     CS   30.947   207.6   1.67   1.67   1.67   0     —     —  —
    40     CS   31.183   180.7   1.91   1.91   1.91   1   b45     —  CHARGE, BRK-B45
    41     CS   32.428   356.7   0.27   2.18   2.40   0     —     —  —
    42     CS   32.697   327.4   0.54   2.45   2.67   0     —     —  —
    43     CS   32.954   297.1   0.80   2.71   2.93   0     —     —  —
    44     CS   33.219   267.5   1.06   2.97   3.19   0     —     —  —
    45     CS   33.487   243.1   1.33   3.24   3.46   0     —     —  —
    46     CS   33.722   216.1   1.57   3.48   3.70   1   b45     —  CHARGE, BRK-B45
    47     CS   35.019   410.3   0.26   3.74   4.24   0     —     —  —
    48     CS   35.260   381.9   0.51   3.98   4.49   0     —     —  —
    49     CS   35.595   359.2   0.84   4.32   4.82   0     —     —  —
    50     CS   35.861   329.1   1.11   4.58   5.09   0     —     —  —
    51     CS   36.217   304.5   1.46   4.94   5.44   0     —     —  —
    52     CS   36.491   275.1   1.74   5.21   5.72   0     —     —  —
    53     CS   36.760   246.9   2.00   5.48   5.99   0     —     —  —
    54     CS   37.045   219.8   2.29   5.77   6.27   0     —     —  —
    55   CUST   37.298   190.1   2.54   6.02   6.52   0     —     —  —
    56     CS   37.862   183.0   2.61   6.08   7.09   1   b45     —  CHARGE, BRK-B45
    57     CS   39.240   398.6   0.23   6.32   7.72   0     —     —  —
    58     CS   39.460   374.2   0.45   6.54   7.94   0     —     —  —
    59     CS   39.698   351.3   0.69   6.77   8.17   0     —     —  —
    60     CS   40.157   298.6   1.15   7.23   8.63   0     —     —  —
    61     CS   40.352   276.2   1.34   7.43   8.83   0     —     —  —
    62     CS   40.548   253.9   1.54   7.62   9.02   0     —     —  —
    63     CS   40.745   231.7   1.74   7.82   9.22   0     —     —  —
    64     CS   41.017   206.6   2.01   8.09   9.49   0     —     —  —
    65     CS   41.255   178.6   2.25   8.33   9.73   0     —     —  —
    66     CS   41.497   151.1   2.49   8.57   9.97   0     —     —  —
    67     CS   41.773   126.2   2.76   8.85  10.25   1     —    r2  CHARGE, REST-R2
    68     CS   52.222   375.3   0.35   0.35   0.35   0     —     —  —
    69     CS   52.549   350.8   0.68   0.68   0.68   0     —     —  —
    70     CS   52.802   321.2   0.93   0.93   0.93   0     —     —  —
    71     CS   53.055   291.7   1.18   1.18   1.18   0     —     —  —
    72     CS   53.341   264.9   1.47   1.47   1.47   0     —     —  —
    73     CS   53.556   240.4   1.69   1.69   1.69   0     —     —  —
    74     CS   53.784   217.0   1.91   1.91   1.91   0     —     —  —
    75     CS   54.023   194.5   2.15   2.15   2.15   0     —     —  —
    76     CS   54.255   167.6   2.39   2.39   2.39   0     —     —  —
    77     CS   54.526   143.7   2.66   2.66   2.66   0     —     —  —
    78     CS   54.918   124.0   3.05   3.05   3.05   1   b45     —  CHARGE, BRK-B45
    79     CS   56.281   396.0   0.29   3.34   3.54   0     —     —  —
    80     CS   56.527   373.9   0.54   3.59   3.79   0     —     —  —
    81     CS   56.744   349.5   0.76   3.80   4.01   0     —     —  —
    82     CS   57.029   318.1   1.04   4.09   4.29   0     —     —  —
    83     CS   57.319   287.0   1.33   4.38   4.58   0     —     —  —
