DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RlongCmediumTlarge_14_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.234   474.1   0.23   0.23   0.23   0     —     —  —
     2     CS    8.478   449.0   0.48   0.48   0.48   0     —     —  —
     3     CS    8.709   422.8   0.71   0.71   0.71   0     —     —  —
     4     CS    8.938   398.8   0.94   0.94   0.94   0     —     —  —
     5     CS    9.157   373.9   1.16   1.16   1.16   0     —     —  —
     6     CS    9.389   350.1   1.39   1.39   1.39   0     —     —  —
     7     CS    9.607   325.1   1.61   1.61   1.61   0     —     —  —
     8     CS    9.924   295.7   1.92   1.92   1.92   0     —     —  —
     9     CS   10.229   265.5   2.23   2.23   2.23   0     —     —  —
    10     CS   10.640   217.9   2.64   2.64   2.64   0     —     —  —
    11     CS   10.902   190.6   2.90   2.90   2.90   0     —     —  —
    12     CS   11.180   164.5   3.18   3.18   3.18   0     —     —  —
    13     CS   11.447   137.6   3.45   3.45   3.45   1   b45     —  CHARGE, BRK-B45
    14     CS   13.086   416.8   0.47   3.91   4.14   0     —     —  —
    15     CS   13.375   388.2   0.75   4.20   4.43   0     —     —  —
    16     CS   13.670   359.9   1.05   4.50   4.72   0     —     —  —
    17     CS   13.938   329.4   1.32   4.76   4.99   0     —     —  —
    18     CS   14.345   281.3   1.72   5.17   5.40   0     —     —  —
    19     CS   14.774   256.6   2.15   5.60   5.83   0     —     —  —
    20     CS   15.105   228.2   2.48   5.93   6.16   0     —     —  —
    21     CS   15.338   200.9   2.72   6.16   6.39   0     —     —  —
    22     CS   15.660   179.2   3.04   6.49   6.71   0     —     —  —
    23     CS   15.909   153.4   3.29   6.74   6.96   0     —     —  —
    24     CS   16.186   129.5   3.56   7.01   7.24   1   b45     —  CHARGE, BRK-B45
    25     CS   17.505   393.7   0.22   7.23   7.69   0     —     —  —
    26     CS   17.839   374.5   0.55   7.56   8.03   0     —     —  —
    27     CS   18.077   351.2   0.79   7.80   8.27   0     —     —  —
    28     CS   18.471   330.2   1.18   8.20   8.66   0     —     —  —
    29     CS   18.755   305.1   1.47   8.48   8.94   0     —     —  —
    30     CS   19.000   277.1   1.71   8.72   9.19   0     —     —  —
    31     CS   19.244   248.9   1.96   8.97   9.43   0     —     —  —
    32     CS   19.598   226.8   2.31   9.32   9.79   0     —     —  —
    33     CS   19.877   201.5   2.59   9.60  10.07   1     —    r2  CHARGE, REST-R2
    34     CS   30.198   361.5   0.39   0.39   0.39   0     —     —  —
    35     CS   30.445   332.1   0.64   0.64   0.64   0     —     —  —
    36     CS   30.924   307.8   1.12   1.12   1.12   0     —     —  —
    37     CS   31.211   274.8   1.41   1.41   1.41   0     —     —  —
    38     CS   31.570   246.9   1.77   1.77   1.77   0     —     —  —
    39     CS   31.783   222.2   1.98   1.98   1.98   0     —     —  —
    40     CS   32.014   199.1   2.21   2.21   2.21   0     —     —  —
    41     CS   32.230   174.7   2.43   2.43   2.43   1   b45     —  CHARGE, BRK-B45
    42     CS   33.526   391.2   0.22   2.65   2.97   0     —     —  —
    43     CS   33.744   365.4   0.44   2.87   3.19   0     —     —  —
    44     CS   33.972   340.5   0.67   3.09   3.42   0     —     —  —
    45     CS   34.231   311.3   0.93   3.35   3.68   0     —     —  —
    46     CS   34.488   282.0   1.18   3.61   3.93   0     —     —  —
    47     CS   34.819   257.5   1.51   3.94   4.26   0     —     —  —
    48     CS   35.029   233.3   1.72   4.15   4.47   0     —     —  —
    49     CS   35.243   209.5   1.94   4.36   4.69   0     —     —  —
    50   CUST   35.480   187.6   2.18   4.60   4.93   0     —     —  —
    51     CS   36.130   180.4   2.33   4.75   5.58   1   b45     —  CHARGE, BRK-B45
    52     CS   37.480   389.0   0.31   5.07   6.18   0     —     —  —
    53     CS   37.731   361.1   0.57   5.32   6.43   0     —     —  —
    54     CS   37.984   333.3   0.82   5.57   6.68   0     —     —  —
    55     CS   38.206   307.2   1.04   5.79   6.90   0     —     —  —
    56     CS   38.427   280.8   1.26   6.01   7.12   0     —     —  —
    57     CS   38.692   257.9   1.53   6.28   7.39   0     —     —  —
    58     CS   38.939   235.9   1.77   6.52   7.63   0     —     —  —
    59     CS   39.150   211.0   1.98   6.74   7.85   0     —     —  —
    60     CS   39.465   191.8   2.30   7.05   8.16   0     —     —  —
    61     CS   39.863   156.5   2.70   7.45   8.56   1   b45     —  CHARGE, BRK-B45
    62     CS   41.298   386.5   0.46   7.91   9.24   0     —     —  —
    63     CS   41.605   359.5   0.77   8.22   9.55   0     —     —  —
    64     CS   41.885   330.7   1.05   8.50   9.83   0     —     —  —
    65     CS   42.154   300.9   1.32   8.76  10.10   0     —     —  —
    66     CS   42.378   279.4   1.54   8.99  10.32   0     —     —  —
    67     CS   42.731   262.5   1.89   9.34  10.68   0     —     —  —
    68     CS   42.937   239.5   2.10   9.55  10.88   0     —     —  —
    69     CS   43.216   211.3   2.38   9.83  11.16   0     —    r2  REST-R2
    70     CS   52.776   188.4   0.39   0.39   0.39   0     —     —  —
    71     CS   53.036   158.5   0.65   0.65   0.65   1   b45     —  CHARGE, BRK-B45
    72     CS   54.459   361.0   0.44   1.09   1.33   0     —     —  —
    73     CS   54.731   337.3   0.71   1.36   1.60   0     —     —  —
    74     CS   54.959   310.2   0.94   1.59   1.83   0     —     —  —
    75     CS   55.186   283.0   1.16   1.82   2.05   0     —     —  —
    76     CS   55.415   256.0   1.39   2.05   2.28   0     —     —  —
    77     CS   55.634   231.9   1.61   2.26   2.50   0     —     —  —
    78     CS   55.855   207.9   1.83   2.49   2.72   0     —     —  —
    79     CS   56.137   187.7   2.11   2.77   3.00   1   b45     —  CHARGE, BRK-B45
    80     CS   57.500   404.3   0.27   3.03   3.62   0     —     —  —
    81     CS   57.748   378.1   0.51   3.28   3.86   0     —     —  —
    82     CS   57.990   351.3   0.76   3.52   4.10   0     —     —  —
    83     CS   58.225   323.9   0.99   3.76   4.34   0     —     —  —
