DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RshortCmanyTtight_3_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.227   473.4   0.23   0.23   0.23   0     —     —  —
     2     CS    8.457   447.1   0.46   0.46   0.46   0     —     —  —
     3     CS    8.687   420.9   0.69   0.69   0.69   0     —     —  —
     4     CS    8.967   388.5   0.97   0.97   0.97   0     —     —  —
     5     CS    9.457   365.0   1.46   1.46   1.46   0     —     —  —
     6     CS    9.736   341.8   1.74   1.74   1.74   0     —     —  —
     7     CS    9.976   315.8   1.98   1.98   1.98   0     —     —  —
     8     CS   10.210   289.3   2.21   2.21   2.21   0     —     —  —
     9     CS   10.458   264.0   2.46   2.46   2.46   0     —     —  —
    10     CS   10.676   242.0   2.68   2.68   2.68   0     —     —  —
    11     CS   10.883   219.2   2.88   2.88   2.88   0     —     —  —
    12   CUST   11.110   197.9   3.11   3.11   3.11   0     —     —  —
    13   CUST   11.676   191.0   3.18   3.18   3.68   0     —     —  —
    14   CUST   12.328   176.4   3.33   3.33   4.33   0     —     —  —
    15   CUST   12.952   161.6   3.45   3.45   4.95   0     —     —  —
    16   CUST   13.511   155.2   3.51   3.51   5.51   0     —     —  —
    17   CUST   14.026   154.1   3.53   3.53   6.03   0     —     —  —
    18     CS   14.683   137.7   3.68   3.68   6.68   0     —     —  —
    19     CS   14.772   128.1   3.77   3.77   6.77   1   b45     —  CHARGE, BRK-B45
    20     CS   16.468   452.7   0.29   4.06   7.29   0     —     —  —
    21     CS   16.735   422.7   0.55   4.33   7.55   0     —     —  —
    22   CUST   17.006   393.1   0.82   4.60   7.82   0     —     —  —
    23     CS   17.603   381.8   0.92   4.69   8.42   0     —     —  —
    24     CS   17.823   361.1   1.14   4.91   8.64   0     —     —  —
    25     CS   18.016   338.1   1.33   5.11   8.83   0     —     —  —
    26     CS   18.217   315.9   1.54   5.31   9.04   0     —     —  —
    27     CS   18.524   286.9   1.84   5.61   9.34   0     —     —  —
    28   CUST   18.820   257.1   2.14   5.91   9.64   0     —     —  —
    29   CUST   19.661   240.2   2.48   6.25  10.48   0     —     —  —
    30     CS   20.461   208.4   2.78   6.55  11.28   0     —     —  —
    31     CS   20.772   177.6   3.09   6.86  11.59   0     —     —  —
    32   CUST   20.825   171.8   3.14   6.92  11.64   0     —    r2  REST-R2
    33     CS   30.901   131.4   0.58   0.58   0.58   1   b45     —  CHARGE, BRK-B45
    34   CUST   32.325   427.8   0.14   0.72   1.01   0     —     —  —
    35     CS   33.057   402.9   0.38   0.95   1.74   0     —     —  —
    36     CS   33.277   376.9   0.60   1.17   1.96   0     —     —  —
    37     CS   33.522   353.0   0.84   1.42   2.21   0     —     —  —
    38     CS   33.812   323.8   1.13   1.71   2.50   0     —     —  —
    39   CUST   34.270   271.1   1.59   2.16   2.96   0     —     —  —
    40     CS   34.910   256.7   1.73   2.30   3.60   0     —     —  —
    41   CUST   35.384   218.9   2.20   2.78   4.07   0     —     —  —
    42     CS   35.972   209.1   2.29   2.87   4.66   0     —     —  —
    43     CS   36.231   181.9   2.55   3.13   4.92   0     —     —  —
    44     CS   36.534   157.6   2.85   3.43   5.22   0     —     —  —
    45     CS   36.783   129.5   3.10   3.68   5.47   1   b45     —  CHARGE, BRK-B45
    46     CS   38.056   246.4   0.30   3.98   5.99   0     —     —  —
    47     CS   38.306   218.8   0.55   4.23   6.24   0     —     —  —
    48     CS   38.552   190.8   0.80   4.47   6.49   1     —     —  CHARGE
    49     CS   39.476   233.1   1.14   4.81   7.41   0     —     —  —
    50     CS   39.798   205.1   1.46   5.13   7.73   0     —     —  —
[1/33] RshortCmanyTtight_3          labelled   17 states in  20.1 min
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RlongCmediumTlarge_1_DAGGER1_S1_H24_20260821_101138_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.232   473.9   0.23   0.23   0.23   0     —     —  —
     2     CS    8.487   449.7   0.49   0.49   0.49   0     —     —  —
     3     CS    8.717   423.4   0.72   0.72   0.72   0     —     —  —
     4     CS    9.002   390.3   1.00   1.00   1.00   0     —     —  —
     5     CS    9.370   362.7   1.37   1.37   1.37   0     —     —  —
     6     CS    9.657   329.8   1.66   1.66   1.66   0     —     —  —
     7     CS    9.949   301.9   1.95   1.95   1.95   0     —     —  —
     8     CS   10.221   272.4   2.22   2.22   2.22   0     —     —  —
     9     CS   10.497   239.2   2.50   2.50   2.50   0     —     —  —
    10     CS   10.875   212.6   2.87   2.87   2.87   0     —     —  —
    11     CS   11.175   181.7   3.18   3.18   3.18   1   b45     —  CHARGE, BRK-B45
    12     CS   12.396   393.5   0.24   3.41   3.65   0     —     —  —
    13     CS   12.687   374.1   0.53   3.70   3.94   0     —     —  —
    14     CS   12.894   349.7   0.74   3.91   4.14   0     —     —  —
    15     CS   13.157   322.5   1.00   4.17   4.41   0     —     —  —
    16     CS   13.416   294.8   1.26   4.43   4.67   0     —     —  —
    17     CS   13.690   268.4   1.53   4.71   4.94   0     —     —  —
    18     CS   13.936   242.8   1.78   4.95   5.19   0     —     —  —
    19     CS   14.195   218.2   2.04   5.21   5.45   0     —     —  —
    20     CS   14.428   191.4   2.27   5.45   5.68   0     —     —  —
    21     CS   14.737   169.9   2.58   5.75   5.99   0     —     —  —
    22     CS   14.965   143.4   2.81   5.98   6.21   0     —     —  —
    23     CS   15.221   119.3   3.06   6.24   6.47   1   b45     —  CHARGE, BRK-B45
    24     CS   16.580   379.1   0.23   6.47   7.00   0     —     —  —
    25     CS   16.886   356.9   0.53   6.77   7.30   0     —     —  —
    26     CS   17.122   330.5   0.77   7.01   7.54   0     —     —  —
