DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RmediumCmanyTmedium_7_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.309   478.6   0.31   0.31   0.31   0     —     —  —
     2     CS    8.536   452.0   0.54   0.54   0.54   0     —     —  —
     3     CS    8.785   427.3   0.78   0.78   0.78   0     —     —  —
     4     CS    9.008   402.2   1.01   1.01   1.01   0     —     —  —
     5     CS    9.236   377.5   1.24   1.24   1.24   0     —     —  —
     6     CS    9.464   352.9   1.46   1.46   1.46   0     —     —  —
     7     CS    9.698   328.7   1.70   1.70   1.70   0     —     —  —
     8     CS   10.105   293.9   2.11   2.11   2.11   0     —     —  —
     9     CS   10.364   265.5   2.36   2.36   2.36   0     —     —  —
    10     CS   10.651   239.3   2.65   2.65   2.65   0     —     —  —
    11     CS   10.939   213.1   2.94   2.94   2.94   0     —     —  —
    12     CS   11.211   185.9   3.21   3.21   3.21   0     —     —  —
    13     CS   11.767   153.5   3.77   3.77   3.77   1   b45     —  CHARGE, BRK-B45
    14     CS   13.046   389.8   0.23   4.00   4.26   0     —     —  —
    15     CS   13.346   367.1   0.53   4.30   4.56   0     —     —  —
    16     CS   13.581   340.0   0.77   4.54   4.79   0     —     —  —
    17     CS   13.833   314.5   1.02   4.79   5.04   0     —     —  —
    18     CS   14.140   283.4   1.33   5.10   5.35   0     —     —  —
    19     CS   14.434   251.1   1.62   5.39   5.64   0     —     —  —
    20     CS   14.667   228.2   1.85   5.62   5.88   0     —     —  —
    21     CS   14.883   203.7   2.07   5.84   6.09   0     —     —  —
    22     CS   15.097   179.1   2.28   6.05   6.31   1   b45     —  CHARGE, BRK-B45
    23     CS   16.613   435.0   0.26   6.31   6.89   0     —     —  —
    24     CS   16.850   407.5   0.49   6.55   7.13   0     —     —  —
    25     CS   17.118   382.6   0.76   6.81   7.40   0     —     —  —
    26     CS   17.353   355.0   1.00   7.05   7.63   0     —     —  —
    27   CUST   17.802   310.6   1.45   7.50   8.08   0     —     —  —
    28     CS   18.511   287.5   1.65   7.71   8.79   0     —     —  —
    29     CS   18.715   264.0   1.86   7.91   8.99   0     —     —  —
    30   CUST   18.918   240.4   2.06   8.11   9.20   0     —     —  —
    31   CUST   19.550   228.6   2.19   8.25   9.83   0     —     —  —
    32     CS   20.073   225.9   2.22   8.27  10.35   0     —     —  —
    33   CUST   20.161   216.2   2.30   8.36  10.44   0     —     —  —
    34   CUST   20.998   182.0   2.64   8.69  11.28   0     —     —  —
    35     CS   21.538   178.4   2.68   8.73  11.81   0     —     —  —
    36     CS   21.728   159.1   2.87   8.92  12.00   1     —    r2  CHARGE, REST-R2
    37     CS   32.070   405.0   0.31   0.31   0.31   0     —     —  —
    38     CS   32.309   379.5   0.55   0.55   0.55   0     —     —  —
    39     CS   32.547   353.9   0.79   0.79   0.79   0     —     —  —
    40     CS   32.783   330.4   1.02   1.02   1.02   0     —     —  —
    41     CS   33.022   307.2   1.26   1.26   1.26   0     —     —  —
    42     CS   33.273   284.8   1.51   1.51   1.51   0     —     —  —
    43     CS   33.477   260.8   1.72   1.72   1.72   0     —     —  —
    44     CS   33.684   237.2   1.92   1.92   1.92   0     —     —  —
    45     CS   34.005   219.2   2.24   2.24   2.24   0     —     —  —
    46     CS   34.286   195.9   2.52   2.52   2.52   0     —     —  —
    47     CS   34.534   170.4   2.77   2.77   2.77   0     —     —  —
    48     CS   34.798   146.1   3.04   3.04   3.04   1   b45     —  CHARGE, BRK-B45
    49     CS   36.607   413.8   0.28   3.32   3.89   0     —     —  —
    50     CS   36.952   385.8   0.63   3.67   4.24   0     —     —  —
    51     CS   37.240   353.8   0.92   3.95   4.52   0     —     —  —
    52     CS   37.522   325.1   1.20   4.24   4.81   0     —     —  —
    53     CS   37.790   295.1   1.47   4.50   5.07   0     —     —  —
    54     CS   38.065   265.9   1.74   4.78   5.35   0     —     —  —
    55     CS   38.325   236.5   2.00   5.04   5.61   0     —     —  —
    56     CS   38.619   209.7   2.30   5.33   5.90   1   b45     —  CHARGE, BRK-B45
    57     CS   39.805   413.5   0.21   5.54   6.34   0     —     —  —
    58     CS   40.002   389.7   0.41   5.74   6.54   0     —     —  —
    59   CUST   40.202   366.2   0.60   5.94   6.74   0     —     —  —
    60     CS   40.964   336.1   0.87   6.20   7.50   0     —     —  —
    61     CS   41.235   306.8   1.14   6.47   7.77   0     —     —  —
    62     CS   41.668   284.5   1.57   6.90   8.20   0     —     —  —
    63     CS   41.674   283.8   1.58   6.91   8.21   0     —     —  —
    64     CS   41.921   260.5   1.82   7.16   8.45   0     —     —  —
    65     CS   42.143   235.0   2.05   7.38   8.68   0     —     —  —
    66     CS   42.368   209.9   2.27   7.60   8.90   0     —     —  —
    67     CS   42.577   185.6   2.48   7.81   9.11   0     —     —  —
    68     CS   42.794   162.1   2.70   8.03   9.33   0     —     —  —
    69     CS   43.003   137.8   2.91   8.24   9.54   1   b45     —  CHARGE, BRK-B45
    70     CS   44.430   358.6   0.25   8.48  10.21   0     —     —  —
    71     CS   44.663   332.1   0.48   8.72  10.45   0     —     —  —
    72     CS   44.921   307.5   0.74   8.98  10.70   0     —     —  —
    73     CS   45.152   280.7   0.97   9.21  10.93   0     —     —  —
    74     CS   45.694   236.2   1.51   9.75  11.48   0     —    r2  REST-R2
    75     CS   55.123   213.5   0.26   0.26   0.26   0     —     —  —
    76     CS   55.360   189.0   0.50   0.50   0.50   0     —     —  —
    77     CS   55.593   164.1   0.73   0.73   0.73   0     —     —  —
    78     CS   55.834   140.0   0.97   0.97   0.97   1   b45     —  CHARGE, BRK-B45
    79   CUST   57.523   355.0   0.68   1.65   1.91   0     —     —  —
    80     CS   58.260   328.2   0.92   1.89   2.65   0     —     —  —
    81     CS   58.504   306.3   1.16   2.13   2.89   0     —     —  —
    82     CS   58.730   283.2   1.39   2.36   3.12   0     —     —  —
    83     CS   58.943   258.8   1.60   2.57   3.33   0     —     —  —
