class,method,n_instances,n_duplicate_files,n_missing_seeds,n_corrupt_files,distinct_param_values
RshortCfewTtight,greedy,50,0,0,0,0.95
RshortCfewTtight,RO,50,0,0,0,
RshortCfewTtight,ROBU,50,0,0,0,
RshortCfewTtight,LA,50,0,0,0,25
RshortCfewTtight,2SP,50,0,0,0,25
RshortCfewTmedium,greedy,50,0,0,0,0.95
RshortCfewTmedium,RO,50,0,0,0,
RshortCfewTmedium,ROBU,50,0,0,0,
RshortCfewTmedium,LA,50,0,0,0,25
RshortCfewTmedium,2SP,50,0,0,0,25
RshortCfewTlarge,greedy,50,0,0,0,0.95
RshortCfewTlarge,RO,49,0,1,0,
RshortCfewTlarge,ROBU,50,0,0,0,
RshortCfewTlarge,LA,50,0,0,0,25
RshortCfewTlarge,2SP,49,0,1,0,25
RshortCfewTnone,greedy,50,0,0,0,0.95
RshortCfewTnone,RO,50,0,0,0,
RshortCfewTnone,ROBU,50,0,0,0,
RshortCfewTnone,LA,50,0,0,0,25
RshortCfewTnone,2SP,50,0,0,0,25
RshortCmediumTtight,greedy,50,0,0,0,0.95
RshortCmediumTtight,RO,50,0,0,0,
RshortCmediumTtight,ROBU,50,0,0,0,
RshortCmediumTtight,LA,50,0,0,0,25
RshortCmediumTtight,2SP,50,0,0,0,25
RshortCmediumTmedium,greedy,50,0,0,0,0.95
RshortCmediumTmedium,RO,50,0,0,0,
RshortCmediumTmedium,ROBU,50,0,0,0,
RshortCmediumTmedium,LA,49,0,1,0,25
RshortCmediumTmedium,2SP,50,0,0,0,25
RshortCmediumTlarge,greedy,50,0,0,0,0.95
RshortCmediumTlarge,RO,50,0,0,0,
RshortCmediumTlarge,ROBU,50,0,0,0,
RshortCmediumTlarge,LA,50,0,0,0,25
RshortCmediumTlarge,2SP,50,0,0,0,25
RshortCmediumTnone,greedy,50,0,0,0,0.95
RshortCmediumTnone,RO,50,0,0,0,
RshortCmediumTnone,ROBU,50,0,0,0,
RshortCmediumTnone,LA,50,0,0,0,25
RshortCmediumTnone,2SP,50,0,0,0,25
RshortCmanyTtight,greedy,50,0,0,0,0.95
RshortCmanyTtight,RO,50,0,0,0,
RshortCmanyTtight,ROBU,50,0,0,0,
RshortCmanyTtight,LA,50,0,0,0,25
RshortCmanyTtight,2SP,50,0,0,0,25
RshortCmanyTmedium,greedy,50,0,0,0,0.95
RshortCmanyTmedium,RO,50,0,0,0,
RshortCmanyTmedium,ROBU,50,0,0,0,
RshortCmanyTmedium,LA,50,0,0,0,25
RshortCmanyTmedium,2SP,50,0,0,0,25
RshortCmanyTlarge,greedy,50,0,0,0,0.95
RshortCmanyTlarge,RO,50,0,0,0,
RshortCmanyTlarge,ROBU,50,0,0,0,
RshortCmanyTlarge,LA,50,0,0,0,25
RshortCmanyTlarge,2SP,50,0,0,0,25
RshortCmanyTnone,greedy,50,0,0,0,0.95
RshortCmanyTnone,RO,50,0,0,0,
RshortCmanyTnone,ROBU,50,0,0,0,
RshortCmanyTnone,LA,50,0,0,0,25
RshortCmanyTnone,2SP,50,0,0,0,25
RmediumCfewTtight,greedy,50,0,0,0,0.95
RmediumCfewTtight,RO,50,0,0,0,
RmediumCfewTtight,ROBU,9,0,41,0,
RmediumCfewTtight,LA,50,0,0,0,25
RmediumCfewTtight,2SP,50,0,0,0,25
RmediumCfewTmedium,greedy,50,0,0,0,0.95
RmediumCfewTmedium,RO,50,0,0,0,
RmediumCfewTmedium,ROBU,9,0,41,0,
RmediumCfewTmedium,LA,49,0,1,0,25
RmediumCfewTmedium,2SP,50,0,0,0,25
RmediumCfewTlarge,greedy,50,0,0,0,0.95
RmediumCfewTlarge,RO,50,0,0,0,
RmediumCfewTlarge,ROBU,10,0,40,0,
RmediumCfewTlarge,LA,50,0,0,0,25
RmediumCfewTlarge,2SP,50,0,0,0,25
RmediumCfewTnone,greedy,50,0,0,0,0.95
RmediumCfewTnone,RO,50,0,0,0,
RmediumCfewTnone,ROBU,9,0,41,0,
RmediumCfewTnone,LA,50,0,0,0,25
RmediumCfewTnone,2SP,50,0,0,0,25
RmediumCmediumTtight,greedy,50,0,0,0,0.95
RmediumCmediumTtight,RO,50,0,0,0,
RmediumCmediumTtight,ROBU,0,0,50,0,
RmediumCmediumTtight,LA,47,0,3,0,25
RmediumCmediumTtight,2SP,15,0,35,0,25
RmediumCmediumTmedium,greedy,50,0,0,0,0.95
RmediumCmediumTmedium,RO,50,0,0,0,
RmediumCmediumTmedium,ROBU,0,0,50,0,
RmediumCmediumTmedium,LA,50,0,0,0,25
RmediumCmediumTmedium,2SP,50,0,0,0,25
RmediumCmediumTlarge,greedy,50,0,0,0,0.95
RmediumCmediumTlarge,RO,50,0,0,0,
RmediumCmediumTlarge,ROBU,0,0,50,0,
RmediumCmediumTlarge,LA,50,0,0,0,25
RmediumCmediumTlarge,2SP,50,0,0,0,25
RmediumCmediumTnone,greedy,50,0,0,0,0.95
RmediumCmediumTnone,RO,50,0,0,0,
RmediumCmediumTnone,ROBU,0,0,50,0,
RmediumCmediumTnone,LA,50,0,0,0,25
RmediumCmediumTnone,2SP,50,0,0,0,25
RmediumCmanyTtight,greedy,50,0,0,0,0.95
RmediumCmanyTtight,RO,50,0,0,0,
RmediumCmanyTtight,ROBU,0,0,50,0,
RmediumCmanyTtight,LA,47,0,3,0,25
RmediumCmanyTtight,2SP,47,0,3,0,25
RmediumCmanyTmedium,greedy,50,0,0,0,0.95
RmediumCmanyTmedium,RO,50,0,0,0,
RmediumCmanyTmedium,ROBU,0,0,50,0,
RmediumCmanyTmedium,LA,48,0,2,0,25
RmediumCmanyTmedium,2SP,49,0,1,0,25
RmediumCmanyTlarge,greedy,50,0,0,0,0.95
RmediumCmanyTlarge,RO,50,0,0,0,
RmediumCmanyTlarge,ROBU,0,0,50,0,
RmediumCmanyTlarge,LA,50,0,0,0,25
RmediumCmanyTlarge,2SP,49,0,1,0,25
RmediumCmanyTnone,greedy,50,0,0,0,0.95
RmediumCmanyTnone,RO,50,0,0,0,
RmediumCmanyTnone,ROBU,0,0,50,0,
RmediumCmanyTnone,LA,48,0,2,0,25
RmediumCmanyTnone,2SP,50,0,0,0,25
RlongCfewTtight,greedy,50,0,0,0,0.95
RlongCfewTtight,RO,9,0,41,0,
RlongCfewTtight,ROBU,0,0,50,0,
RlongCfewTtight,LA,9,0,41,0,25
RlongCfewTtight,2SP,0,0,50,0,
RlongCfewTmedium,greedy,50,0,0,0,0.95
RlongCfewTmedium,RO,9,0,41,0,
RlongCfewTmedium,ROBU,0,0,50,0,
RlongCfewTmedium,LA,8,0,42,0,25
RlongCfewTmedium,2SP,0,0,50,0,
RlongCfewTlarge,greedy,50,0,0,0,0.95
RlongCfewTlarge,RO,9,0,41,0,
RlongCfewTlarge,ROBU,0,0,50,0,
RlongCfewTlarge,LA,9,0,41,0,25
RlongCfewTlarge,2SP,0,0,50,0,
RlongCfewTnone,greedy,50,0,0,0,0.95
RlongCfewTnone,RO,9,0,41,0,
RlongCfewTnone,ROBU,0,0,50,0,
RlongCfewTnone,LA,8,0,42,0,25
RlongCfewTnone,2SP,0,0,50,0,
RlongCmediumTtight,greedy,50,0,0,0,0.95
RlongCmediumTtight,RO,0,0,50,0,
RlongCmediumTtight,ROBU,0,0,50,0,
RlongCmediumTtight,LA,7,0,43,0,25
RlongCmediumTtight,2SP,0,0,50,0,
RlongCmediumTmedium,greedy,50,0,0,0,0.95
RlongCmediumTmedium,RO,8,0,42,0,
RlongCmediumTmedium,ROBU,0,0,50,0,
RlongCmediumTmedium,LA,7,0,43,0,25
RlongCmediumTmedium,2SP,0,0,50,0,
RlongCmediumTlarge,greedy,50,0,0,0,0.95
RlongCmediumTlarge,RO,9,0,41,0,
RlongCmediumTlarge,ROBU,0,0,50,0,
RlongCmediumTlarge,LA,8,0,42,0,25
RlongCmediumTlarge,2SP,0,0,50,0,
RlongCmediumTnone,greedy,50,0,0,0,0.95
RlongCmediumTnone,RO,0,0,50,0,
RlongCmediumTnone,ROBU,0,0,50,0,
RlongCmediumTnone,LA,6,0,44,0,25
RlongCmediumTnone,2SP,0,0,50,0,
RlongCmanyTtight,greedy,50,0,0,0,0.95
RlongCmanyTtight,RO,9,0,41,0,
RlongCmanyTtight,ROBU,0,0,50,0,
RlongCmanyTtight,LA,8,0,42,0,25
RlongCmanyTtight,2SP,0,0,50,0,
RlongCmanyTmedium,greedy,50,0,0,0,0.95
RlongCmanyTmedium,RO,9,0,41,0,
RlongCmanyTmedium,ROBU,0,0,50,0,
RlongCmanyTmedium,LA,7,0,43,0,25
RlongCmanyTmedium,2SP,0,0,50,0,
RlongCmanyTlarge,greedy,50,0,0,0,0.95
RlongCmanyTlarge,RO,9,0,41,0,
RlongCmanyTlarge,ROBU,0,0,50,0,
RlongCmanyTlarge,LA,8,0,42,0,25
RlongCmanyTlarge,2SP,0,0,50,0,
RlongCmanyTnone,greedy,50,0,0,0,0.95
RlongCmanyTnone,RO,9,0,41,0,
RlongCmanyTnone,ROBU,0,0,50,0,
RlongCmanyTnone,LA,8,0,42,0,25
RlongCmanyTnone,2SP,0,0,50,0,
