Instance	Solution	Time
Instance 1	1410.00	0.05
Instance 2	1260.00	0.02
Instance 3	1410.00	0.02
Instance 4	1425.00	0.02
Instance 5	2640.00	0.13
Instance 6	2430.00	0.08
Instance 7	3465.00	0.18
Instance 8	3465.00	0.16
Instance 9	2730.00	0.04
Instance 10	2730.00	0.04
Instance 11	2730.00	0.05
Instance 12	2730.00	0.03
Instance 13	1995.00	0.07
Instance 14	3270.00	0.14
Instance 15	4665.00	0.27
Instance 16	4665.00	0.10
Instance 17	5340.00	0.09
Instance 18	2430.00	0.05
Instance 19	5580.00	0.04
Instance 20	3780.00	0.04
Instance 21	3210.00	0.07
Instance 22	5610.00	0.11
Instance 23	5820.00	0.11
Instance 24	2580.00	0.12
Instance 25	3510.00	0.17
Instance 26	2640.00	0.14
Instance 27	2880.00	0.15
Instance 28	4065.00	0.27
Instance 29	1335.00	0.05
Instance 30	1245.00	0.04
Instance 31	2025.00	0.06
Instance 32	2025.00	0.06
Instance 33	2025.00	0.06
Instance 34	2400.00	0.03
Instance 35	1305.00	0.04
Instance 36	1440.00	0.05
Instance 37	4530.00	0.05
Instance 38	1380.00	0.02
Instance 39	2400.00	0.03
Instance 40	3345.00	0.05
