Instance	Solution	Time	Generated	Discarded	AvgNumbNodes	MaxNumbNodes	TotalNumbNodes
Instance 1	1410.00	0.05	30550	92905	0.00	0	0
Instance 2	1260.00	0.02	5735	16320	0.00	0	0
Instance 3	1410.00	0.02	6053	17467	0.00	0	0
Instance 4	1425.00	0.02	6320	15860	0.00	0	0
Instance 5	2640.00	0.13	84296	284806	0.00	0	0
Instance 6	2430.00	0.08	67700	196465	0.00	0	0
Instance 7	3465.00	0.18	99422	317711	0.00	0	0
Instance 8	3465.00	0.16	99422	317711	0.00	0	0
Instance 9	2730.00	0.04	10879	27778	0.00	0	0
Instance 10	2730.00	0.04	16860	44775	0.00	0	0
Instance 11	2730.00	0.05	16145	41363	0.00	0	0
Instance 12	2730.00	0.03	14945	37195	0.00	0	0
Instance 13	1995.00	0.07	43081	130407	0.00	0	0
Instance 14	3270.00	0.14	101776	327482	0.00	0	0
Instance 15	4665.00	0.27	187414	617895	0.00	0	0
Instance 16	4665.00	0.10	92120	277894	0.00	0	0
Instance 17	5340.00	0.09	78036	252365	0.00	0	0
Instance 18	2430.00	0.05	45956	136065	0.00	0	0
Instance 19	5580.00	0.04	41335	129169	0.00	0	0
Instance 20	3780.00	0.04	44377	135839	0.00	0	0
Instance 21	3210.00	0.07	62477	204022	0.00	0	0
Instance 22	5610.00	0.11	93291	299538	0.00	0	0
Instance 23	5820.00	0.11	95847	308015	0.00	0	0
Instance 24	2580.00	0.12	112245	366908	0.00	0	0
Instance 25	3510.00	0.17	141867	466013	0.00	0	0
Instance 26	2640.00	0.14	117999	389219	0.00	0	0
Instance 27	2880.00	0.15	124875	404057	0.00	0	0
Instance 28	4065.00	0.27	175882	543351	0.00	0	0
Instance 29	1335.00	0.05	40807	124582	0.00	0	0
Instance 30	1245.00	0.04	21080	60598	0.00	0	0
Instance 31	2025.00	0.06	44529	138873	0.00	0	0
Instance 32	2025.00	0.06	37983	118610	0.00	0	0
Instance 33	2025.00	0.06	39166	120819	0.00	0	0
Instance 34	2400.00	0.03	16776	51109	0.00	0	0
Instance 35	1305.00	0.04	22792	64159	0.00	0	0
Instance 36	1440.00	0.05	25267	74943	0.00	0	0
Instance 37	4530.00	0.05	32989	101380	0.00	0	0
Instance 38	1380.00	0.02	8890	25394	0.00	0	0
Instance 39	2400.00	0.03	16406	47457	0.00	0	0
Instance 40	3345.00	0.05	34188	90042	0.00	0	0
