component,short_h,medium_h,long_h
Total charging time,2.642,6.650,12.051
Charging-station queueing,0.304,0.717,1.270
Stop manoeuvring (net of diesel),0.354,0.546,1.000
Repositioning off the charging bay,0.004,0.060,0.223
Break time no longer taken separately,-1.277,-3.059,-4.572
Rest time,-0.004,-0.121,0.204
Idle waiting,0.000,0.000,0.000
Customer service,0.000,0.000,0.000
Modelled subtotal,2.023,4.793,10.175
Diesel refuelling (post hoc),-0.000,-0.317,-0.633
Net penalty vs diesel,2.023,4.476,9.542
