route,level,method,n,charge_open_pct,queue_pct,reposition_pct,extra_break_pct,manoeuvre_pct,rest_pct,total_pct,total_h
all,Base,oracle,300,2.651,1.296,0.125,3.507,1.114,0.135,8.829,5.363
all,Base,LA,228,2.001,2.020,0.060,3.664,1.501,0.185,9.432,5.386
all,Base,greedy,267,4.903,2.294,0.000,3.496,0.863,1.026,12.583,7.448
all,150,oracle,300,6.705,1.168,0.144,13.677,0.937,6.394,29.026,18.148
all,150,LA,196,14.060,1.847,0.062,5.064,1.600,5.476,28.109,15.075
all,150,greedy,263,17.887,2.262,0.000,3.713,1.019,10.487,35.368,22.072
all,700,oracle,300,0.562,1.365,0.047,0.982,1.374,-0.058,4.271,2.581
all,700,LA,202,0.665,1.932,0.026,0.785,1.593,-0.312,4.688,2.168
all,700,greedy,269,1.972,2.321,0.000,2.967,0.952,0.440,8.652,4.979
all,1000,oracle,300,0.384,1.403,0.040,0.310,1.387,-0.056,3.469,2.079
all,1000,LA,168,-0.017,1.870,0.028,0.685,1.475,-0.493,3.548,2.434
all,1000,greedy,253,8.016,2.414,0.000,-0.288,1.815,1.309,13.265,7.674
all,300,oracle,300,4.143,3.017,0.136,3.739,3.122,1.530,15.687,9.226
all,300,LA,188,3.795,4.679,0.099,4.757,4.135,2.235,19.700,9.515
all,300,greedy,250,6.773,4.544,0.000,8.185,3.142,7.579,30.224,18.312
all,700,oracle,300,0.972,0.866,0.059,3.815,0.624,-0.098,6.238,3.995
all,700,LA,200,1.861,1.337,0.027,2.209,0.917,-0.280,6.071,2.920
all,700,greedy,248,5.971,1.496,0.000,2.759,0.644,1.407,12.277,7.270
all,900,oracle,300,-0.069,0.718,0.009,3.662,0.426,-0.099,4.648,3.208
all,900,LA,201,1.830,1.108,0.014,0.990,0.668,-0.054,4.556,2.390
all,900,greedy,262,6.011,1.154,0.000,1.422,0.326,0.834,9.747,5.878
short,Base,oracle,100,2.695,1.178,0.026,2.615,1.301,-0.052,7.764,
short,Base,LA,100,1.814,1.983,0.006,3.619,1.712,0.277,9.411,
short,Base,greedy,97,4.932,2.180,0.000,3.539,0.931,0.000,11.582,
short,150,oracle,100,5.987,1.094,0.046,11.534,1.273,3.320,23.255,
short,150,LA,100,12.402,1.860,0.036,5.163,1.861,2.603,23.925,
short,150,greedy,87,17.191,2.117,0.000,3.784,0.989,4.534,28.616,
short,700,oracle,100,1.049,1.213,0.031,0.396,1.459,-0.052,4.096,
short,700,LA,100,0.941,1.885,0.010,0.721,1.762,0.302,5.621,
short,700,greedy,99,2.482,2.203,0.000,2.958,1.093,0.000,8.736,
short,1000,oracle,100,0.961,1.247,0.035,-0.255,1.506,-0.046,3.448,
short,1000,LA,28,0.571,1.871,0.011,1.434,1.841,0.000,5.729,
short,1000,greedy,95,8.103,2.319,0.000,-0.112,1.827,0.000,12.137,
short,300,oracle,100,5.124,2.855,0.031,2.750,3.355,0.480,14.595,
short,300,LA,91,3.944,4.597,0.042,5.163,4.398,2.371,20.515,
short,300,greedy,85,7.446,4.506,0.000,8.122,3.232,3.966,27.273,
short,700,oracle,100,1.200,0.799,0.016,1.985,0.800,-0.052,4.747,
short,700,LA,98,1.485,1.289,0.018,2.023,1.153,0.601,6.569,
short,700,greedy,90,5.973,1.331,0.000,2.690,0.620,0.000,10.614,
short,900,oracle,100,0.433,0.681,0.003,0.865,0.562,-0.052,2.491,
short,900,LA,99,1.072,1.035,0.003,0.625,0.924,0.616,4.274,
short,900,greedy,97,5.799,1.070,0.000,1.339,0.298,0.000,8.505,
medium,Base,oracle,100,2.253,1.369,0.115,3.772,0.994,0.432,8.936,
medium,Base,LA,50,2.202,2.063,0.109,3.549,1.243,-0.727,8.439,
medium,Base,greedy,83,4.872,2.484,0.000,3.518,0.816,1.091,12.781,
medium,150,oracle,100,6.436,1.217,0.135,14.535,0.786,6.880,29.989,
medium,150,LA,48,15.773,1.926,0.105,4.726,1.210,6.848,30.588,
medium,150,greedy,88,18.461,2.429,0.000,3.640,0.990,11.788,37.308,
medium,700,oracle,100,0.300,1.452,0.060,0.946,1.205,-0.143,3.821,
medium,700,LA,52,0.332,2.050,0.022,1.130,1.513,-1.329,3.718,
medium,700,greedy,84,1.845,2.480,0.000,2.844,0.845,0.189,8.204,
medium,1000,oracle,100,0.035,1.494,0.031,0.341,1.218,-0.141,2.977,
medium,1000,LA,51,-0.170,1.960,0.018,0.621,1.379,-1.654,2.155,
medium,1000,greedy,78,8.068,2.501,0.000,-0.249,1.838,1.922,14.080,
medium,300,oracle,100,3.756,3.132,0.109,3.838,3.018,2.715,16.568,
medium,300,LA,48,3.902,4.857,0.162,4.395,4.022,2.849,20.188,
medium,300,greedy,80,6.479,4.666,0.000,8.414,3.095,8.456,31.110,
medium,700,oracle,100,0.500,0.930,0.041,4.332,0.489,-0.144,6.149,
medium,700,LA,51,2.000,1.453,0.023,2.622,0.722,-1.224,5.597,
medium,700,greedy,77,6.012,1.589,0.000,2.896,0.657,2.174,13.328,
medium,900,oracle,100,-0.326,0.784,0.005,4.102,0.253,-0.144,4.674,
medium,900,LA,50,2.100,1.259,0.025,1.239,0.367,-0.636,4.354,
