level,method,n,coupling_pct
Base,oracle,300,73.22
Base,LA,225,80.59
Base,greedy,267,64.85
150 kW,oracle,300,72.54
150 kW,LA,207,43.17
150 kW,greedy,263,35.38
700 kW,oracle,300,85.18
700 kW,LA,206,86.90
700 kW,greedy,269,78.72
1000 kW,oracle,300,85.52
1000 kW,LA,98,92.29
1000 kW,greedy,253,17.41
300 kWh,oracle,300,65.39
300 kWh,LA,200,71.97
300 kWh,greedy,250,66.63
700 kWh,oracle,300,86.00
700 kWh,LA,204,79.06
700 kWh,greedy,248,49.46
900 kWh,oracle,300,95.53
900 kWh,LA,207,76.94
900 kWh,greedy,262,43.72
