route,specification,tank_L,cons_L_per_100km,mean_fuel_stops,pct_needing_1plus,penalty_%
short,assumed (headline),,,0.00,,7.76
short,no fuel stop,,,0.00,,7.76
short,900 L @ 25 L/100km,900,25.0,0.00,0,7.76
short,900 L @ 33 L/100km,900,33.0,0.00,0,7.76
short,600 L @ 25 L/100km,600,25.0,0.00,0,7.76
short,600 L @ 33 L/100km,600,33.0,0.00,0,7.76
medium,assumed (headline),,,1.00,,8.94
medium,no fuel stop,,,0.00,,9.61
medium,900 L @ 25 L/100km,900,25.0,0.00,0,9.61
medium,900 L @ 33 L/100km,900,33.0,0.10,10,9.56
medium,600 L @ 25 L/100km,600,25.0,0.42,42,9.37
medium,600 L @ 33 L/100km,600,33.0,0.88,88,9.04
long,assumed (headline),,,2.00,,9.79
long,no fuel stop,,,0.00,,10.52
long,900 L @ 25 L/100km,900,25.0,0.80,80,10.23
long,900 L @ 33 L/100km,900,33.0,1.00,100,10.15
long,600 L @ 25 L/100km,600,25.0,1.00,100,10.15
long,600 L @ 33 L/100km,600,33.0,1.78,100,9.87
