route,cust,tw,seed,diesel_oracle_h,ev_oracle_h,pen_oracle_%,pen_greedy_%,pen_la_%,coupling_%,refuel_h,ev_oracle_gap_%
long,few,none,1,107.131,118.093,10.23,11.13,21.47,58.1,0.633,0.50
long,few,none,2,87.606,96.906,10.62,10.79,10.09,67.2,0.633,0.47
long,few,none,3,90.249,99.514,10.27,13.40,10.20,64.9,0.633,0.46
long,few,none,4,87.552,97.374,11.22,11.88,11.26,84.9,0.633,0.49
long,few,none,5,92.624,101.803,9.91,25.34,12.27,70.8,0.633,0.37
long,few,none,6,102.422,113.552,10.87,,,66.7,0.633,9.10
long,few,none,7,107.073,117.619,9.85,11.26,9.66,64.0,0.633,6.41
long,few,none,8,86.186,95.330,10.61,11.51,10.16,70.1,0.633,0.48
long,few,none,9,82.482,90.545,9.77,9.70,6.96,55.2,0.633,9.23
long,few,none,10,92.141,100.717,9.31,24.67,10.74,73.8,0.633,0.34
long,few,none,11,94.372,102.536,8.65,24.50,9.20,82.7,0.633,0.44
long,few,none,12,85.109,94.138,10.61,11.63,10.64,62.1,0.633,0.44
long,few,none,13,90.177,99.176,9.98,10.61,8.60,72.9,0.633,0.43
long,few,none,14,102.350,113.567,10.96,8.83,10.39,69.4,0.633,9.17
long,few,none,15,87.181,96.692,10.91,12.13,,66.8,0.633,0.50
long,few,none,16,106.681,118.042,10.65,11.36,11.16,71.6,0.633,5.33
long,few,none,17,105.753,116.361,10.03,9.94,9.68,70.9,0.633,7.68
long,few,none,18,88.993,98.034,10.16,11.12,10.23,71.0,0.633,0.48
long,few,none,19,104.958,115.116,9.68,11.31,9.40,69.7,0.633,8.07
long,few,none,20,88.302,98.122,11.12,10.81,10.73,71.9,0.633,0.48
long,few,none,21,102.856,113.590,10.44,,,59.9,0.633,8.89
long,few,none,22,87.303,96.736,10.80,11.78,8.42,64.9,0.633,0.50
long,few,none,23,105.721,116.933,10.61,11.39,,69.9,0.633,6.37
long,few,none,24,86.803,96.278,10.92,13.02,10.55,69.9,0.633,0.50
long,few,none,25,91.559,100.127,9.36,11.74,8.03,70.3,0.633,0.40
long,few,tight,1,103.926,115.493,11.13,11.77,10.89,67.7,0.633,7.38
long,few,tight,2,106.122,116.995,10.25,10.57,11.27,73.9,0.633,6.09
long,few,tight,3,108.090,118.952,10.05,10.75,7.83,79.2,0.633,0.48
long,few,tight,4,104.082,115.436,10.91,11.24,10.16,65.0,0.633,7.39
long,few,tight,5,85.192,94.058,10.41,12.58,11.71,63.0,0.633,0.50
long,few,tight,6,94.088,113.934,21.09,11.64,11.00,64.3,0.633,8.77
long,few,tight,7,86.949,95.805,10.19,11.47,7.78,65.7,0.633,0.50
long,few,tight,8,90.113,99.960,10.93,10.83,10.04,73.8,0.633,0.49
long,few,tight,9,92.156,101.363,9.99,24.44,-1.47,71.4,0.633,0.50
long,few,tight,10,92.382,100.634,8.93,23.31,9.28,67.5,0.633,0.47
long,few,tight,11,89.845,99.283,10.51,12.53,9.33,64.8,0.633,0.49
long,few,tight,12,88.584,98.162,10.81,13.41,,75.7,0.633,0.48
long,few,tight,13,86.263,94.402,9.44,12.36,,66.0,0.633,0.35
long,few,tight,14,105.776,116.227,9.88,11.23,10.38,64.5,0.633,6.78
long,few,tight,15,92.205,101.162,9.71,11.33,-1.68,64.0,0.633,0.40
long,few,tight,16,82.877,91.521,10.43,,,75.8,0.633,8.25
long,few,tight,17,106.498,117.652,10.47,,11.58,78.9,0.633,0.47
long,few,tight,18,94.110,102.750,9.18,11.03,,67.0,0.633,0.48
long,few,tight,19,91.238,99.398,8.94,,,74.4,0.633,0.50
long,few,tight,20,83.847,91.923,9.63,11.31,8.67,71.2,0.633,8.33
long,few,tight,21,85.779,95.016,10.77,,,70.0,0.633,0.50
long,few,tight,22,87.361,96.901,10.92,12.50,,69.7,0.633,0.50
long,few,tight,23,84.197,92.568,9.94,11.21,,69.0,0.633,6.07
long,few,tight,24,107.781,119.148,10.55,11.44,,73.2,0.633,0.44
long,few,tight,25,105.471,115.971,9.96,10.58,,71.4,0.633,6.80
long,many,none,1,93.910,102.128,8.75,21.56,21.15,74.7,0.633,0.50
long,many,none,2,108.563,119.939,10.48,10.11,11.12,73.9,0.633,8.56
long,many,none,3,90.255,99.219,9.93,11.27,9.89,67.5,0.633,6.41
long,many,none,4,94.623,104.447,10.38,25.42,11.08,77.5,0.633,0.50
long,many,none,5,107.345,118.019,9.94,8.40,8.90,67.2,0.633,8.57
long,many,none,6,111.612,122.442,9.70,9.37,8.97,67.6,0.633,6.20
long,many,none,7,114.014,125.604,10.17,11.65,31.17,67.0,0.633,0.50
long,many,none,8,86.070,95.287,10.71,13.10,9.49,72.1,0.633,9.24
long,many,none,9,93.442,103.533,10.80,22.27,10.54,64.9,0.633,0.50
long,many,none,10,91.149,100.382,10.13,12.14,-2.37,72.9,0.633,0.50
long,many,none,11,95.012,104.491,9.98,23.18,21.39,71.7,0.633,0.50
long,many,none,12,95.521,104.883,9.80,24.72,21.69,90.8,0.633,0.41
long,many,none,13,111.035,122.189,10.05,12.17,,62.4,0.633,0.49
long,many,none,14,110.550,121.498,9.90,11.40,,82.1,0.633,0.46
long,many,none,15,90.293,99.311,9.99,11.56,8.85,66.2,0.633,5.47
long,many,none,16,87.101,95.950,10.16,,,80.3,0.633,8.23
long,many,none,17,112.108,123.210,9.90,,9.37,70.5,0.633,0.49
long,many,none,18,108.892,120.649,10.80,11.52,10.28,74.9,0.633,6.74
long,many,none,19,94.971,104.682,10.23,23.57,9.19,75.0,0.633,0.49
long,many,none,20,92.980,102.570,10.31,11.01,9.19,68.9,0.633,0.50
long,many,none,21,96.420,105.987,9.92,22.63,,71.0,0.633,0.49
long,many,none,22,88.531,97.182,9.77,11.32,,84.4,0.633,0.40
long,many,none,23,90.408,99.322,9.86,,7.50,70.7,0.633,0.47
long,many,none,24,92.752,102.813,10.85,,,75.9,0.633,0.50
long,many,none,25,108.659,119.979,10.42,11.64,,79.1,0.633,5.40
long,many,tight,1,89.678,98.804,10.18,12.03,6.77,75.3,0.633,0.50
long,many,tight,2,112.435,123.096,9.48,8.83,,81.9,0.633,0.50
long,many,tight,3,90.937,100.526,10.55,12.72,,56.7,0.633,0.49
long,many,tight,4,114.323,120.987,5.83,9.74,4.69,68.1,0.633,4.31
long,many,tight,5,96.233,104.664,8.76,23.27,22.17,75.4,0.633,0.44
long,many,tight,6,88.926,96.310,8.30,11.37,9.76,60.2,0.633,3.59
long,many,tight,7,107.611,118.273,9.91,,9.34,70.8,0.633,5.91
long,many,tight,8,94.581,98.597,4.25,11.34,9.68,68.9,0.633,0.50
long,many,tight,9,90.405,97.807,8.19,10.78,3.61,68.2,0.633,0.39
long,many,tight,10,96.039,98.241,2.29,11.05,9.98,81.3,0.633,0.98
long,many,tight,11,93.405,97.646,4.54,12.26,3.41,60.7,0.633,4.08
long,many,tight,12,95.338,97.660,2.43,10.36,10.58,65.8,0.633,0.47
long,many,tight,13,91.641,98.754,7.76,10.70,3.47,64.0,0.633,0.35
long,many,tight,14,88.403,95.341,7.85,9.35,,69.4,0.633,5.35
long,many,tight,15,97.658,106.608,9.16,10.43,11.82,75.1,0.633,0.34
long,many,tight,16,89.101,98.412,10.45,11.16,3.71,65.0,0.633,0.49
long,many,tight,17,111.173,121.512,9.30,12.73,,69.4,0.633,4.50
long,many,tight,18,94.641,105.264,11.22,24.31,22.64,70.7,0.633,0.17
long,many,tight,19,87.685,95.894,9.36,10.26,6.45,77.1,0.633,4.60
long,many,tight,20,94.741,103.348,9.08,22.40,0.29,75.9,0.633,0.49
long,many,tight,21,93.408,101.098,8.23,10.64,,64.3,0.633,0.41
long,many,tight,22,97.434,105.922,8.71,22.53,3.72,90.7,0.633,0.48
long,many,tight,23,86.369,94.789,9.75,8.40,9.03,58.4,0.633,7.46
long,many,tight,24,97.365,105.281,8.13,,,70.5,0.633,0.39
long,many,tight,25,88.992,97.491,9.55,,,69.7,0.633,0.28
medium,few,none,1,47.431,52.515,10.72,11.42,11.99,88.0,0.317,0.43
medium,few,none,2,46.208,50.733,9.79,12.42,9.97,80.6,0.317,0.42
medium,few,none,3,51.371,55.696,8.42,11.90,10.19,75.8,0.317,0.48
medium,few,none,4,63.128,69.748,10.49,,11.24,78.8,0.317,0.36
medium,few,none,5,64.003,70.634,10.36,12.11,,49.5,0.317,0.50
medium,few,none,6,49.574,54.299,9.53,12.14,11.52,84.2,0.317,0.50
medium,few,none,7,51.652,55.878,8.18,12.17,,83.2,0.317,0.43
medium,few,none,8,61.162,67.395,10.19,10.99,9.14,84.0,0.317,0.36
medium,few,none,9,45.183,49.623,9.83,12.52,12.67,60.7,0.317,0.42
medium,few,none,10,32.787,34.711,5.87,,8.84,80.8,0.317,0.36
medium,few,none,11,52.111,56.868,9.13,12.56,11.72,75.6,0.317,0.49
medium,few,none,12,41.258,45.121,9.36,9.81,10.95,65.9,0.317,0.33
medium,few,none,13,48.644,53.942,10.89,13.05,10.88,76.0,0.317,0.37
medium,few,none,14,33.571,35.629,6.13,40.84,-9.39,77.7,0.317,0.40
medium,few,none,15,47.533,52.487,10.42,11.64,13.23,66.3,0.317,0.47
medium,few,none,16,60.480,67.497,11.60,11.27,11.19,65.1,0.317,0.46
medium,few,none,17,50.408,55.840,10.78,15.61,12.17,72.4,0.317,0.50
medium,few,none,18,51.614,56.486,9.44,12.77,-5.39,82.8,0.317,0.50
medium,few,none,19,46.948,52.416,11.65,11.04,11.02,79.6,0.317,0.41
medium,few,none,20,48.647,53.290,9.54,12.78,11.12,79.3,0.317,0.44
medium,few,none,21,51.496,55.846,8.45,13.67,-4.07,71.4,0.317,0.44
medium,few,none,22,42.355,46.620,10.07,10.59,7.57,66.4,0.317,0.47
medium,few,none,23,63.182,69.707,10.33,11.52,10.91,69.2,0.317,0.49
medium,few,none,24,45.874,50.549,10.19,14.04,10.16,78.3,0.317,0.49
medium,few,none,25,51.566,55.510,7.65,12.81,-5.63,84.4,0.317,0.40
medium,few,tight,1,44.619,48.735,9.22,12.93,9.87,77.8,0.317,0.43
medium,few,tight,2,60.024,65.816,9.65,,,80.2,0.317,0.49
medium,few,tight,3,63.444,70.306,10.81,12.55,,72.0,0.317,0.39
medium,few,tight,4,42.496,46.850,10.24,,,83.6,0.317,0.43
medium,few,tight,5,45.235,49.379,9.16,9.55,,85.8,0.317,0.34
medium,few,tight,6,64.092,70.383,9.82,14.76,,82.7,0.317,0.50
medium,few,tight,7,45.345,48.698,7.39,,,86.0,0.317,0.49
medium,few,tight,8,45.606,49.786,9.17,11.85,,78.9,0.317,0.35
medium,few,tight,9,62.114,68.969,11.04,12.05,,59.7,0.317,0.50
medium,few,tight,10,44.724,49.139,9.87,13.15,9.01,74.5,0.317,0.45
medium,few,tight,11,60.422,66.817,10.58,10.47,30.14,64.2,0.317,0.49
medium,few,tight,12,41.148,45.099,9.60,11.53,8.83,84.2,0.317,0.38
medium,few,tight,13,61.089,67.092,9.83,11.07,10.78,71.0,0.317,0.48
medium,few,tight,14,60.085,65.897,9.67,11.16,11.16,78.1,0.317,0.47
medium,few,tight,15,41.390,45.255,9.34,11.02,4.20,67.5,0.317,0.44
medium,few,tight,16,33.898,45.004,32.76,,7.91,71.6,0.317,0.00
medium,few,tight,17,50.792,55.814,9.89,14.70,9.88,71.5,0.317,0.47
medium,few,tight,18,61.318,67.833,10.63,10.16,11.46,63.4,0.317,0.46
medium,few,tight,19,60.817,67.745,11.39,10.83,11.12,68.2,0.317,3.42
medium,few,tight,20,61.860,68.596,10.89,10.23,8.33,67.5,0.317,0.46
medium,few,tight,21,45.152,49.546,9.73,11.51,9.48,85.9,0.317,0.45
