route,tw,n_oracle,n_greedy,pen_greedy_%,pen_oracle_%,pen_oracle_objective_%,delta_ev,delta_diesel,diesel_break_h
short,tight,20,19,19.12,6.67,6.30,0.00,0.10,1.41
short,medium,20,19,20.35,7.59,7.59,0.00,0.00,1.35
short,large,20,17,19.76,8.46,8.46,0.00,0.00,1.16
short,none,20,18,20.82,9.20,9.20,0.00,0.00,1.09
medium,tight,20,15,22.80,6.59,6.27,0.35,0.45,3.90
medium,medium,20,19,23.29,9.33,7.42,0.00,0.95,3.29
medium,large,20,17,22.50,10.24,9.74,0.00,0.25,2.82
medium,none,20,18,23.17,11.28,11.28,0.00,0.00,2.74
long,tight,0,18,21.36,,,,,
long,medium,0,14,22.55,,,,,
long,large,0,19,19.79,,,,,
long,none,0,16,20.80,,,,,
