route_class,battery_kwh,charger_kw,tag,greedy_duration_vs_base_%,n_paired
short,300,150,kwh300_kw150,28.091,82
short,300,350,kwh300,13.629,84
short,300,700,kwh300_kw700,13.277,81
short,300,1000,kwh300_kw1000,11.885,80
short,500,150,kw150,14.901,86
short,500,350,base,0.000,98
short,500,700,kw700,-2.560,98
short,500,1000,kw1000,0.488,96
short,700,150,kwh700_kw150,15.750,82
short,700,350,kwh700,-0.878,91
short,700,700,kwh700_kw700,-3.890,97
short,700,1000,kwh700_kw1000,-4.737,97
short,900,150,kwh900_kw150,14.827,84
short,900,350,kwh900,-2.747,97
short,900,700,kwh900_kw700,-5.750,98
short,900,1000,kwh900_kw1000,-6.669,98
medium,300,150,kwh300_kw150,33.323,81
medium,300,350,kwh300,14.329,77
medium,300,700,kwh300_kw700,14.874,73
medium,300,1000,kwh300_kw1000,13.065,74
medium,500,150,kw150,20.427,84
medium,500,350,base,0.000,89
medium,500,700,kw700,-3.261,83
medium,500,1000,kw1000,0.422,78
medium,700,150,kwh700_kw150,21.874,76
medium,700,350,kwh700,-0.637,76
medium,700,700,kwh700_kw700,-4.208,81
medium,700,1000,kwh700_kw1000,-5.208,83
medium,900,150,kwh900_kw150,20.613,73
medium,900,350,kwh900,-2.300,80
medium,900,700,kwh900_kw700,-6.267,81
medium,900,1000,kwh900_kw1000,-7.223,81
