config,combo,window_class,n_present,n_missing,missing_seeds
GREEDY,RlongCfew,none,10,0,
GREEDY,RlongCfew,tight,10,0,
GREEDY,RlongCmany,none,10,0,
GREEDY,RlongCmany,tight,10,0,
GREEDY,RmediumCfew,none,10,0,
GREEDY,RmediumCfew,tight,10,0,
GREEDY,RmediumCmany,none,10,0,
GREEDY,RmediumCmany,tight,10,0,
GREEDY,RshortCfew,none,10,0,
GREEDY,RshortCfew,tight,10,0,
GREEDY,RshortCmany,none,10,0,
GREEDY,RshortCmany,tight,10,0,
NOSPLIT,RlongCfew,none,10,0,
NOSPLIT,RlongCfew,tight,10,0,
NOSPLIT,RlongCmany,none,9,1,10
NOSPLIT,RlongCmany,tight,10,0,
NOSPLIT,RmediumCfew,none,9,1,6
NOSPLIT,RmediumCfew,tight,10,0,
NOSPLIT,RmediumCmany,none,10,0,
NOSPLIT,RmediumCmany,tight,5,5,"4,6-9"
NOSPLIT,RshortCfew,none,10,0,
NOSPLIT,RshortCfew,tight,10,0,
NOSPLIT,RshortCmany,none,10,0,
NOSPLIT,RshortCmany,tight,10,0,
base,RlongCfew,none,10,0,
base,RlongCfew,tight,10,0,
base,RlongCmany,none,10,0,
base,RlongCmany,tight,8,2,2-3
base,RmediumCfew,none,10,0,
base,RmediumCfew,tight,10,0,
base,RmediumCmany,none,10,0,
base,RmediumCmany,tight,10,0,
base,RshortCfew,none,10,0,
base,RshortCfew,tight,10,0,
base,RshortCmany,none,10,0,
base,RshortCmany,tight,10,0,
