config,n_scenarios,horizon_h,route_class,window_class,n_runs,n_infeasible,n_feasible,gap_pen_median_pct,gap_nopen_median_pct,duration_median_h,delta_vs_base_pct,n_paired,duration_pen_median_h,delta_pen_vs_base_pct,n_paired_pen,t_per_stop_s_median,n_batches,t_per_stop_batch_ratio,decision_mean_s_median,decision_cs_mean_s_median,decision_max_s_median,wall_clock_s_median,n_stops_median,solve_cpu_h_median,n_subproblems_median,cap_rate_median
GREEDY,,,all,all,80,6,74,5.714,4.521,96.238,1.925,68,96.238,2.521,68,0.0,1,,0.0,0.0,0.0001,0.0,145.0,,,
GREEDY,,,all,none,40,3,37,4.521,4.521,94.325,2.07,34,94.325,2.07,34,0.0,1,,0.0,0.0,0.0001,0.0,144,,,
GREEDY,,,all,tight,40,3,37,6.666,4.52,98.161,1.709,34,99.161,2.984,34,0.0,1,,0.0,0.0,0.0001,0.0,148,,,
GREEDY,,,long,all,40,2,38,5.042,4.186,116.023,1.362,34,116.633,1.912,34,0.0,1,,0.0,0.0,0.0001,0.0,165.0,,,
GREEDY,,,long,none,20,1,19,4.176,4.176,116.513,1.594,18,116.513,1.594,18,0.0,1,,0.0,0.0,0.0001,0.0,165,,,
GREEDY,,,long,tight,20,1,19,5.897,4.231,115.253,1.197,16,116.753,2.258,16,0.0,1,,0.0,0.0,0.0001,0.0,165,,,
GREEDY,,,medium,all,40,4,36,6.429,4.834,58.67,2.47,34,59.717,3.015,34,0.0,1,,0.0,0.0,0.0001,0.0,98.0,,,
GREEDY,,,medium,none,20,2,18,4.689,4.689,59.119,2.475,16,59.119,2.475,16,0.0,1,,0.0,0.0,0.0001,0.0,104.0,,,
GREEDY,,,medium,tight,20,2,18,7.561,4.976,56.972,2.407,18,62.118,4.303,18,0.0,1,,0.0,0.0,0.0001,0.0,92.0,,,
LPTAIL,25,24.0,all,all,27,5,22,4.211,4.037,70.518,1.569,21,70.768,1.556,21,38.88,1,,38.2112,57.6103,76.9127,4327.1,112.0,0.746,16042.0,0.0
LPTAIL,25,24.0,all,none,14,3,11,3.352,3.352,72.551,0.694,11,72.551,0.694,11,38.23,1,,38.002,56.8005,75.405,4448.2,117,0.754,16742,0.0
LPTAIL,25,24.0,all,tight,13,2,11,4.527,4.15,68.486,1.627,10,68.986,1.621,10,40.18,1,,39.3157,59.2546,83.4027,4206.0,106,0.739,15341,0.0
LPTAIL,25,24.0,long,all,11,5,6,3.789,3.351,103.319,1.569,5,103.819,1.556,5,41.16,1,,41.1307,60.7728,87.2289,6960.7,166.0,1.169,23422.0,0.0
LPTAIL,25,24.0,long,none,6,3,3,3.313,3.313,101.583,0.643,3,101.583,0.643,3,40.56,1,,40.5408,59.4055,84.895,6462.8,155,1.069,22023,0.0
LPTAIL,25,24.0,long,tight,5,2,3,4.15,3.388,119.348,1.627,2,120.286,1.621,2,41.28,1,,41.2516,61.4143,88.6295,7509.4,183,1.248,25753,0.0
LPTAIL,25,24.0,medium,all,16,0,16,4.531,4.153,61.0,1.311,16,62.301,1.307,16,37.18,1,,37.1694,55.1737,75.7937,3584.8,100.0,0.629,14403.0,0.0
LPTAIL,25,24.0,medium,none,8,0,8,3.685,3.685,59.438,1.133,8,59.438,1.133,8,36.97,1,,36.9426,54.5636,74.413,3584.8,100.0,0.61,14340.0,0.0
LPTAIL,25,24.0,medium,tight,8,0,8,7.757,4.356,62.244,1.69,8,66.744,2.546,8,37.4,1,,37.4002,55.7838,76.9127,3663.5,100.0,0.657,14403.0,0.0
S10H24,10,24.0,all,all,29,1,28,2.692,2.424,75.837,-0.235,26,77.141,-0.192,26,31.91,1,,32.2566,44.3218,105.0685,4866.6,120.0,1.235,6640.0,0.0
S10H24,10,24.0,all,none,14,1,13,2.025,2.025,75.027,-0.319,13,75.027,-0.319,13,30.79,1,,30.7845,43.303,96.2146,3974.0,119,1.016,6542,0.0
S10H24,10,24.0,all,tight,15,0,15,3.434,2.643,76.647,-0.227,13,77.147,-0.142,13,33.12,1,,33.6037,48.5444,147.0646,5641.2,121,1.429,6673,0.0
S10H24,10,24.0,long,all,13,0,13,2.54,2.54,119.218,-0.227,11,119.218,-0.083,11,34.78,1,,34.5897,49.7576,158.0872,5766.6,180,1.468,9852,0.0
S10H24,10,24.0,long,none,6,0,6,2.083,2.083,103.138,-0.57,6,103.138,-0.57,6,34.5,1,,34.4907,48.9637,136.7441,5640.6,166.0,1.433,9596.0,0.0
S10H24,10,24.0,long,tight,7,0,7,3.483,3.139,119.458,0.408,5,119.458,0.556,5,39.91,1,,38.1164,56.1328,158.0872,6291.7,183,1.616,10182,0.0
S10H24,10,24.0,medium,all,16,1,15,2.924,2.409,66.881,-0.243,15,67.381,-0.241,15,30.02,1,,30.0053,43.303,94.9086,2987.0,101,0.76,5731,0.0
S10H24,10,24.0,medium,none,8,1,7,2.019,2.019,58.214,-0.022,7,58.214,-0.022,7,29.13,1,,29.1235,42.8875,91.0222,2987.0,103,0.76,5973,0.0
S10H24,10,24.0,medium,tight,8,0,8,3.277,2.453,67.836,-0.265,8,68.086,-0.459,8,31.13,1,,31.1217,43.9263,95.6906,3042.8,100.0,0.778,5623.0,0.0
S10H24+LPTAIL,10,24.0,all,all,26,5,21,3.962,3.863,72.503,1.185,19,75.216,1.185,19,15.81,1,,15.2298,23.3805,31.4194,1646.7,117,0.291,6727,0.0
S10H24+LPTAIL,10,24.0,all,none,13,2,11,3.863,3.863,72.503,1.506,11,72.503,1.506,11,15.24,1,,14.8346,22.5,30.3781,1526.3,117,0.286,6727,0.0
S10H24+LPTAIL,10,24.0,all,tight,13,3,10,4.474,3.791,72.756,0.941,8,76.756,0.9,8,16.14,1,,16.1308,23.6241,33.9497,1764.6,112.0,0.304,6476.0,0.0
S10H24+LPTAIL,10,24.0,long,all,10,4,6,3.685,3.355,112.035,0.545,4,112.535,0.545,4,16.58,1,,16.563,24.3261,36.1429,2913.2,172.0,0.487,9749.0,0.0
S10H24+LPTAIL,10,24.0,long,none,5,2,3,3.863,3.863,102.434,0.278,3,102.434,0.278,3,16.52,1,,16.5085,24.2509,36.0208,2676.7,162,0.436,9184,0.0
S10H24+LPTAIL,10,24.0,long,tight,5,2,3,3.508,3.203,121.098,0.813,1,121.098,0.813,1,16.91,1,,16.8919,24.7091,37.3923,2985.9,180,0.491,10197,0.0
S10H24+LPTAIL,10,24.0,medium,all,16,1,15,4.527,3.992,59.069,1.506,15,59.069,1.506,15,14.84,1,,14.808,21.8273,30.7812,1439.9,101,0.255,5796,0.0
S10H24+LPTAIL,10,24.0,medium,none,8,0,8,3.832,3.832,58.773,1.658,8,58.773,1.658,8,14.83,1,,14.7672,21.7956,29.7624,1417.4,100.0,0.248,5718.0,0.0
S10H24+LPTAIL,10,24.0,medium,tight,8,1,7,6.577,4.175,68.444,0.988,7,68.944,0.981,7,15.24,1,,15.2298,22.7243,31.4194,1615.4,101,0.271,5796,0.0
S25H12,25,12.0,all,all,19,3,16,5.193,4.135,73.246,0.824,16,73.496,0.816,16,24.74,1,,24.7194,35.278,92.7576,2968.3,118.0,0.721,16791.0,0.0
S25H12,25,12.0,all,none,12,2,10,4.135,4.135,86.39,0.619,10,86.39,0.619,10,23.75,1,,23.7384,33.835,86.8941,3095.3,135.0,0.737,18894.0,0.0
S25H12,25,12.0,all,tight,7,1,6,5.486,4.193,70.722,1.416,6,71.222,1.401,6,25.27,1,,25.2486,35.8113,98.5767,2918.6,112.0,0.711,15965.0,0.0
S25H12,25,12.0,long,all,9,2,7,11.589,11.589,119.984,0.479,7,119.984,0.479,7,24.83,1,,24.8046,35.1046,97.8139,4222.2,180,1.031,25251,0.0
S25H12,25,12.0,long,none,6,1,5,3.135,3.135,102.329,0.441,5,102.329,0.441,5,23.36,1,,23.3306,33.1912,97.8139,4203.9,162,1.0,22995,0.0
S25H12,25,12.0,long,tight,3,1,2,12.919,12.499,131.86,10.29,2,132.36,10.475,2,25.44,1,,25.417,35.8113,90.5367,4668.6,184.0,1.12,25762.0,0.0
S25H12,25,12.0,medium,all,10,1,9,4.99,3.761,66.526,0.978,9,66.526,0.978,9,24.65,1,,24.6341,35.4514,87.7013,2625.0,98,0.633,14287,0.0
S25H12,25,12.0,medium,none,6,1,5,4.51,4.51,66.526,1.857,5,66.526,1.857,5,23.88,1,,23.8648,34.4788,84.4966,2625.0,97,0.633,13989,0.0
S25H12,25,12.0,medium,tight,4,0,4,5.193,3.391,64.242,0.496,4,65.242,0.488,4,24.9,1,,24.8812,35.8821,103.0304,2454.1,102.0,0.594,14738.0,0.0
S25H12+LPTAIL,25,12.0,all,all,28,20,8,7.201,6.136,70.165,3.213,8,70.415,3.824,8,20.67,1,,20.6469,30.514,55.3673,2115.6,100.0,0.366,14582.0,0.0
S25H12+LPTAIL,25,12.0,all,none,12,8,4,5.96,5.96,62.932,3.575,4,62.932,3.575,4,20.5,1,,20.4835,30.4834,53.6573,2093.3,100.0,0.359,14305.0,0.0
S25H12+LPTAIL,25,12.0,all,tight,16,12,4,8.075,6.136,71.265,3.213,4,73.244,3.893,4,20.73,1,,20.7117,30.5334,56.2429,2115.6,102.0,0.367,14792.0,0.0
S25H12+LPTAIL,25,12.0,long,all,14,13,1,3.891,3.891,122.688,-7.447,1,122.688,-7.447,1,20.97,1,,20.942,31.1538,58.7262,3900.0,186,0.662,26130,0.0
S25H12+LPTAIL,25,12.0,long,none,6,5,1,3.891,3.891,122.688,-7.447,1,122.688,-7.447,1,20.97,1,,20.942,31.1538,58.7262,3900.0,186,0.662,26130,0.0
S25H12+LPTAIL,25,12.0,long,tight,8,8,0,,,,,0,,,0,,0,,,,,,,,,
S25H12+LPTAIL,25,12.0,medium,all,14,7,7,7.588,6.429,69.662,3.642,7,70.162,4.855,7,20.37,1,,20.3517,29.8742,53.8391,1995.8,98,0.35,14243,0.0
S25H12+LPTAIL,25,12.0,medium,none,6,3,3,6.815,6.815,55.196,4.855,3,55.196,4.855,3,20.04,1,,20.0251,29.8129,50.4192,1943.8,97,0.337,13689,0.0
S25H12+LPTAIL,25,12.0,medium,tight,8,4,4,8.075,6.136,71.265,3.213,4,73.244,3.893,4,20.73,1,,20.7117,30.5334,56.2429,2115.6,102.0,0.367,14792.0,0.0
S25H48,25,48.0,all,all,11,1,10,2.432,2.364,57.808,-0.699,10,57.808,-0.699,10,365.28,1,,365.2612,525.3667,2582.4903,36629.9,98.0,13.316,14086.0,0.0001
S25H48,25,48.0,all,none,5,0,5,2.25,2.25,57.415,-0.728,5,57.415,-0.728,5,414.96,1,,333.1576,586.7217,1916.223,34316.7,97,16.048,13887,0.0001
S25H48,25,48.0,all,tight,6,1,5,3.168,2.594,60.25,-0.67,5,60.25,-0.67,5,365.07,1,,397.3648,516.4536,3208.5915,38943.1,98,10.583,14286,0.0001
S25H48,25,48.0,medium,all,11,1,10,2.432,2.364,57.808,-0.699,10,57.808,-0.699,10,365.28,1,,365.2612,525.3667,2582.4903,36629.9,98.0,13.316,14086.0,0.0001
S25H48,25,48.0,medium,none,5,0,5,2.25,2.25,57.415,-0.728,5,57.415,-0.728,5,414.96,1,,333.1576,586.7217,1916.223,34316.7,97,16.048,13887,0.0001
S25H48,25,48.0,medium,tight,6,1,5,3.168,2.594,60.25,-0.67,5,60.25,-0.67,5,365.07,1,,397.3648,516.4536,3208.5915,38943.1,98,10.583,14286,0.0001
S25H48+LPTAIL,25,48.0,all,all,23,8,15,5.944,5.125,60.312,2.378,14,60.312,2.777,14,53.24,1,,58.8681,79.2364,168.5052,5011.7,98,1.088,14295,0.0
S25H48+LPTAIL,25,48.0,all,none,12,4,8,5.326,5.326,59.388,2.408,8,59.388,2.408,8,56.06,1,,57.8496,83.2807,168.2341,5078.6,100.0,1.038,14292.0,0.0
S25H48+LPTAIL,25,48.0,all,tight,11,4,7,6.875,4.981,71.281,2.108,6,75.139,3.436,6,52.76,1,,59.8323,76.4742,172.775,4187.6,98,1.101,14295,0.0
S25H48+LPTAIL,25,48.0,long,all,9,6,3,5.527,4.964,104.454,2.777,2,104.454,2.777,2,77.69,1,,77.6634,112.7831,207.9455,12973.5,167,2.38,23674,0.0
S25H48+LPTAIL,25,48.0,long,none,5,3,2,5.246,5.246,103.358,2.777,2,103.358,2.777,2,76.08,1,,76.0628,111.1897,205.9574,12259.2,161.0,2.243,22836.0,0.0
S25H48+LPTAIL,25,48.0,long,tight,4,3,1,6.605,2.95,126.727,,0,131.227,,0,81.91,1,,81.8897,120.2182,230.9632,15318.0,187,2.878,26329,0.0
