route_class,customers_class,window_class,method,n_feasible,n_gap_samples,n_infeasible_excluded,n_unsolved_excluded,gap_mean_%,gap_std_%,gap_median_%,gap_q1_%,gap_q3_%,gap_min_%,gap_max_%
long,few,none,2SP,21,21,4,0,10.045,5.673,12.506,2.888,13.761,2.151,20.809
long,few,none,LA,22,22,3,0,4.957,3.500,3.917,3.307,4.776,2.446,16.182
long,few,none,RO,25,25,0,0,35.240,4.898,36.033,31.378,36.445,27.024,46.488
long,few,none,greedy,23,23,2,0,4.498,2.331,4.047,3.766,4.424,2.959,14.938
long,few,tight,2SP,17,17,7,0,11.439,6.360,13.259,4.442,14.703,2.116,26.074
long,few,tight,LA,24,24,1,0,4.909,2.888,4.159,3.738,5.147,2.803,17.742
long,few,tight,RO,25,25,0,0,35.207,5.028,36.245,31.750,37.850,27.341,46.628
long,few,tight,greedy,23,23,2,0,5.398,2.289,5.361,4.124,5.605,3.645,15.033
long,many,none,2SP,19,19,6,0,11.770,6.000,12.649,11.240,13.454,1.740,22.601
long,many,none,LA,24,24,1,0,5.069,3.587,4.060,3.252,4.775,2.035,14.459
long,many,none,RO,25,25,0,0,32.698,5.574,33.433,29.549,34.975,24.338,44.393
long,many,none,greedy,25,25,0,0,5.662,3.988,4.148,3.727,4.391,2.802,15.326
long,many,tight,2SP,17,17,8,0,17.185,11.666,15.651,13.523,18.462,5.645,56.965
long,many,tight,LA,25,25,0,0,7.730,3.565,6.831,5.729,8.723,2.543,15.431
long,many,tight,RO,25,25,0,0,36.589,5.066,37.969,31.697,40.030,27.932,45.226
long,many,tight,greedy,24,24,1,0,8.069,3.144,7.451,6.210,9.054,3.022,18.357
long,medium,none,2SP,20,20,5,0,8.190,6.790,4.074,2.844,13.550,1.208,25.896
long,medium,none,LA,24,24,1,0,5.068,2.962,4.333,3.831,4.808,2.793,14.371
long,medium,none,RO,25,25,0,0,32.417,5.586,30.948,26.158,36.251,25.580,45.095
long,medium,none,greedy,24,24,1,0,4.563,2.451,3.993,3.584,4.588,3.161,15.690
long,medium,tight,2SP,20,20,5,0,12.027,5.586,14.028,5.253,15.176,3.287,23.035
long,medium,tight,LA,22,22,3,0,7.157,3.842,5.945,5.378,6.807,3.728,18.314
long,medium,tight,RO,25,25,0,0,37.659,5.176,38.116,33.011,39.281,28.744,47.618
long,medium,tight,greedy,23,23,2,0,7.395,3.804,5.941,5.617,6.705,3.438,17.665
medium,few,large,greedy,25,24,0,0,6.433,3.534,5.525,4.971,6.704,3.729,21.961
medium,few,medium,greedy,25,25,0,0,6.465,3.652,5.227,4.693,7.704,3.114,22.126
medium,few,none,2SP,19,19,6,0,6.671,9.458,2.214,1.780,3.176,0.967,30.230
medium,few,none,LA,25,25,0,0,5.108,3.125,4.700,3.786,5.240,2.898,19.242
medium,few,none,RO,25,25,0,0,38.096,8.032,39.387,34.828,40.920,20.347,55.814
medium,few,none,greedy,24,24,1,0,6.019,5.756,4.818,4.158,5.615,3.374,32.704
medium,few,tight,2SP,21,21,4,0,4.285,5.157,2.833,1.887,3.564,1.438,20.964
medium,few,tight,LA,23,23,2,0,5.358,1.368,5.387,4.730,6.005,2.641,8.902
medium,few,tight,RO,25,25,0,0,30.382,8.790,24.306,23.379,36.325,20.399,55.103
medium,few,tight,greedy,24,24,1,0,5.417,4.453,6.162,4.865,6.907,-14.010,9.441
medium,many,large,greedy,25,23,0,0,6.058,1.891,5.755,4.817,6.787,3.373,11.486
medium,many,medium,greedy,25,10,0,0,8.669,3.783,8.320,6.295,10.045,3.323,14.737
medium,many,none,2SP,25,25,0,0,4.854,6.264,2.027,1.614,2.496,0.365,17.490
medium,many,none,LA,25,25,0,0,6.655,7.065,4.595,3.408,5.273,2.602,33.822
medium,many,none,RO,25,25,0,0,28.613,7.806,32.057,19.871,35.773,17.889,38.222
medium,many,none,greedy,25,25,0,0,5.322,5.716,4.367,3.180,6.180,-10.684,20.767
medium,many,tight,2SP,23,23,2,0,7.684,6.353,5.495,2.719,10.110,1.736,27.196
medium,many,tight,LA,23,23,2,0,14.828,6.486,12.981,11.420,18.670,3.032,29.932
medium,many,tight,RO,25,25,0,0,37.040,8.978,40.179,27.152,44.172,21.581,50.339
medium,many,tight,greedy,25,25,0,0,12.636,4.540,12.394,10.317,14.516,6.011,29.902
medium,medium,large,greedy,23,0,2,0,,,,,,,
medium,medium,medium,greedy,24,0,1,0,,,,,,,
medium,medium,none,2SP,24,24,1,0,3.266,4.740,1.830,1.381,2.437,0.393,18.961
medium,medium,none,LA,24,24,0,0,4.513,1.040,4.490,3.825,5.234,2.085,6.329
medium,medium,none,RO,25,25,0,0,30.221,7.787,33.598,21.438,38.114,19.514,40.576
medium,medium,none,greedy,24,24,1,0,5.000,1.157,5.017,4.549,5.512,2.846,8.596
medium,medium,tight,2SP,22,22,2,0,4.803,4.209,3.947,2.106,5.289,1.544,17.259
medium,medium,tight,LA,25,25,0,0,7.077,5.776,6.807,5.362,8.423,-12.155,21.588
medium,medium,tight,RO,25,25,0,0,33.141,8.001,36.340,25.653,40.419,22.958,44.561
medium,medium,tight,greedy,25,25,0,0,8.434,3.268,7.725,6.612,9.681,3.554,21.107
short,few,large,2SP,25,25,0,0,2.127,1.178,2.001,1.421,2.488,-0.006,5.945
short,few,large,LA,25,25,0,0,5.783,2.222,6.310,3.747,6.882,2.236,11.199
short,few,large,RO,25,25,0,0,21.769,15.889,34.160,6.657,36.485,2.449,42.592
short,few,large,greedy,25,25,0,0,6.631,2.289,6.484,5.061,7.568,2.024,11.953
short,few,medium,2SP,24,24,1,0,2.222,0.962,1.972,1.654,2.893,0.110,3.848
short,few,medium,LA,3,3,0,0,6.992,1.812,6.037,5.948,7.559,5.858,9.082
short,few,medium,RO,25,25,0,0,21.583,16.240,8.635,6.564,36.966,3.867,42.139
short,few,medium,greedy,25,25,0,0,7.007,1.597,7.032,5.476,7.772,4.822,10.568
