km,kw,hgv,truck,dist_km,lat,lon,name,osm
8.00,150.00,,,0.84,58.47,8.72,"Mer Extra Stoa",node/6016034834
8.00,150.00,,,0.91,58.46,8.71,"Mer OBS Arendal",node/7226581253
8.00,250.00,,,0.97,58.47,8.72,"Arendal Supercharger",node/11051454558
8.00,250.00,,,0.91,58.47,8.71,"Ragde Charge Stoa senter",node/12755217987
116.17,150.00,,,0.05,58.47,8.75,"Circle K E18 Arendal",node/6016034816
120.72,150.00,,,0.84,58.47,8.72,"Mer Extra Stoa",node/6016034834
120.72,150.00,,,0.65,58.46,8.71,"Mer OBS Arendal",node/7226581253
120.72,250.00,,,0.72,58.47,8.71,"Ragde Charge Stoa senter",node/12755217987
138.29,300.00,,,0.09,58.34,8.57,"Circle K Grimstad",node/6016034807
138.29,10.40,,,0.64,58.34,8.58,"Mer Dahlske videregående skole",node/6016034818
138.29,50.00,,,0.02,58.34,8.57,"Recharge McDonald's Grimstad",node/6016034821
138.29,20.00,,,0.87,58.33,8.57,"Mer Campus Grimstad Arena",node/6016034833
138.29,22.00,,,0.92,58.33,8.58,"UiA Grimstad",node/6016034839
138.29,11.00,,,0.79,58.34,8.58,"Mer Fagskole - Dahlske videregående skole",node/6968236223
138.29,3.60,,,0.87,58.34,8.58,"Mer Vinkelbygget - Dahlske videregående skole",node/6968236225
138.29,150.00,,,0.14,58.34,8.57,"Mer Extra Øygårdsdalen",node/8933643369
138.29,22.00,,,0.45,58.34,8.57,"Kople Grimstad Fagskole",node/10557751977
138.29,400.00,,,0.13,58.34,8.57,"Ionity Grimstad",node/12739474510
159.43,200.00,,,0.73,58.24,8.30,"E.ON Lillesand",node/6016034804
159.43,300.00,,,0.93,58.24,8.30,"Circle K E18 Lillesand",node/6016034806
159.43,150.00,,,0.97,58.24,8.30,"Lillesand Supercharger",node/6016034820
159.43,50.00,,,0.68,58.24,8.30,"Recharge YX Lillesand",node/6016034837
159.43,350.00,,,0.99,58.24,8.30,"Ionity Lillesand",node/6603282941
159.43,400.00,,,0.74,58.24,8.30,"Kople YX Lillesand E18",node/12824186860
171.78,200.00,,,0.63,58.19,8.16,"Recharge IKEA Sørlandet",node/6016034822
171.78,50.00,,,0.49,58.19,8.15,"Mer Obs bygg Sørlandsparken",node/6772591669
171.78,200.00,,,0.61,58.19,8.16,"Recharge Esso Kjuttaviga",node/11172580119
