km,kw,dist_km,m_man_h,origin,lat,lon,name,osm
40.14,400.00,1.29,0.19,osm>=350kW,58.62,8.90,"St1 Lading Tvedestrand",node/12777006660
138.29,400.00,0.13,0.17,osm>=350kW,58.34,8.57,"Ionity Grimstad",node/12739474510
151.03,400.00,1.61,0.20,osm>=350kW,58.27,8.40,"Uno-X Gaupemyr",node/12810000478
159.43,400.00,0.74,0.18,osm>=350kW,58.24,8.30,"Ionity Lillesand",node/6603282941
171.78,400.00,1.77,0.20,osm>=350kW,58.17,8.13,"Eviny PostNord Kristiansand",node/12776887240
176.93,400.00,0.58,0.17,osm>=350kW,58.17,8.09,"Recharge YX Håneskrysset",node/11172580120
181.66,400.00,0.71,0.17,osm>=350kW,58.15,8.01,"St1 Lading Valhalla",node/12776996420
186.09,400.00,1.05,0.18,osm>=350kW,57.58,9.98,"Eon Drive",node/11694125899
226.72,400.00,1.91,0.20,osm>=350kW,57.25,9.98,"Norlys",node/13396286233
249.27,400.00,2.17,0.21,osm>=350kW,57.07,9.95,"",node/13988057608
263.10,400.00,0.57,0.17,osm>=350kW,56.95,9.87,"EWII",way/1420044968
267.53,400.00,1.88,0.20,osm>=350kW,56.90,9.84,"E.ON",way/1393978020
280.83,400.00,1.99,0.21,osm>=350kW,56.84,9.74,"Skellefteå Kraft",node/13426597504
285.34,400.00,0.74,0.18,osm>=350kW,56.78,9.69,"OK",node/13108672433
399.06,400.00,2.12,0.21,osm>=350kW,55.98,9.86,"Circle K",way/1544903179
437.15,400.00,0.41,0.17,osm>=350kW,55.68,9.56,"Circle K Bøgeparken",way/1358783982
441.61,400.00,0.90,0.20,osm>=350kW,55.66,9.55,"Norlys",way/1386649199
464.03,400.00,2.04,0.21,osm>=350kW,55.51,9.40,"Harte Nord",way/1488886592
468.42,400.00,2.14,0.21,osm>=350kW,55.47,9.47,"Circle K",way/1489183608
495.86,400.00,1.34,0.21,osm>=350kW,55.22,9.37,"Norlys",node/13448765060
513.76,400.00,1.50,0.20,osm>=350kW,55.07,9.36,"Norlys Lynlader",node/12453672127
531.77,400.00,1.52,0.20,osm>=350kW,54.94,9.38,"Norlys Lynlader",way/1434228107
545.27,400.00,0.65,0.19,osm>=350kW,54.83,9.33,"Circle K",node/13450974053
549.37,400.00,2.81,0.23,osm>=350kW,54.79,9.38,"E.ON",way/1353570170
566.54,400.00,1.15,0.19,osm>=350kW,54.64,9.44,"Fastned",node/13279212802
587.49,500.00,0.21,0.17,osm>=350kW,54.48,9.54,"Busdorf Supercharger",way/1263809873
641.06,350.00,0.29,0.17,osm>=350kW,54.09,9.93,"Ionity Aalbek West",way/1316249006
650.59,350.00,0.91,0.18,osm>=350kW,54.01,9.93,"Ionity Brokenlande Ost",way/1316249001
680.90,370.00,1.56,0.22,osm>=350kW,53.75,9.96,"Vattenfall InCharge Netto Ulzburger Landstr.",node/11933323463
709.73,920.00,1.31,0.19,osm>=350kW,53.47,9.90,"Comfortcharge",node/8071508982
714.38,400.00,1.03,0.18,osm>=350kW,53.43,9.93,"Dehner Citywatt Ladestation",node/11444217416
727.48,400.00,1.08,0.18,osm>=350kW,53.37,9.80,"McDonald's Ladestation",node/12571043075
745.12,400.00,0.25,0.17,osm>=350kW,53.30,9.53,"ionity",node/8255497308
766.19,400.00,1.27,0.19,osm>=350kW,53.19,9.29,"McDonald's Ladestation",node/8248254261
858.91,400.00,1.20,0.19,osm>=350kW,52.81,8.19,"EnBW Energie Baden-Württemberg AG",node/12162510503
867.41,360.00,2.33,0.22,osm>=350kW,52.73,8.18,"Shell Recharge Solutions",node/12179800121
899.12,400.00,1.64,0.20,osm>=350kW,52.48,8.05,"DS card + drive Ladepark Rieste",node/13252279900
912.31,400.00,1.99,0.21,osm>=350kW,52.40,8.02,"EnBW HyperNetz",node/13429038060
1176.93,400.00,0.53,0.17,osm>=350kW,52.06,4.82,"Fastned Nieuwerbrug",node/13072518464
1487.32,400.00,1.83,0.20,osm>=350kW,52.26,7.71,"EnBW mobility+ AG und Co.KG",way/1489774861
1560.05,400.00,1.23,0.19,osm>=350kW,51.98,8.48,"EWE Go",node/13674673842
1573.43,400.00,1.17,0.19,osm>=350kW,51.91,8.61,"EnBW mobility+ AG und Co.KG",node/13266865407
1601.41,350.00,1.24,0.19,osm>=350kW,51.71,8.72,"Ionity GmbH",node/11690066688
1641.62,400.00,0.90,0.18,osm>=350kW,51.49,9.01,"EnBW Schnellladepark Diemelstadt",way/1416508545
1658.73,360.00,0.14,0.17,osm>=350kW,51.40,9.18,"Shell",node/12010309691
1723.74,400.00,0.46,0.17,osm>=350kW,51.01,9.48,"Ionity",node/12331318939
1751.00,350.00,1.44,0.19,osm>=350kW,50.83,9.57,"Ionity Kirchheim (Tal)",node/8548432158
1795.95,350.00,0.88,0.18,osm>=350kW,50.49,9.71,"ionity",node/9060793543
1903.58,350.00,1.45,0.19,osm>=350kW,49.98,10.56,"Ionity Knetzgau",node/11423208781
1970.41,400.00,1.63,0.20,osm>=350kW,50.02,11.39,"",node/13585234669
1996.05,400.00,2.85,0.23,osm>=350kW,49.96,11.60,"",node/13308674665
2112.68,400.00,0.33,0.17,osm>=350kW,49.94,12.22,"EnBW Energie Baden-Württemberg AG",node/12717855404
2366.14,350.00,1.18,0.19,osm>=350kW,51.64,12.20,"ionity",node/11560314355
2402.37,400.00,1.94,0.21,osm>=350kW,51.89,12.40,"Circle K",node/9124579929
2440.87,350.00,0.59,0.17,osm>=350kW,52.16,12.78,"Ionity",node/10591506362
2584.53,350.00,0.77,0.18,osm>=350kW,53.15,12.40,"IONITY Heiligengrabe",node/9198308072
2654.69,600.00,1.85,0.20,osm>=350kW,53.44,11.49,"Aral",node/13580104676
2684.69,350.00,0.55,0.17,osm>=350kW,53.50,11.09,"Ionity",node/11293487160
2813.72,350.00,0.30,0.17,osm>=350kW,54.09,9.93,"Ionity Aalbek West",way/1316249006
2870.18,500.00,1.80,0.20,osm>=350kW,54.48,9.54,"Busdorf Supercharger",way/1263809873
2888.30,400.00,0.07,0.17,osm>=350kW,54.64,9.44,"Fastned",node/13279212802
2909.14,400.00,0.78,0.18,osm>=350kW,54.79,9.38,"E.ON",way/1353570170
2913.14,400.00,1.91,0.21,osm>=350kW,54.83,9.33,"Circle K",node/13450974053
2929.91,400.00,1.96,0.21,osm>=350kW,54.94,9.38,"Norlys Lynlader",way/1434228107
2943.63,400.00,0.96,0.18,osm>=350kW,55.07,9.36,"Norlys Lynlader",node/12453672127
2957.54,400.00,2.18,0.21,osm>=350kW,55.22,9.37,"Norlys",node/13448765060
2962.66,400.00,0.59,0.17,osm>=350kW,55.24,9.40,"E.ON  Sunset Boulevard | Hammelev",way/1516926247
2989.37,400.00,2.23,0.21,osm>=350kW,55.47,9.47,"Circle K",way/1489183608
2993.57,400.00,1.95,0.21,osm>=350kW,55.51,9.40,"Harte Nord",way/1488886592
3015.02,400.00,0.38,0.17,osm>=350kW,55.64,9.56,"Norlys",way/1531411479
3019.32,400.00,0.36,0.17,osm>=350kW,55.68,9.56,"Circle K Bøgeparken",way/1358783982
3058.12,400.00,1.62,0.20,osm>=350kW,55.98,9.86,"Circle K",way/1544903179
3164.48,400.00,1.46,0.20,osm>=350kW,56.78,9.69,"OK",node/13108672433
3172.82,400.00,0.21,0.17,osm>=350kW,56.84,9.74,"Skellefteå Kraft",node/13426597504
3181.82,400.00,0.64,0.17,osm>=350kW,56.90,9.84,"E.ON",way/1393978020
3186.13,400.00,1.35,0.19,osm>=350kW,56.95,9.87,"EWII",way/1420044968
3194.69,400.00,2.86,0.23,osm>=350kW,57.04,9.91,"OK",node/13829365881
3202.91,400.00,0.47,0.17,osm>=350kW,57.07,9.95,"",node/13988057608
3224.27,400.00,0.40,0.17,osm>=350kW,57.25,9.98,"Norlys",node/13396286233
3263.00,400.00,0.10,0.17,osm>=350kW,57.58,9.98,"Eon Drive",node/11694125899
3316.95,400.00,1.68,0.20,osm>=350kW,58.15,8.01,"St1 Lading Valhalla",node/12776996420
3321.00,400.00,1.09,0.23,osm>=350kW,58.17,8.09,"Recharge YX Håneskrysset",node/11172580120
3325.45,400.00,0.26,0.17,osm>=350kW,58.24,8.30,"Ionity Lillesand",node/6603282941
