km,kw,dist_km,m_man_h,origin,lat,lon,name,osm
244.68,400.00,0.29,0.17,osm-name-truck,57.09,9.96,"Uno-X Truck",node/13988233570
338.89,1000.00,0.29,0.17,osm,56.41,10.08,"Norlys",way/1458242626
384.59,400.00,1.70,0.20,osm,56.07,9.98,"Circle K",way/434233297
413.53,400.00,1.14,0.19,osm-name-truck,55.85,9.73,"Q8 TRUCK",way/1546670569
450.61,300.00,5.89,0.30,osm,55.54,9.64,"OK E-Truck Taulov",way/1225137976
636.15,400.00,16.29,0.56,osm,54.14,10.21,"Depenauer Moor",node/12317899918
929.52,400.00,10.07,0.41,osm,52.21,8.04,"eliso",node/13060160904
943.74,150.00,3.62,0.25,osm,52.23,7.75,"JB Solarstrom",node/9339101773
962.65,300.00,5.04,0.28,osm,52.27,7.45,"Allego GmbH",node/12905903805
966.70,150.00,11.19,0.44,osm,52.23,7.37,"K & M Wind KG",node/12903446429
975.81,150.00,13.95,0.51,osm,52.21,7.32,"Robert Bosch GmbH",node/11778697331
980.20,400.00,2.08,0.21,osm,52.36,7.26,"",node/13151016705
1011.39,400.00,0.59,0.17,osm-name-truck,52.28,6.85,"Milence Truck Charging Hub Deurningen",node/13822346994
1097.77,300.00,6.07,0.31,osm,51.96,5.89,"Fastned GelreDome",node/6794660768
1129.32,175.00,1.21,0.19,osm,52.05,5.46,"Fastned Oudenhorst",node/6593318227
1159.20,,2.92,0.23,osm,52.09,5.09,"We Drive Solar",node/10068237378
1190.10,400.00,0.33,0.17,osm,52.07,4.85,"Entent Woerden",way/1474750836
1334.41,1400.00,6.33,0.32,osm,52.53,6.18,"Milence Charging Hub Zwolle",way/1431655284
1412.40,,3.23,0.24,osm,52.75,7.16,"CEC Haren GmbH",way/1424866348
1455.71,400.00,1.74,0.20,osm,52.36,7.26,"",node/13151016705
1460.13,150.00,13.73,0.50,osm,52.21,7.32,"Robert Bosch GmbH",node/11778697331
1469.15,150.00,11.17,0.44,osm,52.23,7.37,"K & M Wind KG",node/12903446429
1473.46,300.00,5.05,0.28,osm,52.27,7.45,"Allego GmbH",node/12905903805
1492.49,150.00,3.78,0.25,osm,52.23,7.75,"JB Solarstrom",node/9339101773
1511.12,400.00,4.41,0.27,osm,52.21,8.04,"eliso",node/13060160904
1538.24,150.00,18.80,0.63,osm,51.93,8.12,"Westfalen AG",node/12638344541
1564.43,150.00,13.53,0.50,osm,51.86,8.37,"Schnellladestation A2 Gütersloh Süd 2",node/12857309419
1568.80,250.00,1.40,0.19,osm,51.95,8.57,"Bielefeld Supercharger",node/12328578844
1628.57,400.00,1.63,0.20,osm,51.54,8.84,"Grünstrom Ladepark A44",node/13950541737
1690.86,480.00,3.33,0.24,curated,51.30,9.57,"LKW-Ladepark Kassel A7 (ESG)",https://www.esg-solar.de/lkw-ladepark-kassel-a7/
1979.27,300.00,9.89,0.41,curated,50.07,11.61,"Aral pulse Autohof Himmelkron",https://chargefinder.com/de/stromtankstelle-himmelkron-aral-pulse-hofer-strasse-2/jz8527
2230.09,400.00,1.78,0.20,osm,50.55,11.79,"TEAG Mobil Ladepark Schleiz",way/1479880404
2273.50,400.00,9.57,0.40,osm,50.89,11.98,"Milence Charging Hub Hermsdorfer Kreuz",node/12405354685
2343.10,400.00,1.93,0.21,osm,51.42,12.22,"EnBW Energie Baden-Württemberg AG",way/1476942134
2392.08,400.00,1.95,0.21,osm,51.85,12.34,"Milence Charging Hub Vockerode",node/12415399669
2497.99,,2.87,0.23,osm,52.53,13.00,"Allego",node/6298255472
2549.66,,4.21,0.26,osm,52.92,12.79,"",way/1420590331
2794.47,400.00,14.75,0.53,osm,54.14,10.21,"Depenauer Moor",node/12317899918
3006.38,300.00,5.86,0.30,osm,55.54,9.64,"OK E-Truck Taulov",way/1225137976
3044.06,400.00,1.86,0.20,osm-name-truck,55.85,9.73,"Q8 TRUCK",way/1546670569
3071.75,400.00,1.57,0.20,osm,56.07,9.98,"Circle K",way/434233297
3116.20,1000.00,1.07,0.18,osm,56.41,10.08,"Norlys",way/1458242626
3207.02,400.00,1.43,0.19,osm-name-truck,57.09,9.96,"Uno-X Truck",node/13988233570
