km,dist_km,lat,lon,name,osm
138.29,0.09,58.34,8.57,"Øygårdsdal",node/4608501111
258.72,0.17,56.99,9.90,"Limfjorden",way/117376280
258.72,0.41,56.99,9.90,"Dall",way/117376298
418.43,0.06,55.82,9.70,"Nørremark",way/65755355
509.26,0.30,55.12,9.37,"Øster Løgum Vest",way/1338445622
509.26,0.07,55.12,9.37,"Øster Løgum Øst",way/1338445623
579.17,0.07,54.54,9.47,"Arenholzer See",way/376781990
583.25,0.18,54.50,9.50,"Hüsby",way/376781992
587.49,0.10,54.48,9.54,"Autohof Wikingerland",way/355647362
641.06,0.32,54.09,9.93,"Aalbek-West",way/221160721
735.74,0.50,53.34,9.66,"Stellheide",way/191147682
745.12,0.23,53.30,9.53,"Ostetal Nord",way/191004326
745.12,0.23,53.30,9.53,"Ostetal Süd",way/191007634
790.96,0.48,53.05,9.02,"Thünen",way/241503899
790.96,0.16,53.05,9.01,"Thünen",way/347961738
804.65,0.31,53.02,8.84,"Ahlken",way/240950033
818.57,0.17,52.99,8.66,"",way/299600774
827.69,0.37,52.95,8.56,"Delmetal Nord",way/644581984
841.13,0.05,52.91,8.38,"",way/299600731
845.15,0.45,52.90,8.32,"Zur Visbeker Braut",way/1068837228
862.93,0.26,52.78,8.20,"Cappeln Hagelage Ost",way/299469055
862.93,0.12,52.78,8.20,"Cappeln Hagelage West",way/299469056
885.72,0.37,52.60,8.12,"Total Autohof Holdorf",way/355241030
907.87,0.10,52.42,8.03,"Bramsche West",way/376579966
925.12,0.49,52.30,7.95,"Autohof Osnabrück",way/367122097
934.95,0.26,52.26,7.85,"Brockbachtal Nord",way/296611541
934.95,0.20,52.26,7.85,"Brockbachtal Süd",way/296611542
1011.39,0.15,52.29,6.86,"Het Veelsveld",way/669127952
1050.19,0.05,52.25,6.36,"De Hop",way/669127947
1150.92,0.23,52.06,5.18,"De Forten",way/88435421
1199.32,0.17,52.08,4.98,"Hellevliet",way/74981429
1199.32,0.18,52.08,4.98,"Bijleveld",way/74981431
1245.68,0.06,52.25,5.49,"Oldenaller",way/608036225
1264.48,0.14,52.34,5.69,"Leuvenhorst",way/608031651
1269.43,0.21,52.36,5.77,"Willemsbos",way/607969146
1269.43,0.30,52.36,5.77,"Hendriksbos",way/607969147
1377.53,0.11,52.72,6.65,"Groote Veldblokken",way/668485839
1377.53,0.41,52.72,6.64,"Zwinderscheveld",way/668485840
1434.43,0.27,52.53,7.20,"Ems-Vechte Ost",way/111265381
1434.43,0.28,52.53,7.20,"Ems-Vechte West",way/111265391
1525.00,0.27,52.17,8.16,"Teutoburger Wald Ost",way/275794886
1525.00,0.27,52.17,8.16,"Teutoburger Wald West",way/275794890
1610.36,0.26,51.63,8.72,"Letzter Heller",way/275798123
1650.25,0.31,51.46,9.12,"Hoppenberg",way/162406982
1658.73,0.07,51.40,9.18,"Autohof Elsinger Höhe",way/162403225
1664.11,0.16,51.38,9.25,"Bühleck Nord",relation/9998686
1668.45,0.38,51.36,9.28,"Bärenberg",way/368790416
1699.95,0.16,51.20,9.47,"Euro Rastpark Guxhagen",way/357225540
1714.28,0.23,51.09,9.49,"Autohof Malsfeld",way/193674608
1723.74,0.50,51.01,9.48,"Autohof Homberg/Efze A7",way/263071445
1756.19,0.20,50.79,9.55,"Rastplatz Ottersbach",way/368338553
1760.68,0.47,50.76,9.60,"Richtgraben",way/368338554
1800.06,0.48,50.46,9.72,"Riederberg",way/221257689
1804.77,0.15,50.42,9.74,"Tank- und Rastanlage Uttrichshausen Ost",way/290305655
1804.77,0.35,50.42,9.73,"Tank- und Rastanlage Uttrichshausen West",way/290305657
1814.05,0.20,50.34,9.76,"Rastplatz Rhönblick",way/368016614
1814.05,0.29,50.35,9.75,"Rastplatz Speicherz",way/368016618
1828.51,0.32,50.27,9.88,"Rhön Ost",way/221257687
1828.51,0.08,50.26,9.88,"Rhön West",way/221257688
1836.80,0.10,50.21,9.93,"Rastplatz Brodpfad",way/368016608
1854.82,0.15,50.07,10.02,"Rastplatz Lerchenberg",way/368016613
1858.84,0.31,50.05,10.06,"Rastplatz Brebersdorf",way/368016607
1970.41,0.40,50.02,11.41,"Eni Service Station",way/545502356
1974.51,0.38,50.03,11.47,"Rotmaintal",way/394930587
1974.51,0.43,50.03,11.47,"Rotmaintal",way/394930588
2097.00,0.34,49.84,12.17,"Raststätte Waldnaabtal West",way/469076163
2097.00,0.08,49.84,12.17,"Raststätte Waldnaabtal Ost",way/469076165
2112.68,0.18,49.94,12.23,"Autohof Mitterteich",way/1270565432
2216.65,0.04,50.43,11.80,"Autohof Hirschberg",node/3657814598
2216.65,0.05,50.43,11.80,"Raststätte Hirschberg",way/315644973
2282.20,0.04,50.96,11.85,"Kuhberg",way/155825034
2282.20,0.33,50.96,11.85,"Kuhberg",way/155825036
2397.07,0.12,51.87,12.37,"Kliekener Aue",way/375646480
2397.07,0.12,51.87,12.37,"Kliekener Aue",way/375646481
2423.57,0.11,52.04,12.62,"Rabenstein",way/371479295
2511.28,0.42,52.67,13.00,"Wolfslake-West",way/369332497
2528.21,0.37,52.75,12.86,"Linumer Bruch-Süd",way/369954834
2667.60,0.39,53.46,11.34,"Schremheide Nord",way/255777880
2667.60,0.38,53.46,11.34,"Schremheide Süd",way/255777882
2684.69,0.49,53.50,11.10,"Autohof Wittenburg",way/1363858852
2813.72,0.33,54.09,9.93,"Aalbek-West",way/221160721
2852.93,0.19,54.37,9.67,"Hüttener Berge Ost",way/217024136
2852.93,0.30,54.36,9.67,"Hüttener Berge West",way/217024137
2888.30,0.15,54.64,9.44,"Jalm",way/128672048
2925.75,0.44,54.92,9.38,"Oksekær Vest",relation/10546068
2948.79,0.16,55.12,9.37,"Øster Løgum Vest",way/1338445622
2948.79,0.11,55.12,9.37,"Øster Løgum Øst",way/1338445623
3015.02,0.38,55.64,9.56,"Skærup Vest",way/1257937839
3038.94,0.19,55.83,9.70,"Merring",way/25753696
3038.94,0.48,55.82,9.70,"Nørremark",way/65755355
3121.64,0.14,56.45,10.00,"Gudenå Vest",way/99592148
3121.64,0.30,56.45,10.00,"Gudenå Øst",way/99595168
3138.58,0.24,56.57,9.85,"Glenshøj Øst",way/99583345
3138.58,0.25,56.57,9.85,"Glenshøj Vest",way/99584292
3160.15,0.41,56.73,9.71,"Senhøj Øst",way/942762843
3160.15,0.38,56.73,9.70,"Senhøj Vest",way/942762861
3172.82,0.12,56.84,9.74,"Himmerland Øst",way/374294208
3172.82,0.21,56.84,9.74,"Himmerland Vest",way/374294209
3254.52,0.13,57.51,10.00,"",node/8715757895
