idx,km,type,arrive,depart,dwell_h,ferry_dwell_h,embedded_rest_h,lat,lon,address
0,0.0,depot,,2025-09-22 07:47,,,,58.45869,8.72193,"Åsbieveien 25, 4848 Arendal, Norge"
1,8.0,customer,2025-09-22 08:00,2025-09-22 09:11,1.183,,,58.49291,8.64251,"Bjørumsvegen 19, 4820 Froland, Norge"
2,66.0,customer,2025-09-22 10:07,2025-09-22 11:21,1.233,,,58.70625,8.59165,"Simonstad, 4868 Åmli, Norge"
3,185.0,ferry,2025-09-22 14:25,2025-09-22 18:11,0.000,3.77,,58.14401,7.98619,"Havnegata 61, 4611 Kristiansand S, Norge"
4,540.0,rest,2025-09-22 23:01,2025-09-23 08:01,9.000,,,54.86024,9.36086,"Vognmarken 1D, 6330 Padborg, Danmark"
5,606.0,break,2025-09-23 09:01,2025-09-23 09:23,0.367,,,54.34448,9.69869,"Winkelhörner Weg 4, 24794 Borgstedt, Deutschland"
6,778.0,break,2025-09-23 11:43,2025-09-23 12:16,0.550,,,53.09203,9.18080,"E.ON, 27367 Sottrum, Deutschland"
7,997.0,break,2025-09-23 15:11,2025-09-23 16:05,0.900,,,52.31520,7.04631,"De Poppe, 7587 De Lutte, Nederland"
8,1183.0,customer,2025-09-23 18:52,2025-09-23 20:50,1.967,,12.52,52.02671,4.80379,"Hogebrug 2, 3465 HG Driebruggen, Nederland"
9,1287.0,break,2025-09-24 10:39,2025-09-24 10:52,0.217,,,52.45084,5.97751,"BP Shop, Rijksweg A28 2, 8091 Wezep, Nederland"
10,1321.0,customer,2025-09-24 11:39,2025-09-24 13:25,1.767,,,52.62645,6.04303,"Prinses Beatrixstraat 5, 8281 CA Genemuiden, Nederland"
11,1525.0,break,2025-09-24 17:19,2025-09-24 18:04,0.750,,,52.17274,8.15419,"A33, 49176 Hilter am Teutoburger Wald, Deutschland"
12,1725.0,rest,2025-09-24 20:32,2025-09-25 05:34,9.033,,,51.00621,9.48119,"Schilfwiese, 34593 Knüllwald, Deutschland"
13,1991.0,customer,2025-09-25 09:21,2025-09-25 10:07,0.667,,,49.93340,11.55275,"Spitzwegstraße 60, 95447 Bayreuth, Deutschland  (+gate merge)"
14,2072.0,customer,2025-09-25 11:31,2025-09-25 12:01,0.500,,,49.72346,12.06203,"Polier 20, 92711 Parkstein, Deutschland"
15,2097.0,break,2025-09-25 12:32,2025-09-25 12:47,0.250,,,49.83640,12.17172,"A93, 92670 Windischeschenbach, Deutschland"
16,2117.0,customer,2025-09-25 13:10,2025-09-25 14:02,0.867,,,49.94584,12.22767,"Hüblteichstraße 17, 95666 Mitterteich, Deutschland"
17,2271.0,break,2025-09-25 16:25,2025-09-25 16:36,0.183,,,50.86235,11.85295,"Am Rasthof 7, 07629 Schleifreisen, Deutschland"
18,2364.0,rest,2025-09-25 17:42,2025-09-26 05:34,11.867,,,51.60834,12.18624,"Total, 06794 Sandersdorf-Brehna, Deutschland"
19,2704.0,break,2025-09-26 09:42,2025-09-26 10:35,0.883,,,53.52027,10.80785,"E.ON, 23899 Gudow, Deutschland"
20,2910.0,break,2025-09-26 13:46,2025-09-26 14:47,1.017,,,54.79550,9.37253,"Ochsenweg 25, 24955 Harrislee, Deutschland"
21,3060.0,break,2025-09-26 16:54,2025-09-26 19:00,2.100,,10.20,55.97810,9.86934,"Circle K Motorvejscenter Ejer Bavnehøj, 8660 Skanderborg, Danmark"
22,3263.0,break,2025-09-27 07:44,2025-09-27 08:23,0.650,,,57.57576,9.98597,"Go'on Hirtshals Cafeteria, Dalsagervej, 9850 Hirtshals, Danmark"
23,3274.0,ferry,2025-09-27 08:29,2025-09-27 13:25,1.000,4.94,,57.59509,9.98293,"Sigurd Espersens Vej, 9850 Hirtshals, Danmark"
24,3339.0,depot,2025-09-27 14:50,,,,,58.45960,8.72237,"Åsbieveien 25, 4848 Arendal, Norge"
