route,customers,tw,guard,n,broke,fail_rate,median_frac_done,stranding,hos
short,few,tight,raw,25,25,1.0,0.5918,25,0
short,few,tight,guarded,25,2,0.08,0.7059,2,0
short,few,medium,raw,25,25,1.0,0.5854,25,0
short,few,medium,guarded,25,5,0.2,0.5854,5,0
short,few,large,raw,25,23,0.92,0.7209,22,1
short,few,large,guarded,25,1,0.04,0.3019,1,0
short,few,none,raw,25,24,0.96,0.5907,20,4
short,few,none,guarded,25,3,0.12,0.5714,3,0
short,medium,tight,raw,25,24,0.96,0.59,21,3
short,medium,tight,guarded,25,4,0.16,0.5136,3,1
short,medium,medium,raw,25,23,0.92,0.66,22,1
short,medium,medium,guarded,25,2,0.08,0.6444,2,0
short,medium,large,raw,25,25,1.0,0.6154,24,1
short,medium,large,guarded,25,3,0.12,0.75,2,1
short,medium,none,raw,25,23,0.92,0.6786,22,1
short,medium,none,guarded,25,1,0.04,0.5,1,0
short,many,tight,raw,25,24,0.96,0.6005,22,2
short,many,tight,guarded,25,4,0.16,0.5593,2,2
short,many,medium,raw,25,24,0.96,0.6195,24,0
short,many,medium,guarded,25,3,0.12,0.5091,3,0
short,many,large,raw,25,25,1.0,0.68,25,0
short,many,large,guarded,25,3,0.12,0.766,3,0
short,many,none,raw,25,24,0.96,0.5841,22,2
short,many,none,guarded,25,3,0.12,0.3333,2,1
medium,few,tight,raw,25,25,1.0,0.2857,25,0
medium,few,tight,guarded,25,8,0.32,0.2019,8,0
medium,few,medium,raw,25,25,1.0,0.3253,24,1
medium,few,medium,guarded,25,10,0.4,0.7516,7,3
medium,few,large,raw,25,25,1.0,0.3558,22,3
medium,few,large,guarded,25,6,0.24,0.6813,5,1
medium,few,none,raw,25,25,1.0,0.3711,24,1
medium,few,none,guarded,25,3,0.12,0.4563,3,0
medium,medium,tight,raw,25,25,1.0,0.3562,24,1
medium,medium,tight,guarded,25,6,0.24,0.7074,5,1
medium,medium,medium,raw,25,25,1.0,0.3506,24,1
medium,medium,medium,guarded,25,8,0.32,0.7099,8,0
medium,medium,large,raw,25,25,1.0,0.3776,23,2
medium,medium,large,guarded,25,6,0.24,0.6042,4,2
medium,medium,none,raw,25,24,0.96,0.3819,21,3
medium,medium,none,guarded,25,6,0.24,0.6664,3,3
medium,many,tight,raw,25,25,1.0,0.3291,24,1
medium,many,tight,guarded,25,10,0.4,0.7647,9,1
medium,many,medium,raw,25,25,1.0,0.4,22,3
medium,many,medium,guarded,25,7,0.28,0.7416,5,2
medium,many,large,raw,25,25,1.0,0.3469,23,2
medium,many,large,guarded,25,5,0.2,0.4235,3,2
medium,many,none,raw,25,25,1.0,0.3333,24,1
medium,many,none,guarded,25,8,0.32,0.4288,7,1
