route,specification,tank_L,cons_L_per_100km,mean_fuel_stops,pct_needing_1plus,penalty_%
short,assumed (headline),,,0.00,,7.98
short,no fuel stop,,,0.00,,7.98
short,900 L @ 25 L/100km,900,25.0,0.00,0,7.98
short,900 L @ 33 L/100km,900,33.0,0.00,0,7.98
short,600 L @ 25 L/100km,600,25.0,0.00,0,7.98
short,600 L @ 33 L/100km,600,33.0,0.00,0,7.98
medium,assumed (headline),,,1.00,,9.36
medium,no fuel stop,,,0.00,,10.03
medium,900 L @ 25 L/100km,900,25.0,0.00,0,10.03
medium,900 L @ 33 L/100km,900,33.0,0.15,15,9.95
medium,600 L @ 25 L/100km,600,25.0,0.39,39,9.81
medium,600 L @ 33 L/100km,600,33.0,0.95,95,9.41
