route,cust,tw,seed,diesel_oracle_h,ev_oracle_h,pen_oracle_%,pen_greedy_%,naive_pen_%,coupling_%
short,few,tight,1,22.795,23.770,4.28,22.52,9.61,77.5
short,few,tight,2,24.505,25.463,3.91,22.20,10.24,72.3
short,few,tight,3,21.960,22.765,3.67,21.76,9.12,49.5
short,few,tight,4,27.288,28.348,3.88,15.39,11.19,79.9
short,few,tight,5,24.259,25.530,5.24,20.34,10.75,72.2
short,few,tight,6,25.829,26.852,3.96,19.33,11.12,55.5
short,few,tight,7,24.349,25.594,5.12,23.34,10.00,78.4
short,few,tight,8,25.119,26.337,4.85,20.76,10.11,88.4
short,few,tight,9,22.991,23.889,3.91,19.87,9.12,100.0
short,few,tight,10,24.773,25.931,4.68,21.73,9.79,100.0
short,few,medium,1,24.785,25.966,4.77,23.82,9.72,74.5
short,few,medium,2,23.439,24.306,3.70,18.09,8.53,39.7
short,few,medium,3,24.087,25.082,4.13,20.38,9.42,100.0
short,few,medium,4,27.847,29.234,4.98,23.27,11.25,64.8
short,few,medium,5,27.622,28.945,4.79,21.52,11.73,77.1
short,few,medium,6,23.286,24.454,5.01,13.45,9.33,100.0
short,few,medium,7,25.603,26.704,4.30,22.16,11.51,63.1
short,few,medium,8,23.603,24.511,3.84,13.17,8.90,81.5
short,few,medium,9,24.502,25.372,3.55,17.54,9.99,100.0
short,few,medium,10,27.488,28.863,5.00,16.93,12.59,78.0
short,few,large,1,28.883,30.270,4.80,23.84,11.69,72.4
short,few,large,2,25.387,26.681,5.10,19.12,11.30,52.6
short,few,large,3,26.062,27.558,5.74,29.46,12.17,70.4
short,few,large,4,22.280,23.371,4.89,15.33,9.05,100.0
short,few,large,5,27.572,28.968,5.06,,12.56,71.4
short,few,large,6,27.301,28.483,4.33,24.47,11.46,77.1
short,few,large,7,26.234,27.654,5.41,20.69,11.17,68.3
short,few,large,8,26.998,28.259,4.67,17.17,11.55,64.1
short,few,large,9,26.076,27.187,4.26,19.12,10.85,58.6
short,few,large,10,24.655,25.837,4.80,22.63,10.10,100.0
short,few,none,1,27.377,28.893,5.54,23.71,13.31,74.2
short,few,none,2,24.904,25.933,4.13,23.99,10.62,100.0
short,few,none,3,23.125,23.886,3.29,13.24,8.12,74.3
short,few,none,4,22.190,23.214,4.62,24.41,10.44,50.1
short,few,none,5,23.594,24.529,3.97,19.69,10.10,100.0
short,few,none,6,28.691,30.060,4.77,20.84,11.55,79.0
short,few,none,7,24.074,25.544,6.11,22.74,9.98,73.7
short,few,none,8,23.221,24.275,4.54,20.02,8.97,67.0
short,few,none,9,27.842,29.198,4.87,24.44,11.98,85.2
short,few,none,10,27.820,29.339,5.46,23.63,11.99,81.9
short,many,tight,1,28.464,29.275,2.85,21.06,7.57,100.0
short,many,tight,2,31.764,33.052,4.05,19.55,9.75,84.7
short,many,tight,3,30.372,31.147,2.55,21.29,8.13,70.8
short,many,tight,4,32.403,33.223,2.53,20.83,10.91,49.1
short,many,tight,5,28.023,28.801,2.78,14.14,7.41,45.6
short,many,tight,6,32.818,33.881,3.24,17.33,8.81,100.0
short,many,tight,7,31.341,31.880,1.72,22.36,8.36,61.8
short,many,tight,8,32.478,33.500,3.15,20.59,9.75,85.4
short,many,tight,9,31.084,32.514,4.60,22.40,11.61,67.3
short,many,tight,10,27.319,28.218,3.29,18.67,8.40,79.4
short,many,medium,1,26.976,27.844,3.22,10.87,6.85,40.6
short,many,medium,2,34.389,35.566,3.42,48.57,10.50,67.5
short,many,medium,3,30.021,31.611,5.29,17.85,10.60,77.5
short,many,medium,4,32.205,33.482,3.97,18.21,9.38,82.2
short,many,medium,5,26.886,27.739,3.17,20.82,7.78,35.9
short,many,medium,6,31.025,32.399,4.43,20.52,10.10,100.0
short,many,medium,7,33.702,35.082,4.10,47.67,10.46,84.9
short,many,medium,8,29.039,30.185,3.95,19.21,9.58,100.0
short,many,medium,9,29.725,30.644,3.09,20.26,7.51,100.0
short,many,medium,10,28.370,29.391,3.60,22.39,7.67,44.7
short,many,large,1,29.794,30.882,3.65,13.43,7.69,32.8
short,many,large,2,31.907,33.196,4.04,16.08,8.99,66.6
short,many,large,3,28.892,29.861,3.35,20.64,8.02,32.8
short,many,large,4,27.641,28.487,3.06,13.66,7.30,53.7
short,many,large,5,26.516,27.576,4.00,20.72,9.00,100.0
short,many,large,6,29.850,31.312,4.90,22.00,9.56,100.0
short,many,large,7,28.827,29.619,2.75,14.92,6.51,49.1
short,many,large,8,28.139,28.931,2.82,22.83,7.47,35.7
short,many,large,9,25.282,26.177,3.54,10.92,8.13,100.0
short,many,large,10,27.849,28.886,3.72,19.62,9.80,100.0
