axis,tag,greedy_delta_%,n_greedy,oracle_delta_%,n_oracle,status
CS spacing 30 km,cs30,,0,,0,pending
CS spacing 90 km,cs90,,0,,0,pending
Charger power 150 kW,kw150,,0,,0,pending
Charger power 350 kW,kw350,,0,,0,pending
Charger power 1000 kW,kw1000,,0,,0,pending
Travel-time CV 0.10,cv0.1,,0,,0,pending
Travel-time CV 0.25,cv0.25,,0,,0,pending
TW penalty beta 5 h,beta5,,0,,0,pending
Battery 400 kWh,bat400,,0,,0,pending (needs code)
Battery 750 kWh,bat750,,0,,0,pending (needs code)
No split break,nosplit,,0,,0,pending (needs code)
