route_class,customers_class,window_class,method,n_feasible,n_gap_samples,n_infeasible_excluded,n_unsolved_excluded,gap_mean_%,gap_std_%,gap_median_%,gap_q1_%,gap_q3_%,gap_min_%,gap_max_%
long,few,large,LA,9,9,0,0,9.237,4.152,8.627,6.650,8.730,6.078,19.499
long,few,large,RO,9,9,0,0,36.973,4.934,36.881,32.713,39.370,31.351,47.053
long,few,large,greedy,48,48,2,0,12.318,3.319,11.595,10.271,12.499,8.558,23.055
long,few,medium,LA,8,8,0,0,8.878,4.521,7.666,7.226,8.203,5.309,19.784
long,few,medium,RO,9,9,0,0,35.910,6.628,32.659,32.140,36.992,27.597,47.702
long,few,medium,greedy,50,50,0,0,14.213,4.468,12.476,11.810,13.728,10.012,25.697
long,few,none,LA,8,8,0,0,10.990,5.388,7.736,7.052,16.298,6.323,18.806
long,few,none,RO,9,9,0,0,33.799,5.222,35.284,30.438,35.620,26.365,44.563
long,few,none,greedy,49,49,1,0,11.678,3.735,10.452,9.699,11.496,8.738,23.611
long,few,tight,LA,9,9,0,0,9.861,5.856,8.199,6.315,8.852,4.098,20.648
long,few,tight,RO,9,9,0,0,37.798,5.724,38.683,32.422,39.603,31.212,46.269
long,few,tight,greedy,44,44,6,0,14.436,4.785,12.221,11.349,14.799,9.830,25.474
long,many,large,LA,8,8,0,0,12.765,6.440,10.168,8.149,15.385,6.858,23.587
long,many,large,RO,9,9,0,0,34.128,5.230,32.122,31.625,34.994,26.915,42.642
long,many,large,greedy,50,50,0,0,13.363,3.449,12.850,10.764,15.274,8.364,21.041
long,many,medium,LA,7,7,0,0,11.843,6.582,10.826,6.736,15.837,5.391,21.536
long,many,medium,RO,9,9,0,0,34.636,4.948,34.864,31.116,38.601,26.249,41.594
long,many,medium,greedy,48,48,2,0,13.997,5.887,12.428,9.711,18.020,3.044,28.283
long,many,none,LA,7,0,1,0,,,,,,,
long,many,none,RO,9,1,0,0,34.165,0.000,34.165,34.165,34.165,34.165,34.165
long,many,none,greedy,50,14,0,0,12.893,5.192,10.288,9.478,18.154,8.682,20.971
long,many,tight,LA,8,0,0,0,,,,,,,
long,many,tight,RO,9,0,0,0,,,,,,,
long,many,tight,greedy,48,0,2,0,,,,,,,
long,medium,large,LA,8,8,0,0,10.447,5.021,7.801,7.344,12.923,6.086,19.062
long,medium,large,RO,9,9,0,0,38.576,6.615,38.535,33.920,40.498,29.302,48.924
long,medium,large,greedy,49,49,1,0,13.964,4.246,12.510,11.324,14.515,7.055,23.435
long,medium,medium,LA,7,7,0,0,11.471,3.696,10.117,9.054,12.448,8.369,18.807
long,medium,medium,RO,8,8,0,0,35.697,1.923,34.756,34.231,37.543,33.820,38.702
long,medium,medium,greedy,49,49,1,0,15.322,2.890,14.558,13.726,15.763,11.914,24.661
long,medium,none,LA,6,6,0,0,8.527,3.740,7.111,6.555,8.076,6.173,16.001
long,medium,none,greedy,49,49,1,0,11.917,3.895,10.766,10.062,11.294,8.542,23.712
long,medium,tight,LA,6,6,1,0,11.615,1.308,11.296,10.723,12.535,10.158,13.457
long,medium,tight,greedy,48,48,2,0,16.689,4.376,15.657,13.728,17.629,7.211,28.620
medium,few,large,2SP,42,42,8,0,8.020,7.364,5.105,3.731,7.234,2.519,32.045
medium,few,large,LA,49,49,1,0,9.480,5.517,8.153,6.928,9.489,3.674,33.334
medium,few,large,RO,50,50,0,0,34.163,9.481,37.215,24.073,42.974,21.453,54.583
medium,few,large,ROBU,1,0,0,9,,,,,,,
medium,few,large,greedy,48,38,2,0,13.755,4.045,12.779,11.431,14.412,8.758,28.001
medium,few,medium,2SP,46,46,4,0,8.538,8.258,5.172,3.918,6.599,2.026,31.445
medium,few,medium,LA,48,48,1,0,10.574,6.876,8.636,7.101,10.504,3.602,37.635
medium,few,medium,RO,50,50,0,0,36.126,9.859,37.716,25.698,42.608,21.615,58.886
medium,few,medium,ROBU,0,0,0,9,,,,,,,
medium,few,medium,greedy,50,40,0,0,16.525,7.274,14.474,13.311,16.064,10.452,45.299
medium,few,none,2SP,42,42,8,0,12.482,10.329,4.865,3.811,21.512,2.658,30.498
medium,few,none,LA,47,47,3,0,10.571,8.765,7.020,5.709,9.377,4.390,34.789
medium,few,none,RO,50,50,0,0,36.990,9.506,38.396,33.960,40.449,19.434,55.723
medium,few,none,ROBU,0,0,0,9,,,,,,,
medium,few,none,greedy,47,38,3,0,16.452,9.281,12.058,11.097,14.569,9.117,41.381
medium,few,tight,2SP,44,44,6,0,10.866,9.475,6.820,4.679,13.434,1.422,40.420
medium,few,tight,LA,49,48,1,0,10.077,4.958,8.965,7.851,11.444,3.741,31.033
medium,few,tight,RO,50,50,0,0,33.715,9.210,35.947,24.987,40.349,19.517,56.874
medium,few,tight,ROBU,0,0,0,9,,,,,,,
medium,few,tight,greedy,48,40,2,0,18.202,7.842,15.546,13.842,17.628,11.608,43.581
medium,many,large,2SP,41,41,8,0,14.628,14.973,5.571,3.649,24.346,2.508,64.595
medium,many,large,LA,48,48,2,0,13.878,5.873,13.225,9.576,16.824,5.926,28.350
medium,many,large,RO,50,50,0,0,39.737,10.532,36.060,31.072,48.208,24.797,62.087
medium,many,large,greedy,49,39,1,0,19.909,6.973,18.549,15.158,21.584,10.015,37.046
medium,many,medium,2SP,38,37,11,0,17.691,15.275,12.690,4.202,27.175,1.908,57.088
medium,many,medium,LA,47,47,1,0,19.078,8.830,17.374,13.579,22.972,4.305,50.166
medium,many,medium,RO,50,50,0,0,40.363,10.076,37.923,31.913,49.651,25.353,60.347
medium,many,medium,greedy,50,40,0,0,28.191,7.935,26.314,22.534,30.874,17.054,47.665
medium,many,none,2SP,43,42,7,0,10.304,7.997,5.583,3.880,19.178,1.095,23.184
medium,many,none,LA,47,47,1,0,9.024,6.392,6.565,5.668,8.001,3.896,25.335
medium,many,none,RO,50,50,0,0,27.153,7.779,31.047,19.410,34.969,17.522,37.936
medium,many,none,greedy,49,40,1,0,14.524,7.045,11.580,10.120,13.907,8.336,31.019
medium,many,tight,2SP,40,40,7,0,26.103,13.510,24.549,15.107,35.480,4.398,57.706
medium,many,tight,LA,47,47,0,0,25.242,7.644,25.461,19.781,29.323,8.108,45.245
medium,many,tight,RO,50,50,0,0,43.941,8.358,45.018,36.968,49.788,25.378,63.245
medium,many,tight,greedy,50,40,0,0,32.378,7.132,31.285,27.456,35.673,20.716,51.437
medium,medium,large,2SP,41,41,9,0,10.842,10.978,5.089,3.714,18.914,2.706,41.589
medium,medium,large,LA,50,50,0,0,9.907,5.347,8.988,7.724,10.674,-11.629,22.467
medium,medium,large,RO,50,50,0,0,36.807,9.776,38.797,27.705,46.448,22.074,51.262
medium,medium,large,greedy,50,50,0,0,16.549,5.728,15.056,13.299,16.560,8.446,33.977
medium,medium,medium,2SP,40,40,10,0,11.854,9.755,8.241,5.161,14.356,1.806,42.669
medium,medium,medium,LA,50,50,0,0,13.617,6.165,13.063,9.394,14.906,4.164,31.558
medium,medium,medium,RO,50,50,0,0,38.779,9.132,41.133,30.263,47.567,21.627,51.213
medium,medium,medium,greedy,49,49,1,0,19.434,5.352,18.117,16.417,20.151,12.569,36.045
medium,medium,none,2SP,44,44,6,0,10.245,9.855,4.849,3.623,19.243,2.258,41.950
medium,medium,none,LA,49,49,1,0,8.052,4.634,6.714,6.188,7.882,3.545,24.074
medium,medium,none,RO,50,50,0,0,30.055,7.692,33.134,21.386,37.483,19.003,39.987
medium,medium,none,greedy,50,50,0,0,12.782,4.678,11.606,10.358,12.870,9.230,28.709
medium,medium,tight,2SP,13,13,2,0,12.203,8.250,8.819,6.441,13.931,5.041,27.603
medium,medium,tight,LA,46,46,1,0,14.898,5.776,13.896,11.556,17.063,4.156,31.322
medium,medium,tight,RO,50,50,0,0,36.440,8.025,36.540,29.493,44.163,22.693,49.977
medium,medium,tight,greedy,49,49,1,0,21.999,5.886,20.173,18.728,23.536,13.853,37.304
short,few,large,2SP,46,46,4,0,4.056,1.642,3.928,2.949,5.038,1.264,8.776
short,few,large,LA,50,50,0,0,8.990,3.855,8.111,6.174,11.395,2.849,19.398
short,few,large,RO,50,50,0,0,22.227,16.295,14.377,6.237,38.227,2.105,46.790
short,few,large,ROBU,46,46,3,1,14.301,14.646,5.662,3.992,33.614,1.529,39.846
short,few,large,greedy,50,40,0,0,16.343,4.032,16.451,13.816,19.420,8.352,25.583
short,few,medium,2SP,45,45,5,0,4.051,1.431,3.603,3.253,5.145,1.572,8.066
short,few,medium,LA,50,50,0,0,10.223,3.985,9.778,7.318,12.767,4.229,20.924
short,few,medium,RO,50,50,0,0,23.755,16.951,23.821,8.140,39.732,1.676,46.454
short,few,medium,ROBU,48,48,2,0,16.143,14.791,8.058,4.315,34.059,2.054,45.358
short,few,medium,greedy,49,39,1,0,17.295,4.550,17.794,14.481,21.033,6.846,24.437
short,few,none,2SP,48,48,2,0,3.717,1.352,3.786,2.673,4.571,1.329,6.387
short,few,none,LA,48,48,2,0,6.790,2.273,7.214,4.612,8.831,3.589,10.867
short,few,none,RO,50,50,0,0,21.476,15.219,33.203,4.471,34.754,2.858,39.412
short,few,none,ROBU,48,48,2,0,14.139,14.389,4.229,3.358,33.098,1.307,35.099
short,few,none,greedy,50,40,0,0,12.533,3.106,12.833,10.465,14.662,7.136,17.692
short,few,tight,2SP,44,44,6,0,4.285,2.703,3.319,2.290,6.025,1.363,11.940
short,few,tight,LA,50,50,0,0,10.308,3.822,9.614,7.107,12.553,4.499,21.034
short,few,tight,RO,50,50,0,0,27.215,16.194,37.097,9.192,41.846,3.831,47.639
short,few,tight,ROBU,50,50,0,0,15.840,14.099,8.565,7.195,14.571,1.960,44.355
short,few,tight,greedy,49,39,1,0,19.091,4.638,18.532,16.109,22.709,8.694,27.522
short,many,large,2SP,46,46,4,0,3.901,6.621,2.825,2.062,3.605,0.605,46.851
short,many,large,LA,50,50,0,0,11.794,7.142,10.179,7.318,14.364,2.277,46.125
short,many,large,RO,50,50,0,0,38.984,15.645,42.411,36.195,50.023,3.298,61.420
short,many,large,ROBU,46,46,4,0,24.207,15.090,32.348,6.945,36.307,2.939,44.857
short,many,large,greedy,50,40,0,0,19.048,9.210,16.553,14.502,19.603,8.639,53.142
short,many,medium,2SP,45,45,5,0,5.230,7.353,3.143,2.141,4.754,1.053,43.520
