
Gurobi 9.5.2 (linux64) logging started Fri Aug  7 11:16:50 2026

Set parameter LogFile to value "/mnt/beegfs/users/celinep/ChargeAndBreak/logs/RlongCmediumTtight_41_2SP_20260805_125729_185_gurobi.log"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads
Optimize a model with 179495 rows, 87529 columns and 599424 nonzeros
Model fingerprint: 0xd0fc07dd
Variable types: 74501 continuous, 13028 integer (13028 binary)
Coefficient statistics:
  Matrix range     [3e-02, 2e+03]
  Objective range  [4e-02, 4e-02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [7e-02, 5e+02]
Presolve removed 58044 rows and 19920 columns
Presolve time: 2.55s
Presolved: 121451 rows, 67609 columns, 523559 nonzeros
Variable types: 57987 continuous, 9622 integer (9622 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolve removed 2756 rows and 2756 columns
Root relaxation presolved: 118695 rows, 64853 columns, 518047 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   43237    5.6431758e+01   5.151303e+02   3.573771e+09      5s
   56614    1.3401238e+02   0.000000e+00   6.505267e+02     10s
   61265    1.1991945e+02   0.000000e+00   1.283512e+03     15s
   66090    1.1413352e+02   0.000000e+00   1.717618e+03     20s
   71108    1.0944016e+02   0.000000e+00   1.721983e+03     25s
   74196    1.0744255e+02   0.000000e+00   7.699192e+02     30s
   75966    1.0494898e+02   0.000000e+00   5.089424e+04     35s
   78001    1.0320551e+02   0.000000e+00   2.908669e+03     40s
   79711    1.0204858e+02   0.000000e+00   8.029366e+03     45s
   81231    1.0142634e+02   0.000000e+00   1.583377e+04     50s
   82591    1.0074300e+02   0.000000e+00   9.845938e+05     56s
   83951    9.9885446e+01   0.000000e+00   2.512391e+04     60s
   85447    9.9034026e+01   0.000000e+00   6.346427e+03     65s
   86770    9.8306328e+01   0.000000e+00   1.417566e+04     70s
   88256    9.7788332e+01   0.000000e+00   1.257648e+06     75s
   90252    9.7264978e+01   0.000000e+00   1.341344e+03     81s
   91312    9.6981207e+01   0.000000e+00   1.197938e+04     85s
   92695    9.6615489e+01   0.000000e+00   3.322858e+03     90s
   94068    9.6411737e+01   0.000000e+00   3.323333e+03     96s
   95481    9.6100715e+01   0.000000e+00   6.150592e+02    100s
   96771    9.5951678e+01   0.000000e+00   6.993031e+04    105s
   98447    9.5801794e+01   0.000000e+00   1.130096e+04    110s
   99583    9.5620672e+01   0.000000e+00   2.023270e+04    115s
  100993    9.5498767e+01   0.000000e+00   1.399739e+03    120s
  102373    9.5376893e+01   0.000000e+00   1.036457e+03    125s
