=================================================================
  ROBU SOLVE START   (2026-07-22 13:49:25)
  Instance : RmediumCfewTlarge_10 — medium route, few customers, large windows, seed=10   run_id=RmediumCfewTlarge_10_ROBU_20260722_134924_001
  Route    : 114 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=26 of 114 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=77.956h  status=optimal  (342.2s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-12], cd[13-24]]  (5.9s)
  [it 2] master: |scen|=4  theta=85.956h  status=optimal  (1360.5s)
  [it 2] adversary: 3 feasibility cut(s) [cd[17-26], cd[36-45], cd[46-51]]  (8.6s)
  [it 3] master: |scen|=7  theta=86.095h  status=optimal  (3957.3s)
  [it 3] adversary: 3 feasibility cut(s) [cd[26-36], cd[52-62], cd[63-74]]  (3.9s)
  [it 4] master: |scen|=10  theta=98.146h  status=maxTimeLimit  (7205.4s)
  [it 4] adversary: 3 feasibility cut(s) [cd[9-19], cd[103-113], shift[0-26]]  (7.9s)
  [it 5] master: |scen|=13  theta=109.989h  status=maxTimeLimit  (7205.7s)
  [it 5] adversary: 3 feasibility cut(s) [cd[44-56], shift[35-60], shift[61-84]]  (11.8s)
  [it 6] master: |scen|=16  theta=111.199h  status=maxTimeLimit  (7205.8s)
  [it 6] adversary: 3 feasibility cut(s) [cd[25-35], cd[88-99], shift[21-44]]  (7.4s)
  [it 7] master: |scen|=19  theta=110.196h  status=maxTimeLimit  (7206.5s)
  [it 7] adversary: 3 feasibility cut(s) [cd[57-68], cd[94-104], shift[85-113]]  (9.7s)
  [it 8] master: |scen|=22  theta=121.642h  status=maxTimeLimit  (7208.2s)
  [it 8] adversary: 3 feasibility cut(s) [soc[0-4], soc[5-16], soc[17-24]]  (21.3s)
  [it 9] master solve aborted with no incumbent (ValueError) after 7210.2s.
      Falling back to the iteration-8 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 121.642 h   Gamma=26  scenarios=25  cuts: 24 feas / 0 opt   solve 48978.3s
  plan: 12 chg / 12 brk / 6 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop   0  t=8.000h soc=500kWh  cd=0.00 sd=0.00 h=0.00  -> y=0 brk=--- rst=---
  stop   1  t=8.234h soc=477kWh  cd=0.23 sd=0.23 h=0.23  -> y=0 brk=--- rst=---
  stop   2  t=8.462h soc=454kWh  cd=0.46 sd=0.46 h=0.46  -> y=0 brk=--- rst=---
  stop   3  t=8.699h soc=432kWh  cd=0.70 sd=0.70 h=0.70  -> y=0 brk=--- rst=---
  stop   4  t=8.962h soc=406kWh  cd=0.96 sd=0.96 h=0.96  -> y=0 brk=--- rst=---
  stop   5  t=9.217h soc=380kWh  cd=1.22 sd=1.22 h=1.22  -> y=1 brk=b15 rst=---
  stop   6  t=9.934h soc=393kWh  cd=1.45 sd=1.45 h=1.93  -> y=0 brk=--- rst=---
  stop   7  t=10.161h soc=370kWh  cd=1.68 sd=1.68 h=2.16  -> y=0 brk=--- rst=---
  stop   8  t=10.380h soc=348kWh  cd=1.89 sd=1.89 h=2.38  -> y=0 brk=--- rst=---
  stop   9  t=10.770h soc=327kWh  cd=2.28 sd=2.28 h=2.77  -> y=0 brk=b30 rst=---
  stop  10  t=11.716h soc=299kWh  cd=0.28 sd=2.56 h=3.72  -> y=0 brk=--- rst=---
  stop  11  t=12.001h soc=271kWh  cd=0.56 sd=2.85 h=4.00  -> y=0 brk=--- rst=---
  stop  12  t=12.283h soc=243kWh  cd=0.85 sd=3.13 h=4.28  -> y=0 brk=--- rst=---
  stop  13  t=12.735h soc=199kWh  cd=1.30 sd=3.58 h=4.73  -> y=0 brk=--- rst=---
  stop  14  t=12.978h soc=175kWh  cd=1.54 sd=3.83 h=4.98  -> y=0 brk=--- rst=---
  stop  15  t=13.251h soc=153kWh  cd=1.81 sd=4.10 h=5.25  -> y=0 brk=--- rst=---
  stop  16  t=13.492h soc=129kWh  cd=2.05 sd=4.34 h=5.49  -> y=0 brk=--- rst=---
  stop  17  t=13.732h soc=105kWh  cd=2.29 sd=4.58 h=5.73  -> y=1 brk=b45 rst=---
  stop  18  t=14.942h soc=298kWh  cd=0.23 sd=4.81 h=6.94  -> y=0 brk=--- rst=---
  stop  19  t=15.180h soc=276kWh  cd=0.47 sd=5.05 h=7.18  -> y=0 brk=--- rst=---
  stop  20  t=15.410h soc=253kWh  cd=0.70 sd=5.28 h=7.41  -> y=0 brk=--- rst=r2
  stop  21  t=24.969h soc=222kWh  cd=0.39 sd=0.39 h=0.39  -> y=0 brk=--- rst=---
  stop  22  t=25.324h soc=199kWh  cd=0.75 sd=0.75 h=0.75  -> y=0 brk=--- rst=---
  stop  23  t=25.581h soc=173kWh  cd=1.00 sd=1.00 h=1.00  -> y=0 brk=--- rst=---
  stop  24  t=25.840h soc=147kWh  cd=1.26 sd=1.26 h=1.26  -> y=0 brk=--- rst=---
  stop  25  t=26.125h soc=123kWh  cd=1.55 sd=1.55 h=1.55  -> y=1 brk=--- rst=r1
  stop  26  t=38.761h soc=324kWh  cd=0.44 sd=0.44 h=0.44  -> y=0 brk=--- rst=---
  stop  27  t=39.038h soc=298kWh  cd=0.72 sd=0.72 h=0.72  -> y=0 brk=--- rst=---
  stop  28  t=39.323h soc=273kWh  cd=1.00 sd=1.00 h=1.00  -> y=0 brk=--- rst=---
  stop  29  t=39.624h soc=248kWh  cd=1.31 sd=1.31 h=1.31  -> y=0 brk=--- rst=---
  stop  30  t=39.847h soc=228kWh  cd=1.53 sd=1.53 h=1.53  -> y=0 brk=--- rst=---
  stop  31  t=40.055h soc=207kWh  cd=1.74 sd=1.74 h=1.74  -> y=0 brk=--- rst=---
  stop  32  t=40.301h soc=188kWh  cd=1.98 sd=1.98 h=1.98  -> y=0 brk=--- rst=---
  stop  33  t=41.096h soc=161kWh  cd=2.28 sd=2.28 h=2.78  -> y=0 brk=--- rst=---
  stop  34  t=41.401h soc=137kWh  cd=2.58 sd=2.58 h=3.08  -> y=0 brk=--- rst=---
  stop  35  t=41.685h soc=113kWh  cd=2.87 sd=2.87 h=3.37  -> y=0 brk=b45 rst=---
  stop  36  t=43.128h soc=100kWh  cd=0.19 sd=3.06 h=4.81  -> y=1 brk=b45 rst=---
  stop  37  t=44.845h soc=317kWh  cd=0.53 sd=3.59 h=6.53  -> y=0 brk=--- rst=---
  stop  38  t=45.072h soc=296kWh  cd=0.75 sd=3.81 h=6.75  -> y=0 brk=--- rst=---
  stop  39  t=45.296h soc=274kWh  cd=0.98 sd=4.04 h=6.98  -> y=0 brk=--- rst=---
  stop  40  t=45.523h soc=253kWh  cd=1.20 sd=4.26 h=7.21  -> y=0 brk=--- rst=---
  stop  41  t=45.792h soc=226kWh  cd=1.47 sd=4.53 h=7.47  -> y=0 brk=--- rst=---
  stop  42  t=46.063h soc=199kWh  cd=1.74 sd=4.80 h=7.74  -> y=0 brk=--- rst=r2
  stop  43  t=55.538h soc=174kWh  cd=0.31 sd=0.31 h=0.31  -> y=0 brk=--- rst=---
  stop  44  t=55.832h soc=149kWh  cd=0.60 sd=0.60 h=0.60  -> y=0 brk=--- rst=---
  stop  45  t=56.096h soc=123kWh  cd=0.87 sd=0.87 h=0.87  -> y=0 brk=--- rst=---
  stop  46  t=56.378h soc=100kWh  cd=1.15 sd=1.15 h=1.15  -> y=1 brk=b15 rst=---
  stop  47  t=57.279h soc=214kWh  cd=1.41 sd=1.41 h=2.05  -> y=0 brk=--- rst=---
  stop  48  t=57.529h soc=188kWh  cd=1.66 sd=1.66 h=2.30  -> y=0 brk=--- rst=---
  stop  49  t=57.763h soc=165kWh  cd=1.90 sd=1.90 h=2.53  -> y=0 brk=--- rst=---
  stop  50  t=57.998h soc=141kWh  cd=2.13 sd=2.13 h=2.77  -> y=0 brk=--- rst=---
  stop  51  t=58.273h soc=119kWh  cd=2.41 sd=2.41 h=3.04  -> y=0 brk=--- rst=---
  stop  52  t=58.551h soc=100kWh  cd=2.68 sd=2.68 h=3.32  -> y=1 brk=b30 rst=---
  stop  53  t=59.632h soc=245kWh  cd=0.28 sd=2.97 h=4.40  -> y=0 brk=--- rst=---
  stop  54  t=59.910h soc=219kWh  cd=0.56 sd=3.24 h=4.68  -> y=0 brk=--- rst=---
  stop  55  t=60.187h soc=199kWh  cd=0.84 sd=3.52 h=4.96  -> y=0 brk=--- rst=---
  stop  56  t=60.412h soc=179kWh  cd=1.06 sd=3.75 h=5.18  -> y=0 brk=--- rst=---
  stop  57  t=60.647h soc=159kWh  cd=1.30 sd=3.98 h=5.42  -> y=0 brk=--- rst=---
  stop  58  t=60.898h soc=140kWh  cd=1.55 sd=4.23 h=5.67  -> y=0 brk=--- rst=---
  stop  59  t=61.127h soc=121kWh  cd=1.78 sd=4.46 h=5.90  -> y=0 brk=--- rst=---
