=================================================================
  ROBU SOLVE START   (2026-07-22 13:49:25)
  Instance : RmediumCfewTlarge_16 — medium route, few customers, large windows, seed=16   run_id=RmediumCfewTlarge_16_ROBU_20260722_134924_007
  Route    : 117 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=27 of 117 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=79.293h  status=optimal  (932.1s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-14], cd[15-28]]  (1.3s)
  [it 2] master: |scen|=4  theta=97.623h  status=maxTimeLimit  (7202.0s)
  [it 2] adversary: 3 feasibility cut(s) [cd[8-19], cd[52-65], cd[66-74]]  (6.0s)
  [it 3] master: |scen|=7  theta=97.803h  status=maxTimeLimit  (7204.0s)
  [it 3] adversary: 3 feasibility cut(s) [cd[36-44], cd[45-56], cd[66-68]]  (6.8s)
  [it 4] master: |scen|=10  theta=97.890h  status=maxTimeLimit  (7204.5s)
  [it 4] adversary: 3 feasibility cut(s) [cd[26-35], cd[60-70], cd[78-89]]  (6.7s)
  [it 5] master: |scen|=13  theta=98.223h  status=maxTimeLimit  (7205.1s)
  [it 5] adversary: 3 feasibility cut(s) [cd[35-44], cd[72-83], shift[0-24]]  (6.1s)
  [it 6] master: |scen|=16  theta=121.282h  status=maxTimeLimit  (7204.6s)
  [it 6] adversary: 3 feasibility cut(s) [shift[9-30], shift[47-74], shift[91-116]]  (10.9s)
  [it 7] master: |scen|=19  theta=125.264h  status=maxTimeLimit  (7206.9s)
  [it 7] adversary: 3 feasibility cut(s) [cd[38-48], shift[72-99], tw[61]]  (17.4s)
  [it 8] master solve aborted with no incumbent (ValueError) after 7208.4s.
      Falling back to the iteration-7 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 125.264 h   Gamma=27  scenarios=22  cuts: 21 feas / 0 opt   solve 51422.9s
  plan: 12 chg / 14 brk / 6 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop   0  t=8.000h soc=500kWh  cd=0.00 sd=0.00 h=0.00  -> y=0 brk=--- rst=---
  stop   1  t=8.230h soc=477kWh  cd=0.23 sd=0.23 h=0.23  -> y=0 brk=--- rst=---
  stop   2  t=8.516h soc=456kWh  cd=0.52 sd=0.52 h=0.52  -> y=0 brk=--- rst=---
  stop   3  t=8.771h soc=434kWh  cd=0.77 sd=0.77 h=0.77  -> y=0 brk=--- rst=---
  stop   4  t=9.052h soc=405kWh  cd=1.05 sd=1.05 h=1.05  -> y=0 brk=--- rst=---
  stop   5  t=9.398h soc=379kWh  cd=1.40 sd=1.40 h=1.40  -> y=1 brk=b45 rst=---
  stop   6  t=10.610h soc=437kWh  cd=0.21 sd=1.61 h=2.61  -> y=0 brk=--- rst=---
  stop   7  t=10.897h soc=417kWh  cd=0.50 sd=1.90 h=2.90  -> y=0 brk=--- rst=---
  stop   8  t=11.162h soc=398kWh  cd=0.76 sd=2.16 h=3.16  -> y=0 brk=--- rst=---
  stop   9  t=11.404h soc=375kWh  cd=1.01 sd=2.40 h=3.40  -> y=0 brk=--- rst=---
  stop  10  t=11.642h soc=351kWh  cd=1.24 sd=2.64 h=3.64  -> y=0 brk=--- rst=---
  stop  11  t=11.913h soc=329kWh  cd=1.51 sd=2.91 h=3.91  -> y=0 brk=--- rst=---
  stop  12  t=12.154h soc=306kWh  cd=1.76 sd=3.15 h=4.15  -> y=0 brk=--- rst=---
  stop  13  t=12.437h soc=280kWh  cd=2.04 sd=3.44 h=4.44  -> y=0 brk=--- rst=---
  stop  14  t=12.705h soc=253kWh  cd=2.31 sd=3.70 h=4.70  -> y=0 brk=--- rst=---
  stop  15  t=12.992h soc=227kWh  cd=2.59 sd=3.99 h=4.99  -> y=1 brk=b45 rst=---
  stop  16  t=14.288h soc=383kWh  cd=0.24 sd=4.23 h=6.29  -> y=0 brk=--- rst=---
  stop  17  t=14.529h soc=361kWh  cd=0.48 sd=4.47 h=6.53  -> y=0 brk=--- rst=r2
  stop  18  t=24.032h soc=341kWh  cd=0.34 sd=0.34 h=0.34  -> y=0 brk=--- rst=---
  stop  19  t=24.279h soc=315kWh  cd=0.58 sd=0.58 h=0.58  -> y=0 brk=--- rst=---
  stop  20  t=24.534h soc=290kWh  cd=0.84 sd=0.84 h=0.84  -> y=0 brk=--- rst=---
  stop  21  t=24.753h soc=270kWh  cd=1.06 sd=1.06 h=1.06  -> y=0 brk=--- rst=---
  stop  22  t=24.962h soc=248kWh  cd=1.27 sd=1.27 h=1.27  -> y=0 brk=--- rst=---
  stop  23  t=25.176h soc=227kWh  cd=1.48 sd=1.48 h=1.48  -> y=0 brk=--- rst=---
  stop  24  t=25.394h soc=206kWh  cd=1.70 sd=1.70 h=1.70  -> y=0 brk=--- rst=---
  stop  25  t=25.604h soc=184kWh  cd=1.91 sd=1.91 h=1.91  -> y=0 brk=--- rst=---
  stop  26  t=25.819h soc=163kWh  cd=2.12 sd=2.12 h=2.12  -> y=0 brk=--- rst=---
  stop  27  t=26.092h soc=140kWh  cd=2.40 sd=2.40 h=2.40  -> y=0 brk=b45 rst=---
  stop  28  t=27.260h soc=117kWh  cd=0.25 sd=2.65 h=3.56  -> y=0 brk=--- rst=---
  stop  29  t=27.528h soc=100kWh  cd=0.52 sd=2.92 h=3.83  -> y=1 brk=b45 rst=---
  stop  30  t=28.878h soc=290kWh  cd=0.32 sd=3.23 h=5.18  -> y=0 brk=--- rst=---
  stop  31  t=29.186h soc=262kWh  cd=0.63 sd=3.54 h=5.49  -> y=0 brk=--- rst=---
  stop  32  t=29.464h soc=234kWh  cd=0.90 sd=3.82 h=5.77  -> y=0 brk=--- rst=---
  stop  33  t=29.701h soc=210kWh  cd=1.14 sd=4.06 h=6.01  -> y=0 brk=--- rst=---
  stop  34  t=29.959h soc=187kWh  cd=1.40 sd=4.32 h=6.26  -> y=0 brk=--- rst=---
  stop  35  t=30.201h soc=164kWh  cd=1.64 sd=4.56 h=6.51  -> y=0 brk=--- rst=---
  stop  36  t=30.548h soc=127kWh  cd=1.99 sd=4.91 h=6.85  -> y=1 brk=--- rst=---
