=================================================================
  ROBU SOLVE START   (2026-07-23 19:25:00)
  Instance : RmediumCfewTlarge_31 — medium route, few customers, large windows, seed=31   run_id=RmediumCfewTlarge_31_ROBU_20260722_134924_024
  Route    : 112 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=26 of 112 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=76.134h  status=optimal  (578.4s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-15], cd[16-30]]  (5.6s)
  [it 2] master: |scen|=4  theta=84.129h  status=optimal  (1257.1s)
  [it 2] adversary: 3 feasibility cut(s) [cd[26-36], cd[37-46], cd[47-51]]  (5.7s)
  [it 3] master: |scen|=7  theta=84.253h  status=optimal  (5240.2s)
  [it 3] adversary: 3 feasibility cut(s) [cd[46-51], cd[52-64], cd[65-82]]  (3.5s)
  [it 4] master: |scen|=10  theta=96.000h  status=maxTimeLimit  (7204.0s)
  [it 4] adversary: 3 feasibility cut(s) [cd[81-91], cd[92-105], shift[0-26]]  (9.0s)
  [it 5] master: |scen|=13  theta=96.755h  status=maxTimeLimit  (7207.1s)
  [it 5] adversary: 3 feasibility cut(s) [cd[31-40], cd[85-95], cd[102-111]]  (10.8s)
  [it 6] master: |scen|=16  theta=100.280h  status=maxTimeLimit  (7204.9s)
  [it 6] adversary: 3 feasibility cut(s) [cd[47-57], cd[63-74], shift[20-44]]  (15.6s)
  [it 7] master: |scen|=19  theta=119.698h  status=maxTimeLimit  (7210.0s)
  [it 7] adversary: 3 feasibility cut(s) [cd[41-51], shift[41-60], shift[82-109]]  (15.5s)
  [it 8] master: |scen|=22  theta=120.264h  status=maxTimeLimit  (7212.7s)
  [it 8] adversary: 3 feasibility cut(s) [shift[11-32], shift[51-77], soc[0-12]]  (24.0s)
  [it 9] master solve aborted with no incumbent (ValueError) after 7209.8s.
      Falling back to the iteration-8 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 120.264 h   Gamma=26  scenarios=25  cuts: 24 feas / 0 opt   solve 50413.9s
  plan: 12 chg / 14 brk / 6 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop   0  t=8.000h soc=500kWh  cd=0.00 sd=0.00 h=0.00  -> y=0 brk=--- rst=---
  stop   1  t=8.269h soc=479kWh  cd=0.27 sd=0.27 h=0.27  -> y=0 brk=--- rst=---
  stop   2  t=8.501h soc=456kWh  cd=0.50 sd=0.50 h=0.50  -> y=0 brk=--- rst=---
  stop   3  t=8.752h soc=434kWh  cd=0.75 sd=0.75 h=0.75  -> y=0 brk=b45 rst=---
  stop   4  t=9.887h soc=413kWh  cd=0.22 sd=0.97 h=1.89  -> y=0 brk=--- rst=---
  stop   5  t=10.100h soc=391kWh  cd=0.43 sd=1.18 h=2.10  -> y=0 brk=--- rst=---
  stop   6  t=10.337h soc=371kWh  cd=0.67 sd=1.42 h=2.34  -> y=0 brk=--- rst=---
  stop   7  t=10.617h soc=344kWh  cd=0.95 sd=1.70 h=2.62  -> y=0 brk=--- rst=---
  stop   8  t=10.881h soc=317kWh  cd=1.21 sd=1.96 h=2.88  -> y=0 brk=--- rst=---
  stop   9  t=11.185h soc=294kWh  cd=1.52 sd=2.27 h=3.18  -> y=0 brk=--- rst=---
  stop  10  t=11.452h soc=270kWh  cd=1.78 sd=2.54 h=3.45  -> y=0 brk=--- rst=---
  stop  11  t=11.740h soc=246kWh  cd=2.07 sd=2.82 h=3.74  -> y=0 brk=--- rst=r1
  stop  12  t=23.167h soc=222kWh  cd=0.26 sd=0.26 h=0.26  -> y=0 brk=--- rst=---
  stop  13  t=23.661h soc=189kWh  cd=0.75 sd=0.75 h=0.75  -> y=1 brk=b15 rst=---
  stop  14  t=24.499h soc=228kWh  cd=1.07 sd=1.07 h=1.59  -> y=0 brk=--- rst=---
