=================================================================
  ROBU SOLVE START   (2026-07-23 17:34:38)
  Instance : RmediumCfewTlarge_3 — medium route, few customers, large windows, seed=3   run_id=RmediumCfewTlarge_3_ROBU_20260722_134924_022
  Route    : 124 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=27 of 124 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=79.091h  status=optimal  (310.0s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-15], cd[16-27]]  (1.1s)
  [it 2] master: |scen|=4  theta=86.142h  status=optimal  (1157.9s)
  [it 2] adversary: 3 feasibility cut(s) [cd[28-40], cd[41-53], cd[54-62]]  (5.0s)
  [it 3] master: |scen|=7  theta=97.304h  status=maxTimeLimit  (7204.8s)
  [it 3] adversary: 3 feasibility cut(s) [cd[38-49], cd[51-62], cd[63-77]]  (9.5s)
  [it 4] master: |scen|=10  theta=98.967h  status=maxTimeLimit  (7205.1s)
  [it 4] adversary: 3 feasibility cut(s) [cd[9-18], cd[78-94], cd[95-106]]  (10.5s)
  [it 5] master: |scen|=13  theta=112.529h  status=maxTimeLimit  (7206.9s)
  [it 5] adversary: 3 feasibility cut(s) [cd[48-59], cd[98-109], cd[110-120]]  (13.3s)
  [it 6] master: |scen|=16  theta=100.438h  status=maxTimeLimit  (7206.9s)
  [it 6] adversary: 3 feasibility cut(s) [cd[104-114], shift[19-40], shift[41-68]]  (8.7s)
  [it 7] master solve aborted with no incumbent (ValueError) after 7206.8s.
      Falling back to the iteration-6 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 100.438 h   Gamma=27  scenarios=19  cuts: 18 feas / 0 opt   solve 37546.5s
  plan: 12 chg / 11 brk / 4 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop   0  t=8.000h soc=500kWh  cd=0.00 sd=0.00 h=0.00  -> y=0 brk=--- rst=---
  stop   1  t=8.232h soc=477kWh  cd=0.23 sd=0.23 h=0.23  -> y=0 brk=--- rst=---
  stop   2  t=8.463h soc=454kWh  cd=0.46 sd=0.46 h=0.46  -> y=0 brk=--- rst=---
  stop   3  t=8.686h soc=431kWh  cd=0.69 sd=0.69 h=0.69  -> y=0 brk=--- rst=---
  stop   4  t=8.959h soc=404kWh  cd=0.96 sd=0.96 h=0.96  -> y=0 brk=--- rst=---
  stop   5  t=9.235h soc=378kWh  cd=1.23 sd=1.23 h=1.23  -> y=0 brk=--- rst=---
  stop   6  t=9.600h soc=354kWh  cd=1.60 sd=1.60 h=1.60  -> y=1 brk=b45 rst=---
  stop   7  t=10.798h soc=429kWh  cd=0.20 sd=1.80 h=2.80  -> y=0 brk=--- rst=---
  stop   8  t=10.993h soc=409kWh  cd=0.39 sd=1.99 h=2.99  -> y=0 brk=--- rst=---
  stop   9  t=11.288h soc=391kWh  cd=0.69 sd=2.29 h=3.29  -> y=0 brk=--- rst=---
  stop  10  t=11.552h soc=364kWh  cd=0.95 sd=2.55 h=3.55  -> y=0 brk=--- rst=---
  stop  11  t=11.832h soc=338kWh  cd=1.23 sd=2.83 h=3.83  -> y=0 brk=--- rst=---
