=================================================================
  ROBU SOLVE START   (2026-07-24 13:16:15)
  Instance : RmediumCfewTlarge_4 — medium route, few customers, large windows, seed=4   run_id=RmediumCfewTlarge_4_ROBU_20260722_134924_033
  Route    : 121 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=27 of 121 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=79.239h  status=optimal  (88.3s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-14], cd[15-22]]  (2.0s)
  [it 2] master: |scen|=4  theta=96.934h  status=maxTimeLimit  (7202.1s)
  [it 2] adversary: 3 feasibility cut(s) [cd[8-19], cd[38-50], cd[51-60]]  (2.1s)
  [it 3] master: |scen|=7  theta=97.385h  status=maxTimeLimit  (7202.8s)
  [it 3] adversary: 3 feasibility cut(s) [cd[29-40], cd[61-70], cd[71-81]]  (8.2s)
  [it 4] master: |scen|=10  theta=98.031h  status=maxTimeLimit  (7207.0s)
  [it 4] adversary: 3 feasibility cut(s) [cd[23-33], cd[45-56], cd[68-78]]  (11.0s)
  [it 5] master: |scen|=13  theta=113.762h  status=maxTimeLimit  (7208.4s)
  [it 5] adversary: 3 feasibility cut(s) [cd[54-66], cd[109-120], shift[0-28]]  (15.2s)
  [it 6] master: |scen|=16  theta=122.635h  status=maxTimeLimit  (7206.2s)
  [it 6] adversary: 3 feasibility cut(s) [cd[42-53], cd[79-92], shift[29-58]]  (8.8s)
  [it 7] master solve aborted with no incumbent (ValueError) after 7206.4s.
      Falling back to the iteration-6 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 122.635 h   Gamma=27  scenarios=19  cuts: 18 feas / 0 opt   solve 43368.4s
  plan: 15 chg / 10 brk / 6 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop   0  t=8.000h soc=500kWh  cd=0.00 sd=0.00 h=0.00  -> y=0 brk=--- rst=---
  stop   1  t=8.331h soc=479kWh  cd=0.33 sd=0.33 h=0.33  -> y=0 brk=--- rst=---
  stop   2  t=8.570h soc=457kWh  cd=0.57 sd=0.57 h=0.57  -> y=0 brk=--- rst=r1
  stop   3  t=20.015h soc=436kWh  cd=0.28 sd=0.28 h=0.28  -> y=0 brk=--- rst=---
  stop   4  t=20.253h soc=415kWh  cd=0.52 sd=0.52 h=0.52  -> y=0 brk=--- rst=---
  stop   5  t=20.509h soc=395kWh  cd=0.77 sd=0.77 h=0.77  -> y=0 brk=--- rst=---
  stop   6  t=20.737h soc=375kWh  cd=1.00 sd=1.00 h=1.00  -> y=0 brk=--- rst=---
  stop   7  t=21.002h soc=347kWh  cd=1.27 sd=1.27 h=1.27  -> y=0 brk=--- rst=---
  stop   8  t=21.403h soc=323kWh  cd=1.67 sd=1.67 h=1.67  -> y=0 brk=--- rst=---
