=================================================================
  ROBU SOLVE START   (2026-07-26 18:27:38)
  Instance : RmediumCfewTmedium_24 — medium route, few customers, medium windows, seed=24   run_id=RmediumCfewTmedium_24_ROBU_20260722_134924_066
  Route    : 117 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=27 of 117 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=77.391h  status=optimal  (343.6s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-14], cd[15-31]]  (1.4s)
  [it 2] master: |scen|=4  theta=84.266h  status=optimal  (755.9s)
  [it 2] adversary: 3 feasibility cut(s) [cd[9-20], cd[32-44], cd[45-55]]  (2.9s)
  [it 3] master: |scen|=7  theta=94.880h  status=maxTimeLimit  (7202.6s)
  [it 3] adversary: 3 feasibility cut(s) [cd[49-58], cd[59-71], cd[72-80]]  (3.6s)
  [it 4] master: |scen|=10  theta=95.126h  status=maxTimeLimit  (7203.6s)
  [it 4] adversary: 3 feasibility cut(s) [cd[24-34], cd[72-83], cd[97-107]]  (6.5s)
  [it 5] master: |scen|=13  theta=96.700h  status=maxTimeLimit  (7205.2s)
  [it 5] adversary: 3 feasibility cut(s) [cd[41-51], cd[65-77], shift[0-29]]  (9.5s)
  [it 6] master: |scen|=16  theta=110.116h  status=maxTimeLimit  (7207.4s)
  [it 6] adversary: 3 feasibility cut(s) [cd[75-86], cd[90-101], shift[45-64]]  (11.8s)
  [it 7] master: |scen|=19  theta=110.762h  status=maxTimeLimit  (7208.8s)
  [it 7] adversary: 3 feasibility cut(s) [cd[94-104], shift[0-23], shift[42-64]]  (18.3s)
  [it 8] master solve aborted with no incumbent (ValueError) after 7209.3s.
      Falling back to the iteration-7 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 110.762 h   Gamma=27  scenarios=22  cuts: 21 feas / 0 opt   solve 44390.4s
  plan: 13 chg / 12 brk / 5 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop   0  t=8.000h soc=500kWh  cd=0.00 sd=0.00 h=0.00  -> y=0 brk=--- rst=---
  stop   1  t=8.249h soc=478kWh  cd=0.25 sd=0.25 h=0.25  -> y=0 brk=--- rst=---
  stop   2  t=8.479h soc=455kWh  cd=0.48 sd=0.48 h=0.48  -> y=0 brk=--- rst=---
  stop   3  t=8.726h soc=433kWh  cd=0.73 sd=0.73 h=0.73  -> y=0 brk=--- rst=---
  stop   4  t=8.974h soc=408kWh  cd=0.97 sd=0.97 h=0.97  -> y=0 brk=--- rst=---
  stop   5  t=9.268h soc=385kWh  cd=1.27 sd=1.27 h=1.27  -> y=0 brk=--- rst=---
  stop   6  t=9.510h soc=363kWh  cd=1.51 sd=1.51 h=1.51  -> y=0 brk=--- rst=---
  stop   7  t=9.757h soc=340kWh  cd=1.76 sd=1.76 h=1.76  -> y=0 brk=--- rst=---
  stop   8  t=9.986h soc=316kWh  cd=1.99 sd=1.99 h=1.99  -> y=0 brk=--- rst=---
  stop   9  t=10.212h soc=293kWh  cd=2.21 sd=2.21 h=2.21  -> y=0 brk=--- rst=---
  stop  10  t=10.483h soc=272kWh  cd=2.48 sd=2.48 h=2.48  -> y=0 brk=--- rst=---
  stop  11  t=10.734h soc=251kWh  cd=2.73 sd=2.73 h=2.73  -> y=0 brk=b45 rst=---
  stop  12  t=11.878h soc=229kWh  cd=0.23 sd=2.96 h=3.88  -> y=0 brk=--- rst=---
  stop  13  t=12.144h soc=204kWh  cd=0.49 sd=3.23 h=4.14  -> y=0 brk=b45 rst=---
  stop  14  t=13.333h soc=178kWh  cd=0.27 sd=3.50 h=5.33  -> y=0 brk=--- rst=---
  stop  15  t=13.634h soc=154kWh  cd=0.57 sd=3.80 h=5.63  -> y=1 brk=--- rst=---
  stop  16  t=14.903h soc=315kWh  cd=0.89 sd=4.12 h=6.90  -> y=0 brk=--- rst=---
  stop  17  t=15.121h soc=294kWh  cd=1.11 sd=4.33 h=7.12  -> y=0 brk=--- rst=---
  stop  18  t=15.358h soc=273kWh  cd=1.34 sd=4.57 h=7.36  -> y=0 brk=--- rst=---
