route,tw,n_oracle,n_greedy,pen_greedy_%,pen_oracle_%,pen_oracle_objective_%,delta_ev,delta_diesel,diesel_break_h
short,tight,20,20,19.50,6.67,6.30,0.00,0.10,1.41
short,medium,20,20,21.00,7.59,7.59,0.00,0.00,1.35
short,large,20,19,18.53,8.46,8.46,0.00,0.00,1.16
short,none,20,18,20.70,9.20,9.20,0.00,0.00,1.09
medium,tight,20,16,20.98,6.59,6.27,0.35,0.45,3.90
medium,medium,20,19,23.68,9.33,7.42,0.00,0.95,3.29
medium,large,20,18,23.15,10.24,9.74,0.00,0.25,2.82
medium,none,20,18,22.05,11.28,11.28,0.00,0.00,2.74
long,tight,20,18,21.27,8.91,7.61,0.60,1.70,5.84
long,medium,20,17,22.00,12.75,10.33,0.80,2.80,5.13
long,large,20,20,19.97,10.32,9.36,0.80,1.60,4.67
long,none,20,17,20.80,11.40,11.40,0.00,0.00,4.12
