route_class,customers_class,window_class,method,n_feasible,n_gap_samples,n_infeasible_excluded,n_unsolved_excluded,gap_mean_%,gap_std_%,gap_median_%,gap_q1_%,gap_q3_%,gap_min_%,gap_max_%
long,few,large,2SP,16,16,8,0,18.872,10.876,17.296,13.016,21.480,5.547,42.891
long,few,large,LA,46,46,4,0,8.386,4.179,7.225,6.099,8.602,5.085,26.820
long,few,large,RO,50,50,0,0,35.654,5.069,36.557,31.913,38.386,26.521,47.784
long,few,large,greedy,48,48,2,0,12.318,3.319,11.595,10.271,12.499,8.558,23.055
long,few,medium,2SP,20,20,11,0,20.806,12.937,18.024,15.477,24.871,3.377,54.957
long,few,medium,LA,45,45,5,0,11.016,5.515,8.505,7.081,17.346,4.795,21.799
long,few,medium,RO,50,50,0,0,36.337,5.772,36.396,32.286,38.702,27.310,47.702
long,few,medium,greedy,50,50,0,0,14.213,4.468,12.476,11.810,13.728,10.012,25.697
long,few,none,2SP,18,18,4,0,22.466,14.486,18.924,14.506,29.080,3.964,52.227
long,few,none,LA,44,44,5,0,8.024,3.741,6.854,6.236,7.811,4.715,19.466
long,few,none,RO,50,50,0,0,33.373,4.674,35.102,30.237,36.023,26.059,44.746
long,few,none,greedy,49,49,1,0,11.678,3.735,10.452,9.699,11.496,8.738,23.611
long,few,tight,2SP,20,20,3,0,26.489,13.469,22.865,18.712,32.001,6.183,54.492
long,few,tight,LA,45,45,5,0,10.146,4.803,8.471,7.153,9.918,4.098,20.677
long,few,tight,RO,50,50,0,0,35.654,5.283,36.100,31.479,38.638,27.187,46.269
long,few,tight,greedy,44,44,6,0,14.436,4.785,12.221,11.349,14.799,9.830,25.474
long,many,large,2SP,23,23,7,0,34.996,20.279,31.201,22.716,44.479,4.612,81.453
long,many,large,LA,47,47,2,0,12.590,5.370,11.195,8.420,16.612,5.354,25.943
long,many,large,RO,50,50,0,0,37.140,6.338,36.884,32.030,40.874,24.458,55.303
long,many,large,greedy,50,50,0,0,13.363,3.449,12.850,10.764,15.274,8.364,21.041
long,many,medium,2SP,26,26,10,0,40.062,18.882,35.933,24.965,54.976,9.075,76.807
