instance,n_stops,ours_min,theirs_min,diff_min,ours_s,theirs_s,status
1,56,1410.0,1410.0,0.0,1.18,0.05,optimal
2,44,1260.0,1260.0,0.0,0.87,0.02,optimal
3,44,1410.0,1410.0,0.0,0.51,0.02,optimal
4,48,1410.0,1425.0,-15.0,0.46,0.02,optimal
5,96,2640.0,2640.0,0.0,1.32,0.13,optimal
6,89,2430.0,2430.0,0.0,1.71,0.08,optimal
7,89,3465.0,3465.0,0.0,8.04,0.18,optimal
8,89,3465.0,3465.0,0.0,19.3,0.16,optimal
9,92,2730.0,2730.0,0.0,0.57,0.04,optimal
10,92,2730.0,2730.0,0.0,0.63,0.04,optimal
11,92,2730.0,2730.0,0.0,0.43,0.05,optimal
12,92,2730.0,2730.0,0.0,0.52,0.03,optimal
13,62,1995.0,1995.0,0.0,1.7,0.07,optimal
14,108,3270.0,3270.0,0.0,14.24,0.14,optimal
15,154,4665.0,4665.0,0.0,15.67,0.27,optimal
16,154,4664.9994,4665.0,-0.000600000000304135,63.16,0.1,optimal
17,154,5340.0,5340.0,0.0,2.82,0.09,optimal
18,89,2430.0,2430.0,0.0,2.35,0.05,optimal
19,89,5580.0,5580.0,0.0,0.45,0.04,optimal
20,89,3780.0,3780.0,0.0,0.54,0.04,optimal
21,89,3210.0,3210.0,0.0,0.62,0.07,optimal
22,180,5610.0,5610.0,0.0,12.16,0.11,optimal
23,180,5820.0,5820.0,0.0,12.29,0.11,optimal
24,99,2580.0,2580.0,0.0,1.34,0.12,optimal
25,125,3510.0,3510.0,0.0,13.36,0.17,optimal
26,102,2640.0,2640.0,0.0,4.03,0.14,optimal
27,118,2880.0,2880.0,0.0,21.86,0.15,optimal
28,158,4065.0,4065.0,0.0,30.86,0.27,optimal
29,55,1334.9999,1335.0,-9.999999997489795e-05,0.44,0.05,optimal
30,52,1245.0,1245.0,0.0,0.36,0.04,optimal
31,65,2025.0,2025.0,0.0,1.05,0.06,optimal
32,64,2025.0,2025.0,0.0,1.16,0.06,optimal
33,64,2025.0,2025.0,0.0,0.91,0.06,optimal
34,53,2400.0,2400.0,0.0,0.51,0.03,optimal
35,56,1305.0,1305.0,0.0,0.42,0.04,optimal
36,64,1440.0,1440.0,0.0,0.54,0.05,optimal
37,145,4530.0,4530.0,0.0,15.38,0.05,optimal
38,52,1380.0,1380.0,0.0,0.32,0.02,optimal
39,52,2400.0,2400.0,0.0,0.33,0.03,optimal
40,109,3345.0,3345.0,0.0,0.82,0.05,optimal
